"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","modified","individualCount","preparations","continent","otherCatalogNumbers","institutionID","higherGeography","endDayOfYear","startDayOfYear","higherClassification","fieldNotes","identificationQualifier","coordinateUncertaintyInMeters","references","habitat","county","nomenclaturalCode","verbatimEventDate","georeferenceProtocol","collectionID","georeferenceSources","georeferencedDate","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Baccharis oreophila",1889165594,-26.285555,-49.456111,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:30.341+0000","2018-10-24T15:38:20.695+0000",121,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","2018-06-23T00:00:00",850,0,"Santa Catarina",2018,6,23,"2018-06-23T00:00:00","2018-10-24T15:39:04.254+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000059284","2830","FURB - Herbário Dr. Roberto Miguel Klein","São Bento do Sul","Serra Alta. Vila Pilz. Linha férrea.","pt","FURB",1889165594,"BRA:FURB:FURB:0000059284","Collection","Schwirkowski, P.","59284","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Flores brancas","Schwirkowski,P.","",NA,"","","","","",NA,NA,"","","",NA,"","","","","","","","","","São Bento do Sul","Santa Catarina","brazil",787,"São Bento do Sul",4215802,-49.34941,-26.295148,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.285555,-49.456111,"original coordinates","original coordinates OK"
"2","Baccharis oreophila",1264698679,-26.999722,-50.670278,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:22.723+0000","2018-10-24T15:38:16.744+0000",121,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","2016-01-30T00:00:00",954,0,"Santa Catarina",2016,1,30,"2016-01-30T00:00:00","2018-12-08T13:34:53.725+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000049269","2924","FURB - Herbário Dr. Roberto Miguel Klein","Lebon Régis","Próximo ao reflorestamento Fischer.","pt","FURB",1264698679,"BRA:FURB:FURB:0000049269","Collection","Oliveira, A.A. de","49269","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Oliveira, AA de","2018-10-11T17:16:19.000+0000",NA,"","","","","",NA,NA,"","","",NA,"","","","","","","","","","Lebon Régis","Santa Catarina","brazil",697,"Lebon Régis",4209706,-50.702718,-26.858401,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.999722,-50.670278,"original coordinates","original coordinates OK"
"3","Baccharis oreophila",1944856112,-23.920277,-46.873333,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:46.676+0000","2018-11-23T18:21:46.712+0000",123,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","none",824,0,"São Paulo",2016,7,14,"2016-07-14T00:00:00","2018-11-23T18:23:04.477+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000106646","1137","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","EMBU-GUACU","Estrada de Santa Rita, km 60, próximo a cava de Mineração, borda de florestal Ombrófila densa em estágio inicial de recuperação","pt","CEN",1944856112,"BRA:Cenargen:CEN:0000106646","Collection","Guilherme de M. Antar","106646","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Capítulos verdes. Doação Universidade de São Pauo - Herbário SPF.","G. Heiden","",1,"Exsicatas","","","","",NA,NA,"","","",NA,"","","","","","","","","","EMBU-GUACU","São Paulo","brazil",1080,"Embu-Guaçu",3515103,-46.830913,-23.854112,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.920277,-46.873333,"original coordinates","original coordinates OK"
"4","Baccharis oreophila",1563170302,-26.558611,-49.371111,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:24.509+0000","2018-10-24T15:38:17.635+0000",121,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","2017-12-05T00:00:00",747,0,"Santa Catarina",2016,11,28,"2016-11-28T00:00:00","2018-12-07T14:50:39.443+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000051765","5701","FURB - Herbário Dr. Roberto Miguel Klein","Rio dos Cedros","Cachoeira Formosa.","pt","FURB",1563170302,"BRA:FURB:FURB:0000051765","Collection","Funez, L.A.","51765","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Flores amareladas","Heiden, G.","2018-10-11T17:16:19.000+0000",NA,"","","","","",NA,NA,"","","",NA,"","","","","","","","","","Rio dos Cedros","Santa Catarina","brazil",749,"Rio dos Cedros",4214706,-49.368324,-26.61814,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.558611,-49.371111,"original coordinates","original coordinates OK"
"5","Baccharis oreophila",1077425793,-26.818611,-50.0375,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:21.370+0000","2018-10-24T15:38:15.926+0000",121,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","2017-08-31T00:00:00",572,0,"Santa Catarina",2015,3,19,"2015-03-19T00:00:00","2018-12-06T14:18:07.700+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000046725","1357","FURB - Herbário Dr. Roberto Miguel Klein","Rio do Campo","Rio da Prata.","pt","FURB",1077425793,"BRA:FURB:FURB:0000046725","Collection","Oliveira, A.A. de","46725","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Fito IFFSC 739 /S/48","Oliveira, A. A.","2018-10-11T17:16:19.000+0000",NA,"","","","","",NA,NA,"","","",NA,"","","","","","","","","","Rio do Campo","Santa Catarina","brazil",689,"Rio do Campo",4214508,-50.132075,-26.892975,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.818611,-50.0375,"original coordinates","original coordinates OK"
"6","Baccharis oreophila",1848112677,-23.0744,-44.9597,"gass84,txmatfuz","1064b787-c882-493e-b17d-4ffba363b776","c47cd3b0-2178-4a4b-87a6-740b482970a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:32.211+0000","2018-06-04T12:02:27.660+0000",129,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","2015-09-12T00:00:00",NA,NA,"São Paulo",2015,8,12,"2015-08-12T00:00:00","2018-12-08T15:07:36.893+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","IAC - Herbário do Instituto Agronômico de Campinas","BRA:IAC:IAC:0000056665","143","IAC - Herbário do Instituto Agronômico de Campinas","Cunha","Parque Estadual da Serra do Mar","pt","IAC",1848112677,"BRA:IAC:IAC:0000056665","Collection","A.C.O. Souza & L.C. Bernacci","56665","IAC","Instituto Agronômico de Campinas, IAC","Parcela NUC 01. Indivíduo R0014. Corte raso, seguido de fogo e pastagem","A.C.O. Souza","2018-05-22T12:52:35.000+0000",NA,"","","","","",NA,NA,"","","",NA,"","","","","","","","","","Cunha","São Paulo","brazil",1322,"Cunha",3513603,-44.939787,-23.050544,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.0744,-44.9597,"original coordinates","original coordinates OK"
"7","Baccharis oreophila",1086915836,-22.540833,-45.229722,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:58.667+0000","2018-11-24T08:56:58.704+0000",126,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","none",1344,0,"Minas Gerais",2013,8,26,"2013-08-26T00:00:00","2018-12-08T13:01:19.974+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000047645","6468","SPSF - Herbário Dom Bento José Pickel","Delfim Moreira","","pt","SPSF",1086915836,"BRA:IF:SPSF:0000047645","Collection","N.M.Ivanauskas & R.T.Polisel & L.N.Gonçalves & M.C.Assis","47645","IF","Instituto Florestal, IF","COLETA: Árvore de 9m. Capítulos brancos; GEOGRAFIA: Margem da estrada do Saiqui, floresta ombrófila mista;","G.Heiden","2018-11-05T15:51:41.000+0000",NA,"","SOUTH_AMERICA","","","",NA,NA,"","","",NA,"","","","","","","","","","Delfim Moreira","Minas Gerais","brazil",1527,"Delfim Moreira",3121100,-45.288068,-22.50701,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-22.540833,-45.229722,"original coordinates","original coordinates OK"
"8","Baccharis oreophila",1213677290,-25.259489,-48.861903,"gass84,txmatfuz","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:37.681+0000","2018-06-04T19:36:10.468+0000",118,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","2015-07-20T00:00:00",1445,0,"Paraná",2013,8,3,"2013-08-03T00:00:00","2018-07-08T01:31:52.466+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000399203","124","MBM - Herbário do Museu Botânico Municipal","Campina Grande do Sul","Morro Tucum","pt","MBM",1213677290,"BRA:MBM:MBM:0000399203","Collection","Savarais, M","399203","MBM","Museu Botânico Municipal de Curitiba, MBM","","Cordeiro, J","",NA,"","SOUTH_AMERICA","","","",NA,NA,"","","",NA,"","","","","","","","","","Campina Grande do Sul","Paraná","brazil",908,"Campina Grande do Sul",4104006,-48.844923,-25.186765,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.259489,-48.861903,"original coordinates","original coordinates OK"
"9","Baccharis oreophila",1089104729,-22.22396,-44.49028,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:51:45.624+0000","2018-12-03T16:41:22.753+0000",122,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","none",2138,0,"Minas Gerais",2011,8,3,"2011-08-03T00:00:00","2018-12-08T04:38:21.765+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000168089","400","UEC - Herbário da Universidade Estadual de Campinas","Itamonte","Hotel Casa Alpina Ao lado das antenas na cota 2100.","pt","UEC",1089104729,"BRA:UNICAMP:UEC:0000168089","Collection","Batista, T.A.; Naves, A.R.","168089","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Arvore com 4, 5 m de altura. Folhas na face abaxial e caule esbranquiçados. Flores presentes nas axilas e esverdeadas. Ritidoma possui liquens verdes aderidos e é do tipo sujo com manchas brancas. Casca externa esverdeada e interna beg","","2018-11-21T16:19:12.000+0000",NA,"","","","","",NA,NA,"","","",NA,"","","","","","","","","","Itamonte","Minas Gerais","brazil",1606,"Itamonte",3133006,-44.758791,-22.289104,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-22.22396,-44.49028,"original coordinates","original coordinates outside municipality original in itamonte falls in bocaina de minas"
"10","Baccharis oreophila",1456475422,-23.9695,-46.7339,"gass84","821cc27a-e3bb-4bc5-ac34-89ada245069d","bc092ff0-02e4-11dc-991f-b8a03c50a862","none","b2ff19b5-d74f-40d2-82f1-ec5db01e8e31","US","DWC_ARCHIVE","2018-07-02T13:37:49.568+0000","2018-04-02T18:58:05.172+0000",58,"none","PRESERVED_SPECIMEN",3129397,6,7707728,220,414,3065,3129135,3129397,3129397,"Baccharis oreophila Malme","Baccharis oreophila Malme","Plantae","Tracheophyta","Asterales","Asteraceae","Baccharis","Baccharis oreophila","Baccharis","oreophila","SPECIES","ACCEPTED","none",804,NA,"São Paulo",2011,9,10,"2011-09-10T00:00:00","2018-12-07T08:13:57.747+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","","http://n2t.net/ark:/65665/3fbdd8b35-5c61-4072-8070-e0399ec574b4","1698","NMNH Extant Biology","","São Paulo: Parque Estadual da Serrado Mar, Núcleo Curucutu","","Botany",1456475422,"http://n2t.net/ark:/65665/3fbdd8b35-5c61-4072-8070-e0399ec574b4","PhysicalObject","G. Heiden, B. Loeuille & C. Silva-Luz","3647990","US","","","","",1,"","","","http://biocol.org/urn:lsid:biocol.org:col:34871","South America - Neotropics, Brazil, São Paulo",253,253,"Plantae, Dicotyledonae, Asterales, Asteraceae","","",NA,"","","","","","","","","","","São Paulo","brazil",NA,"",NA,NA,NA,"","","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.9695,-46.7339,"original coordinates","original coordinates outside municipality original in  falls in sao paulo"
