"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","modified","otherCatalogNumbers","fieldNotes","continent","references","created","associatedSequences","taxonID","higherClassification","individualCount","nomenclaturalStatus","nomenclaturalCode","county","bibliographicCitation","collectionID","institutionID","verbatimEventDate","endDayOfYear","preparations","startDayOfYear","verbatimElevation","georeferenceSources","coordinateUncertaintyInMeters","georeferenceProtocol","habitat","higherGeography","fieldNumber","verbatimLocality","georeferencedDate","organismID","datasetID","accessRights","identificationID","rights","eventRemarks","verbatimTaxonRank","identificationRemarks","typeStatus","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Miconia cubatanensis",1853940965,-26.514444,-49.050278,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:30.131+0000","2018-10-24T15:38:20.571+0000",121,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","2018-05-28T00:00:00",850,0,"Santa Catarina",2018,5,28,"2018-05-28T00:00:00","2018-10-24T15:39:04.144+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000059074","2890","FURB - Herbário Dr. Roberto Miguel Klein","Jaraguá do Sul","Morro da Antena.","pt","FURB",1853940965,"BRA:FURB:FURB:0000059074","Collection","Kassner-Filho, A.","59074","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","fruto imaturo","Kassner-Filho, A.","","","","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","Jaraguá do Sul","Santa Catarina","brazil",762,"Jaraguá do Sul",4208906,-49.160057,-26.480983,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.514444,-49.050278,"original coordinates","original coordinates OK"
"2","Miconia cubatanensis",1913570915,-27.540278,-48.689444,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:30.971+0000","2018-10-24T15:38:21.198+0000",121,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","2018-07-19T00:00:00",NA,NA,"Santa Catarina",2018,7,19,"2018-07-19T00:00:00","2018-12-10T13:35:41.709+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000060167","3152","FURB - Herbário Dr. Roberto Miguel Klein","São José","","pt","FURB",1913570915,"BRA:FURB:FURB:0000060167","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.","60167","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Kassner-Filho, A.","2018-10-11T17:22:35.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","São José","Santa Catarina","brazil",521,"São José",4216602,-48.672899,-27.577183,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.540278,-48.689444,"original coordinates","original coordinates OK"
"3","Miconia cubatanensis",1931772664,-26.1,-48.69,"gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:31.178+0000","2018-10-24T15:38:21.345+0000",121,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","2018-08-29T00:00:00",NA,NA,"Santa Catarina",2018,8,29,"2018-08-29T00:00:00","2018-12-07T06:14:59.585+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000060465","3441","FURB - Herbário Dr. Roberto Miguel Klein","Itapoá","Sai Mirim.","pt","FURB",1931772664,"BRA:FURB:FURB:0000060465","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.","60465","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Kassner-Filho, A.","2018-10-11T17:22:35.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","Itapoá","Santa Catarina","brazil",812,"Itapoá",4208450,-48.652853,-26.082161,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.1,-48.69,"original coordinates","original coordinates OK"
"4","Miconia cubatanensis",1931773005,-27.180278,-49.393611,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:31.225+0000","2018-10-24T15:38:21.378+0000",121,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","2018-09-27T00:00:00",793,0,"Santa Catarina",2018,9,27,"2018-09-27T00:00:00","2018-12-07T06:14:59.883+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000060579","3501","FURB - Herbário Dr. Roberto Miguel Klein","Apiúna","Faxinalzinho.","pt","FURB",1931773005,"BRA:FURB:FURB:0000060579","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.","60579","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Kassner-Filho, A.","2018-10-11T17:22:35.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","Apiúna","Santa Catarina","brazil",636,"Apiúna",4201257,-49.364272,-27.12418,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.180278,-49.393611,"original coordinates","original coordinates OK"
"5","Miconia cubatanensis",1587297667,-20.157222,-48.293056,"gass84,iddatunl","a51fa32f-831d-49d6-8b8a-c7b52ae65b3b","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:56.885+0000","2018-09-24T16:36:58.907+0000",125,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","2017-03-01T00:00:00",300,0,"Paraná",2017,3,3,"2017-03-03T00:00:00","2018-09-24T16:36:58.957+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UPCB - Herbário do Departamento de Botânica","BRA:UFPR:UPCB:0000090718","1173","UPCB - Herbário do Departamento de Botânica","Guaraqueçaba","RPPN Salto Morato","pt","UPCB",1587297667,"BRA:UFPR:UPCB:0000090718","Collection","Völtz, R.R et al.","90718","UFPR","Universidade Federal do Paraná, UFPR","Árvore 12 m alt. No estrato superior da Floresta Ombrófila Densa Submontana em topo de morro; tronco com casca interna vinosa; frutos verdes..","Völtz, R.R","","","","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","Guaraqueçaba","Paraná","brazil",905,"Guaraqueçaba",4109500,-48.367204,-25.234919,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-20.157222,-48.293056,"original coordinates","original coordinates outside municipality original in guaraquecaba falls in miguelopolis"
"6","Miconia cubatanensis",1893216566,-26.957222,-49.087222,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:28.837+0000","2018-09-24T19:59:09.075+0000",207,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","2018-02-13T00:00:00",NA,NA,"Santa Catarina",2017,4,21,"2017-04-21T00:00:00","2018-12-08T04:47:58.909+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1395954","51","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Blumenau","Rua Antonio Zendrom, beira do caminho do fragmento","","RB",1893216566,"urn:catalog:JBRJ:RB:1395954","PhysicalObject","W. Gebien","RB01395954","JBRJ","","","W. Gebien","2018-08-15T09:55:23.755+0000","RB 773274","Interior de floresta sombreado","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","Blumenau","Santa Catarina","brazil",690,"Blumenau",4202404,-49.097426,-26.884746,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.957222,-49.087222,"original coordinates","original coordinates OK"
"7","Miconia cubatanensis",1639432517,-25.158889,-48.2925,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:11.452+0000","2018-09-24T19:58:51.451+0000",207,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","none",320,NA,"Paraná",2017,5,5,"2017-05-05T00:00:00","2018-12-07T09:22:41.833+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1363070","1254","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Guaraqueçaba","RPPN Salto Morato","","RB",1639432517,"urn:catalog:JBRJ:RB:1363070","PhysicalObject","R.R. Völtz","RB01363070","JBRJ","","","F.S. Meyer","2017-10-15T13:39:07.190+0000","RB 745539","Interior de floresta ombrófila densa submontana de topo de morro","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","Guaraqueçaba","Paraná","brazil",905,"Guaraqueçaba",4109500,-48.367204,-25.234919,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.158889,-48.2925,"original coordinates","original coordinates OK"
"8","Miconia cubatanensis",1570750441,-27.050278,-49.366667,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:26.198+0000","2018-10-24T15:38:18.553+0000",121,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","2017-08-31T00:00:00",171,0,"Santa Catarina",2017,5,1,"2017-05-01T00:00:00","2018-12-08T17:16:16.552+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000054030","6395","FURB - Herbário Dr. Roberto Miguel Klein","Apiúna","Morro Dom Bosco.","pt","FURB",1570750441,"BRA:FURB:FURB:0000054030","Collection","Funez, L.A.","54030","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Flores brancas com estames amarelos","Oliveira, A. A.","2018-10-11T17:22:35.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","Apiúna","Santa Catarina","brazil",636,"Apiúna",4201257,-49.364272,-27.12418,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.050278,-49.366667,"original coordinates","original coordinates OK"
"9","Miconia cubatanensis",1676475207,-25.3095,-48.6745,"gass84","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:24.210+0000","2018-11-24T12:35:24.243+0000",123,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","2017-06-09T00:00:00",NA,NA,"Paraná",2017,5,5,"2017-05-05T00:00:00","2018-12-10T07:36:51.364+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EFC - Herbário Escola de Florestas Curitiba","BRA:UFPR:EFC:0000015805","","EFC - Herbário Escola de Florestas Curitiba","Guaraqueçaba","RPPN Salto Morato","pt","EFC",1676475207,"BRA:UFPR:EFC:0000015805","Collection","Völtz, R.R.","15805","Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR","Arvoreta 4 m alt.; botões florais alvos; interior de Floresta Ombrófila Densa Submontana de topo de morro.","Meyer, F.S.","2018-11-19T18:52:59.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","Guaraqueçaba","Paraná","brazil",905,"Guaraqueçaba",4109500,-48.367204,-25.234919,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.3095,-48.6745,"original coordinates","original coordinates outside municipality original in guaraquecaba falls in antonina"
"10","Miconia cubatanensis",1585201696,-26.3135,-48.9155,"gass84","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:23.316+0000","2018-11-24T12:35:23.436+0000",123,"none","PRESERVED_SPECIMEN",3868454,6,7707728,220,690,6683,3188558,3868454,3868454,"Miconia cubatanensis Hoehne","Miconia cubatanensis Hoehne","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia cubatanensis","Miconia","cubatanensis","SPECIES","ACCEPTED","2016-02-18T00:00:00",20,0,"Santa Catarina",2016,2,3,"2016-02-03T00:00:00","2018-12-07T01:13:52.877+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EFC - Herbário Escola de Florestas Curitiba","BRA:UFPR:EFC:0000014696","838","EFC - Herbário Escola de Florestas Curitiba","Joinvile","Estrada do Barbante","pt","EFC",1585201696,"BRA:UFPR:EFC:0000014696","Collection","Vieira, R.S.","14696","Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR","Árvore com 7 m, com folhas discolores. Flores com anteras amareladas.","Vieira, R.S.","2018-11-19T18:52:59.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","",NA,NA,"","","","","Joinvile","Santa Catarina","brazil",NA,"",NA,NA,NA,"","","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.3135,-48.9155,"original coordinates","original coordinates outside municipality original in joinvile falls in joinville"
