"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","identifiedBy","locality","occurrenceRemarks","otherCatalogNumbers","continent","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","fieldNotes","individualCount","habitat","higherGeography","higherClassification","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","georeferencedDate","datasetID","fieldNumber","depth","depthAccuracy","identificationRemarks","verbatimLocality","organismID","accessRights","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Miconia hyemalis",1840922379,-28.0825,-49.591111,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:29.079+0000","2018-10-24T15:38:19.980+0000",121,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2018-03-27T00:00:00",140,0,"Santa Catarina",2018,3,8,"2018-03-08T00:00:00","2018-10-11T17:22:35.000+0000","2018-12-08T19:50:35.132+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000057757","2332","FURB - Herbário Dr. Roberto Miguel Klein","Urubici","pt","FURB",1840922379,"BRA:FURB:FURB:0000057757","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","57757","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Farias, D.M.","","","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Urubici","Santa Catarina","brazil",414,"Urubici",4218905,-49.578366,-28.038901,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-28.0825,-49.591111,"original coordinates","original coordinates OK"
"2","Miconia hyemalis",1853946769,-24.961056,-51.556583,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:18.452+0000","2018-11-24T12:32:18.471+0000",118,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2018-06-19T00:00:00",949,0,"Paraná",2018,5,24,"2018-05-24T00:00:00","","2018-11-24T12:32:31.173+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000025741","8346","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Turvo","pt","HCF",1853946769,"BRA:UTFPR:HCF:0000025741","Collection","M.G. Caxambu","25741","Universidade Tecnológica Federal do Paraná (UTFPR)","Universidade Tecnológica Federal do Paraná (UTFPR)","M.G. Caxambu","Estação Ecológica Municipal Rio Bonito","arbusto heliófito, ca. 4 m. Botões florais ferrugíneos. Flores alvas.","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Turvo","Paraná","brazil",926,"Turvo",4127965,-51.481833,-25.012715,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-24.961056,-51.556583,"original coordinates","original coordinates outside municipality original in turvo falls in boa ventura de sao roque"
"3","Miconia hyemalis",1944851500,-26.221944,-49.245555,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:31.943+0000","2018-11-23T15:39:31.963+0000",121,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2018-08-04T00:00:00",950,0,"Santa Catarina",2018,8,4,"2018-08-04T00:00:00","","2018-11-23T15:39:34.208+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000061090","2971","FURB - Herbário Dr. Roberto Miguel Klein","Campo Alegre","pt","FURB",1944851500,"BRA:FURB:FURB:0000061090","Collection","Schwirkowski, P.","61090","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Schwirkowski, P.","Turvo. Próximo à estrada sentido Turvo. APA do Rio Turvo","FOM, estágio secundário avançado. Heliiófita. Cálice castanho, colora creme","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Campo Alegre","Santa Catarina","brazil",806,"Campo Alegre",4203303,-49.21862,-26.12099,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.221944,-49.245555,"original coordinates","original coordinates OK"
"4","Miconia hyemalis",1931777449,-25.922917,-51.857972,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:19.011+0000","2018-11-24T12:32:19.094+0000",118,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2018-10-01T00:00:00",1156,0,"Paraná",2018,9,13,"2018-09-13T00:00:00","2018-10-30T18:01:20.000+0000","2018-12-07T06:15:03.028+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000026442","8488","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Reserva do Iguaçu","pt","HCF",1931777449,"BRA:UTFPR:HCF:0000026442","Collection","M.G. Caxambu","26442","Universidade Tecnológica Federal do Paraná (UTFPR)","Universidade Tecnológica Federal do Paraná (UTFPR)","M.G. Caxambu","Estação Ecológica Municipal Francisco","arbusto ca. 2 m, heliófito. Folhas discolores, ferruginosas na face abaxial e verdes na adaxial. Flores com cálice ferrugíneo e corola alva.","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Reserva do Iguaçu","Paraná","brazil",835,"Reserva do Iguaçu",4121752,-51.963641,-25.867697,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.922917,-51.857972,"original coordinates","original coordinates OK"
"5","Miconia hyemalis",1563172179,-27.810833,-51.121944,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:25.849+0000","2018-10-24T15:38:18.440+0000",121,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2017-08-31T00:00:00",784,0,"Santa Catarina",2017,4,25,"2017-04-25T00:00:00","2018-10-11T17:22:35.000+0000","2018-12-07T14:50:40.503+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000053587","368","FURB - Herbário Dr. Roberto Miguel Klein","Anita Garibaldi","pt","FURB",1563172179,"BRA:FURB:FURB:0000053587","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","53587","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Oliveira, A. A.","","botão floral","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Anita Garibaldi","Santa Catarina","brazil",480,"Anita Garibaldi",4201000,-51.079036,-27.730542,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.810833,-51.121944,"original coordinates","original coordinates OK"
"6","Miconia hyemalis",1931783975,-28.191111,-49.395,"cdround,gass84","bb080d40-c63b-4529-bf21-d1782a81e024","2ccb1a0b-1194-4acf-9921-b5daad99cbb8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:46.968+0000","2018-10-25T12:34:38.359+0000",128,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2017-11-07T00:00:00",NA,NA,"Santa Catarina",2017,7,5,"2017-07-05T00:00:00","2018-10-01T12:58:44.000+0000","2018-12-07T06:15:07.436+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CRI - Herbário Pe. Dr. Raulino Reitz","BRA:UNESC:CRI:0000012793","","CRI - Herbário Pe. Dr. Raulino Reitz","Grão Pará","pt","CRI",1931783975,"BRA:UNESC:CRI:0000012793","Collection","Aline Votri Guislon; Renato Colares","12793","UNESC","Universidade do Extremo Sul Catarinense (UNESC)","Renato Colares & Aline V. Guislon","Fora do Parque Estadual da Serra Furada","","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Grão Pará","Santa Catarina","brazil",394,"Grão Pará",4206108,-49.314586,-28.155019,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-28.191111,-49.395,"original coordinates","original coordinates OK"
"7","Miconia hyemalis",1829089322,-30.324842,-52.500886,"gass84","ad0f71c1-1ddc-4a46-950c-751ceb5b2cf8","24bd9401-0ae1-46f1-960f-303fc8af2600","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:34.423+0000","2018-03-06T12:00:27.330+0000",87,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2017-09-07T00:00:00",NA,NA,"Rio Grande do Sul",2017,9,7,"2017-09-07T00:00:00","","2018-07-07T03:34:31.567+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVAT - Herbário do Vale do Taquari","BRA:FUVATES:HVAT:0000005471","s.n.","HVAT - Herbário do Vale do Taquari","Pantano Grande","pt","HVAT",1829089322,"BRA:FUVATES:HVAT:0000005471","Collection","C. R. Orlandi","5471","FUVATES","Universidade Vale do Taquari (UNIVATES)","C. R. Orlandi","Vila Capivarita, Horto Florestal Tarumã.","Arvoreta; Borda de mata de galeria dentro do Horto Florestal.","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Pantano Grande","Rio Grande do Sul","brazil",51,"Pantano Grande",4313953,-52.372777,-30.260061,"RIO GRANDE DO SUL","RS","Rio Grande do Sul",-53.24495754,-29.78635099,"Rio Grande do Sul","rs",-30.324842,-52.500886,"original coordinates","original coordinates OK"
"8","Miconia hyemalis",1889166315,-25.241028,-49.999944,"gass84,iddatunl","08a179fe-9cd1-4d33-afef-266dd55c59cf","6cfcf69e-9ec1-48e1-be34-5201bdb63bd7","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:49.388+0000","2018-08-03T12:04:34.106+0000",131,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2017-09-01T00:00:00",935,0,"Paraná",2017,9,15,"2017-09-15T00:00:00","","2018-08-03T12:04:34.126+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEM - Herbário UEM","BRA:UEM:HUEM:0000033147","99","HUEM - Herbário UEM","Ponta Grossa","pt","HUEM",1889166315,"BRA:UEM:HUEM:0000033147","Collection","R.Gonçales; L.A.Souza","33147","UEM","Universidade Estadual de Maringá, UEM","R.Gonçales","Parque Estadual de Vila Velha.","Arbustiva, cerca de 1,5m. Botões de coloração esverdeada; sépalas avermelhadas; pétalas e anteras brancas.","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Ponta Grossa","Paraná","brazil",912,"Ponta Grossa",4119905,-50.080932,-25.14133,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.241028,-49.999944,"original coordinates","original coordinates OK"
"9","Miconia hyemalis",1848109496,-27.687222,-49.151389,"gass84","121275a3-dcce-44f4-9868-37326e9f64ef","d254f613-d4dd-4553-9fe3-b9485ca28371","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:35.543+0000","2018-10-24T15:38:57.304+0000",122,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2017-12-01T00:00:00",1130,0,"Santa Catarina",2017,12,8,"2017-12-08T00:00:00","2018-10-01T14:27:37.000+0000","2018-12-08T15:07:34.913+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","BRA:UFSC:FLOR:0000063441","4966","FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","Alfredo Wagner","pt","FLOR",1848109496,"BRA:UFSC:FLOR:0000063441","Collection","Fiaschi, P.","63441","Universidade Federal de Santa Catarina (UFSC)","Universidade Federal de Santa Catarina (UFSC)","P. Fiaschi","Morro da Boa Vista. Mata ombrófila em grota.","Arvoreta, ca. 2.5 m alt., na orla da mata. Frutos passando de verdes a vináceos","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Alfredo Wagner","Santa Catarina","brazil",488,"Alfredo Wagner",4200705,-49.330592,-27.706005,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.687222,-49.151389,"original coordinates","original coordinates OK"
"10","Miconia hyemalis",1455398537,-30.326831,-52.490231,"gass84,txmatfuz","ad0f71c1-1ddc-4a46-950c-751ceb5b2cf8","24bd9401-0ae1-46f1-960f-303fc8af2600","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:34.196+0000","2017-12-29T14:12:57.269+0000",87,"none","PRESERVED_SPECIMEN",3864061,6,7707728,220,690,6683,3188558,3864061,3864061,"Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Miconia hyemalis A.St.-Hil. & Naudin ex Naudin","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia hyemalis","Miconia","hyemalis","SPECIES","ACCEPTED","2016-12-26T00:00:00",NA,NA,"Rio Grande do Sul",2016,5,20,"2016-05-20T00:00:00","2017-11-01T16:39:36.000+0000","2018-12-09T07:19:29.049+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVAT - Herbário do Vale do Taquari","BRA:FUVATES:HVAT:0000005065","05","HVAT - Herbário do Vale do Taquari","Pantano Grande","pt","HVAT",1455398537,"BRA:FUVATES:HVAT:0000005065","Collection","M. Caumo","5065","FUVATES","Universidade Vale do Taquari (UNIVATES)","E. Freitas","Vila Capivarita, Horto Tarumã - CMPC.","Arvoreta.; APP com vegetação campestre - estágio inicial.","","","","","","",NA,"","",NA,"","","",NA,"",NA,NA,NA,"","","","",NA,NA,NA,"","",NA,NA,"Pantano Grande","Rio Grande do Sul","brazil",51,"Pantano Grande",4313953,-52.372777,-30.260061,"RIO GRANDE DO SUL","RS","Rio Grande do Sul",-53.24495754,-29.78635099,"Rio Grande do Sul","rs",-30.326831,-52.490231,"original coordinates","original coordinates OK"
