"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","continent","language","ownerInstitutionCode","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","collectionID","habitat","higherGeography","verbatimElevation","higherClassification","fieldNotes","identificationQualifier","identificationRemarks","georeferenceSources","georeferenceProtocol","eventRemarks","nomenclaturalStatus","taxonID","bibliographicCitation","individualCount","verbatimTaxonRank","coordinateUncertaintyInMeters","georeferencedDate","dynamicProperties","fieldNumber","organismID","datasetID","accessRights","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Miconia sclerophylla",1902144119,-14.741944,-42.571667,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:29.594+0000","2018-09-24T19:59:09.675+0000",207,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","none","Bahia",2017,3,22,"2017-03-22T00:00:00","2018-08-31T10:50:58.444+0000","2018-12-06T11:56:04.567+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1397222","173","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Licínio de Almeida","Saco da onça","RB",1902144119,"urn:catalog:JBRJ:RB:1397222","PhysicalObject","J. Coelho; M. Silva; A. Stadnik; A. Tuler","RB01397222","RB 774452","JBRJ","Folhas discolores. Frutos imaturos verdes","J. Coelho",NA,NA,"","","","","","","",NA,"","",NA,"","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Licínio de Almeida","Bahia","brazil",3272,"Licínio de Almeida",2919405,-42.466395,-14.591223,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.741944,-42.571667,"original coordinates","original coordinates OK"
"2","Miconia sclerophylla",1889188706,-14.741944,-42.571667,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:56.326+0000","2018-12-03T16:16:30.417+0000",122,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","2017-04-01T00:00:00","Bahia",2016,5,31,"2016-05-31T00:00:00","2018-08-28T19:12:49.000+0000","2018-12-03T16:17:57.583+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000131413","108","ALCB - Herbário Alexandre Leal Costa","Licínio de Almeida","Saco da onça, Mata estacional","ALCB",1889188706,"BRA:UFBA:ALCB:0000131413","Collection","Coelho, J; Amorim, VO","131413","","Universidade Federal da Bahia (UFBA)","ca. 1,70 m, folhas discolores, face adaxial com tricomas furfuráceo, ferrugíneos, face abaxial ferrugineo, frutos imaturos verdes passando a amarelos quando maduros.","Coelho, J",978,0,"SOUTH_AMERICA","pt","Universidade Federal da Bahia (UFBA)","","","","",NA,"","",NA,"","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Licínio de Almeida","Bahia","brazil",3272,"Licínio de Almeida",2919405,-42.466395,-14.591223,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.741944,-42.571667,"original coordinates","original coordinates OK"
"3","Miconia sclerophylla",1837450442,-14.743889,-42.572778,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:53.361+0000","2018-12-03T16:16:07.123+0000",122,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","2015-07-01T00:00:00","Bahia",2015,5,14,"2015-05-14T00:00:00","2018-08-28T19:12:49.000+0000","2018-12-08T03:40:19.005+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000122599","66","ALCB - Herbário Alexandre Leal Costa","Licínio de Almeida","Saco da onça","ALCB",1837450442,"BRA:UFBA:ALCB:0000122599","Collection","Coelho, J; Stadnik, A; Borges, RL; Santana, A","122599","","Universidade Federal da Bahia (UFBA)","ca. 1,30 m. Folhas dicolores, frutos imaturos verdes, passando a amarelos quando maduros.; Floresta estacional semidecidual","Coelho, J",963,0,"SOUTH_AMERICA","pt","Universidade Federal da Bahia (UFBA)","","","","",NA,"","",NA,"","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Licínio de Almeida","Bahia","brazil",3272,"Licínio de Almeida",2919405,-42.466395,-14.591223,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.743889,-42.572778,"original coordinates","original coordinates OK"
"4","Miconia sclerophylla",1424515093,-13.125,-41.824722,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:43:12.293+0000","2018-09-24T20:04:20.891+0000",207,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","none","Bahia",2015,7,6,"2015-07-06T00:00:00","2017-10-08T16:42:59.115+0000","2018-12-06T17:01:10.147+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:993996","1447","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Bahia","Mun. Piatã, estrada BA 560, Piatã p/ Campos Gerais, margeando os campos gerais.","RB",1424515093,"urn:catalog:JBRJ:RB:993996","PhysicalObject","J.F.A. Baumgratz; M. Bovini, M. Nadruz, T. Meneguzzo & L.S.B. Jordão","RB00993996","RB 630263","JBRJ","Arvoreta ca. 2 m alt., esciófila, crescendo na margem da estrada nos Campos Gerais; ramos e pecíolos jovens ferrugíneos, os adultos cinéreos; folhas discolores: face adaxial verde, face abaxial verde-pardacenta, com nervuras acródromas ferrugíneas; frutos jovens verdes.","J.F.A. Baumgratz",1434,NA,"","","","","","","",NA,"","",NA,"","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Bahia","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.125,-41.824722,"original coordinates","original coordinates outside municipality original in bahia falls in piata"
"5","Miconia sclerophylla",1424514934,-13.303611,-41.801667,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:43:12.190+0000","2018-09-24T20:04:20.851+0000",207,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","none","Bahia",2015,7,4,"2015-07-04T00:00:00","","2018-12-06T17:01:09.863+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:993123","1404","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Bahia","Mun. Abaíra, Distrito de Catolés, estrada Catolés para Ouro Verde, Cerrado/Carrasco.","RB",1424514934,"urn:catalog:JBRJ:RB:993123","PhysicalObject","J.F.A. Baumgratz; M. Bovini, M. Nadruz, T. Meneguzzo & L.S.B. Jordão","RB00993123","RB 630101","JBRJ","Arbusto ca. 1,30 cm alt., heliófilo; ramos, pecíolos e inflorescências cinéreos; folhas discolores: face adaxial verde, fosca quando indumento presente, posteriormente brilhosa pela queda do indumento, face abaxial amarelo-pardacenta; frutos jovens verdes, maduros amarelados.","J.F.A. Baumgratz",884,NA,"","","","","","","",NA,"","",NA,"","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Bahia","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.303611,-41.801667,"original coordinates","original coordinates outside municipality original in bahia falls in abaira"
"6","Miconia sclerophylla",1087184960,-19.033056,-43.717222,"gass84","fd99455d-f6e9-4421-930a-5d8e23ac8895","9ac2b49d-da08-49a7-a7ae-c2a0460fcf96","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:19:50.015+0000","2018-01-05T18:24:13.438+0000",137,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","2013-01-01T00:00:00","Minas Gerais",2013,1,29,"2013-01-29T00:00:00","2015-05-12T19:56:07.000+0000","2018-12-08T13:03:12.680+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte","BRA:FZB-BH:BHZB:0000010092","385","BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte","Santana do Riacho","RPPN Brumas do Espinhaço e Ermo do Gerais, Brumas","BHZB",1087184960,"BRA:FZB-BH:BHZB:0000010092","Collection","Fernandes, F.M. et al","10092","","FZB-BH","; Habitat: Campo rupestre; Fruto: Frutos imaturos verdes.; Bioma: Cerrado","Renato Goldenberg",1355,0,"","pt","Fundação Zoo-Botânica de Belo Horizonte (FZB-BH)","","","","",NA,"","",NA,"","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Santana do Riacho","Minas Gerais","brazil",2600,"Santana do Riacho",3159001,-43.645093,-19.189098,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.033056,-43.717222,"original coordinates","original coordinates OK"
"7","Miconia sclerophylla",1252589441,-19.127086,-43.655291,"gass84","a51fa32f-831d-49d6-8b8a-c7b52ae65b3b","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:53.431+0000","2018-09-24T16:36:56.851+0000",125,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","2014-01-01T00:00:00","Minas Gerais",2013,2,1,"2013-02-01T00:00:00","2018-08-21T19:33:56.000+0000","2018-12-08T15:43:22.721+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UPCB - Herbário do Departamento de Botânica","BRA:UFPR:UPCB:0000084274","1397","UPCB - Herbário do Departamento de Botânica","Santana do Riacho","Lapinha. Trilha para a cachoeira.","UPCB",1252589441,"BRA:UFPR:UPCB:0000084274","Collection","Reginato, M.","84274","","UFPR","Arbusto 1m. Frutos verdes, folhas discolores, abaxial castanha..","Goldenberg, R.",NA,NA,"","pt","Universidade Federal do Paraná, UFPR","","","","",NA,"","",NA,"","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Santana do Riacho","Minas Gerais","brazil",2600,"Santana do Riacho",3159001,-43.645093,-19.189098,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.127086,-43.655291,"original coordinates","original coordinates OK"
"8","Miconia sclerophylla",1928868973,-13.5192,-41.9497,"gass84","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","none","17017c2c-036b-45d9-b045-606d21b00771","US","DWC_ARCHIVE","2018-11-18T14:52:41.184+0000","2018-11-18T14:52:41.218+0000",96,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","2016-04-01T00:00:00","Bahia",2012,2,14,"2012-02-14T00:00:00","","2018-12-08T19:29:47.839+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","The New York Botanical Garden","4ddaa357-902f-4136-b8b5-7e38568d2607","342","Vascular plants","","Pico das Almas, Trilha Pico das Almas, apÃ³s campo do Queiroz, borda da mata.","NY",1928868973,"4ddaa357-902f-4136-b8b5-7e38568d2607","PhysicalObject","M. J. R. Rocha","01856095","","NY","","R. Goldenberg",0,0,"SOUTH_AMERICA","en","","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2192244","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","14 Feb 2012",45,"Rio de Contas","sheet",45,"http://biocol.org/urn:lsid:biocol.org:col:15556","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.5192,-41.9497,"original coordinates","original coordinates outside municipality original in  falls in rio de contas"
"9","Miconia sclerophylla",1931776844,-18.142222,-43.608889,"gass84","09010edb-5e55-4dc0-8a97-a26a3bb89e85","9610290b-e0ea-439b-b726-ba11bcecfb86","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:23.114+0000","2018-10-25T12:33:46.356+0000",122,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","2012-08-01T00:00:00","Minas Gerais",2012,3,15,"2012-03-15T00:00:00","2018-10-24T15:04:11.000+0000","2018-12-07T06:15:02.597+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFU - Herbarium Uberlandense","BRA:UFU:HUFU:0000062264","260","HUFU - Herbarium Uberlandense","Diamantina","Parque Estadual do Biribiri, ""Alto da Jacuba""","HUFU",1931776844,"BRA:UFU:HUFU:0000062264","Collection","Araújo, I.M.; Marques, D. & Franco, I.M.","62264","","UFU","Arbusto, ca 2,5m. Frutos imaturos verdes.; Campo rupestre","Araújo, I.M.",1382,0,"","pt","Universidade Federal de Uberlândia (UFU)","","","","",NA,"","",NA,"","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Diamantina","Minas Gerais","brazil",2798,"Diamantina",3121605,-43.610232,-17.993337,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.142222,-43.608889,"original coordinates","original coordinates OK"
"10","Miconia sclerophylla",1931776686,-18.144167,-43.6125,"gass84","09010edb-5e55-4dc0-8a97-a26a3bb89e85","9610290b-e0ea-439b-b726-ba11bcecfb86","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:23.132+0000","2018-10-25T12:33:46.322+0000",122,"none","PRESERVED_SPECIMEN",3867408,6,7707728,220,690,6683,3188558,3867408,3867408,"Miconia sclerophylla Triana","Miconia sclerophylla Triana","Plantae","Tracheophyta","Myrtales","Melastomataceae","Miconia","Miconia sclerophylla","Miconia","sclerophylla","SPECIES","ACCEPTED","2012-08-01T00:00:00","Minas Gerais",2012,3,13,"2012-03-13T00:00:00","2018-10-24T15:04:11.000+0000","2018-12-07T06:15:02.473+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFU - Herbarium Uberlandense","BRA:UFU:HUFU:0000062297","237","HUFU - Herbarium Uberlandense","Diamantina","Parque Estadual do Biribiri, ""Salto do mocotó, próximo ao Rio do Biribiri""","HUFU",1931776686,"BRA:UFU:HUFU:0000062297","Collection","Araújo, I.M.; Marques, D. & Franco, I.M.","62297","","UFU","Arvoreta, ca.3m. Frutos imaturos verdes, maduros amarelos.; Cerradão","Araújo, I.M.",1065,0,"","pt","Universidade Federal de Uberlândia (UFU)","","","","",NA,"","",NA,"","","","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"Diamantina","Minas Gerais","brazil",2798,"Diamantina",3121605,-43.610232,-17.993337,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.144167,-43.6125,"original coordinates","original coordinates OK"
