"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","individualCount","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","preparations","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","identifiedBy","continent","occurrenceRemarks","modified","otherCatalogNumbers","fieldNotes","institutionID","higherGeography","endDayOfYear","county","startDayOfYear","higherClassification","references","habitat","nomenclaturalCode","verbatimEventDate","verbatimElevation","collectionID","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","nomenclaturalStatus","taxonID","bibliographicCitation","georeferencedDate","verbatimTaxonRank","fieldNumber","verbatimLocality","eventRemarks","identificationQualifier","rights","typeStatus","typifiedName","organismID","datasetID","accessRights","georeferencedBy","georeferenceRemarks","verbatimCoordinateSystem","reproductiveCondition","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Vochysia thyrsoidea",1944855560,-15.755833,-41.791111,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:46.032+0000","2018-11-23T18:21:46.060+0000",123,"none","PRESERVED_SPECIMEN",4,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","none",1221,0,"Minas Gerais",2018,3,5,"2018-03-05T00:00:00","2018-11-23T18:23:04.175+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000106068","7196","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BERIZAL","Serra do Anastácio.","pt","CEN",1944855560,"BRA:Cenargen:CEN:0000106068","Collection","Exsicatas","Anderson Cássio Sevilha","106068","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","A. C. Servilha","","","","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"BERIZAL","Minas Gerais","brazil",3118,"Berizal",3106655,-41.763675,-15.68589,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-15.755833,-41.791111,"original coordinates","original coordinates OK"
"2","Vochysia thyrsoidea",1899744381,-16.531389,-48.381667,"gass84","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:44.376+0000","2018-09-02T19:50:42.166+0000",114,"none","PRESERVED_SPECIMEN",NA,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","2018-06-27T00:00:00",9999,0,"Distrito Federal",2018,6,27,"2018-06-27T00:00:00","2018-09-02T19:50:42.187+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000216951","s.n.","UB - Herbário da Universidade de Brasília","Brasília","Próximo à Penitenciária Federal de Brasília","pt","UB",1899744381,"BRA:UnB:UB:0000216951","Collection","","Gomes, L; Santos, MJ; Dusi, RG","216951","UnB","Universidade de Brasília (UnB)","Bustamante, MMC","SOUTH_AMERICA","Árvore de 4 a 11 metros, folhas de aspecto duro e brilhante, inflorescência amarela; Cerrado Denso","","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"Brasília","Distrito Federal","brazil",3101,"Brasília",5300108,-47.797394,-15.780212,"DISTRITO FEDERAL","DF","Distrito Federal",-47.79774208,-15.78050687,"Distrito Federal","df",-16.531389,-48.381667,"original coordinates","original coordinates outside municipality original in brasilia falls in silvania"
"3","Vochysia thyrsoidea",1931786654,-21.270161,-44.500569,"gass84","3f6a3304-f66f-4ba8-be57-92a70f3aac3f","3f41d988-faf2-4a9f-811e-8dac728c05d4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:02.773+0000","2018-10-25T12:34:59.938+0000",140,"none","PRESERVED_SPECIMEN",NA,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","2018-01-01T00:00:00",1080,0,"Minas Gerais",2017,4,6,"2017-04-06T00:00:00","2018-12-07T06:15:09.103+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFSJ - Herbário da Universidade Federal de São João Del Rei","BRA:UFSJ:HUFSJ:0000009989","850","HUFSJ - Herbário da Universidade Federal de São João Del Rei","São João del-Rei","Trilha alternativa de acesso às torres de transmissão, campo rupestre, Serra do Lenheiro.","pt","HUFSJ",1931786654,"BRA:UFSJ:HUFSJ:0000009989","Collection","","Costa, MTR; et al.","9989","UFSJ","Universidade Federal de São João Del Rei (UFSJ)","","","Arvoreta 2,5 m de altura, frutos.","2018-10-09T13:42:30.000+0000","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"São João del-Rei","Minas Gerais","brazil",NA,"",NA,NA,NA,"","","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.270161,-44.500569,"original coordinates","original coordinates outside municipality original in sao joao del-rei falls in nazareno"
"4","Vochysia thyrsoidea",1829083643,-20.095278,-43.632222,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:47.057+0000","2018-03-06T11:57:34.822+0000",121,"none","PRESERVED_SPECIMEN",NA,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","none",1389,0,"Minas Gerais",2017,8,8,"2017-08-08T00:00:00","2018-07-07T03:38:10.874+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000188767","1496","BHCB - Herbário da Universidade Federal de Minas Gerais","Santa Bárbara","Propriedade Rio Preto ","pt","BHCB",1829083643,"BRA:UFMG:BHCB:0000188767","Collection","","Paiva, JAM; Souza, JAM; Silva, E","188767","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","SOUTH_AMERICA","","","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"Santa Bárbara","Minas Gerais","brazil",2414,"Santa Bárbara",3157203,-43.475592,-20.029419,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.095278,-43.632222,"original coordinates","original coordinates OK"
"5","Vochysia thyrsoidea",1931786573,-21.234431,-44.475914,"gass84","3f6a3304-f66f-4ba8-be57-92a70f3aac3f","3f41d988-faf2-4a9f-811e-8dac728c05d4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:02.777+0000","2018-10-25T12:34:59.968+0000",140,"none","PRESERVED_SPECIMEN",NA,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","2018-01-01T00:00:00",981,0,"Minas Gerais",2017,9,17,"2017-09-17T00:00:00","2018-12-07T06:15:09.083+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFSJ - Herbário da Universidade Federal de São João Del Rei","BRA:UFSJ:HUFSJ:0000009990","1147","HUFSJ - Herbário da Universidade Federal de São João Del Rei","São João del-Rei","Campo rupestre recém-queimado no morro ao lado esquerdo às Águas Férreas, Serra do Lenheiro","pt","HUFSJ",1931786573,"BRA:UFSJ:HUFSJ:0000009990","Collection","","Costa, MTR; Filadelfo, M; Soares, J","9990","UFSJ","Universidade Federal de São João Del Rei (UFSJ)","","","Arvoreta 2 m de altura, frutos secos.","2018-10-09T13:42:30.000+0000","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"São João del-Rei","Minas Gerais","brazil",NA,"",NA,NA,NA,"","","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.234431,-44.475914,"original coordinates","original coordinates outside municipality original in sao joao del-rei falls in nazareno"
"6","Vochysia thyrsoidea",1835178151,-12.990278,-41.349444,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:04.247+0000","2018-09-10T18:27:56.192+0000",124,"none","PRESERVED_SPECIMEN",NA,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","none",870,0,"Bahia",2017,9,8,"2017-09-08T00:00:00","2018-09-10T18:28:20.621+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000236279","13540","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Mucugê","Rio Cumbuca.","pt","HUEFS",1835178151,"BRA:UEFS:HUEFS:0000236279","Collection","","Melo, E.","236279","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","Campo rupestre na margem do rio.","","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"Mucugê","Bahia","brazil",3451,"Mucugê",2921906,-41.469352,-13.061639,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.990278,-41.349444,"original coordinates","original coordinates OK"
"7","Vochysia thyrsoidea",1931786478,-21.217894,-44.457458,"gass84","3f6a3304-f66f-4ba8-be57-92a70f3aac3f","3f41d988-faf2-4a9f-811e-8dac728c05d4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:02.751+0000","2018-10-25T12:34:59.999+0000",140,"none","PRESERVED_SPECIMEN",NA,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","2018-01-01T00:00:00",953,0,"Minas Gerais",2017,10,6,"2017-10-06T00:00:00","2018-12-07T06:15:08.984+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFSJ - Herbário da Universidade Federal de São João Del Rei","BRA:UFSJ:HUFSJ:0000009991","1187","HUFSJ - Herbário da Universidade Federal de São João Del Rei","São João del-Rei","Serra do Lenheiro, campo rupestre, acesso por trilha a partir do bairro Senhor dos Montes.","pt","HUFSJ",1931786478,"BRA:UFSJ:HUFSJ:0000009991","Collection","","Costa, MTR; Lombardi, VT","9991","UFSJ","Universidade Federal de São João Del Rei (UFSJ)","","","Arvoreta 3 m de altura, frutos.","2018-10-09T13:42:30.000+0000","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"São João del-Rei","Minas Gerais","brazil",NA,"",NA,NA,NA,"","","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.217894,-44.457458,"original coordinates","original coordinates outside municipality original in sao joao del-rei falls in sao joao del rei"
"8","Vochysia thyrsoidea",1931786474,-21.220764,-44.503994,"gass84","3f6a3304-f66f-4ba8-be57-92a70f3aac3f","3f41d988-faf2-4a9f-811e-8dac728c05d4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:02.751+0000","2018-10-25T12:34:59.938+0000",140,"none","PRESERVED_SPECIMEN",NA,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","2018-01-01T00:00:00",1162,0,"Minas Gerais",2017,10,28,"2017-10-28T00:00:00","2018-12-07T06:15:09.051+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFSJ - Herbário da Universidade Federal de São João Del Rei","BRA:UFSJ:HUFSJ:0000009992","1230","HUFSJ - Herbário da Universidade Federal de São João Del Rei","São João del-Rei","Serra do Lenheiro, campo rupestre, acesso por trilha em frente à base do Exército.","pt","HUFSJ",1931786474,"BRA:UFSJ:HUFSJ:0000009992","Collection","","Costa, MTR; et al.","9992","UFSJ","Universidade Federal de São João Del Rei (UFSJ)","","","Arvoreta 3 m de altura, botões florais.","2018-10-09T13:42:30.000+0000","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"São João del-Rei","Minas Gerais","brazil",NA,"",NA,NA,NA,"","","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.220764,-44.503994,"original coordinates","original coordinates outside municipality original in sao joao del-rei falls in conceicao da barra de minas"
"9","Vochysia thyrsoidea",1806846561,-10.331556,-41.484944,"cdround,gass84","b18aa640-0367-4956-a6a4-5f07141127f1","6bfada01-036d-455a-b332-081dbe226a05","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:19.550+0000","2018-05-05T12:05:52.878+0000",121,"none","PRESERVED_SPECIMEN",NA,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","2017-12-21T00:00:00",1200,0,"Bahia",2017,12,16,"2017-12-16T00:00:00","2018-12-10T04:45:36.534+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVASF - Herbário Vale do São Francisco","BRA:UNIVASF:HVASF:0000023385","3971","HVASF - Herbário Vale do São Francisco","Sento Sé","Mina grande, região de extração de cristais","pt","HVASF",1806846561,"BRA:UNIVASF:HVASF:0000023385","Collection","","J.A. Siqueira Filho","23385","UNIVASF","Universidade Federal do Vale do São Francisco (UNIVASF)","J.A. Siqueira Filho","SOUTH_AMERICA","Arvoreta ca. de 4 m alt., flores vistosas, amarelas, em plena floração.","2018-04-13T19:02:46.000+0000","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"Sento Sé","Bahia","brazil",3892,"Sento Sé",2930204,-41.658076,-10.134058,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-10.331556,-41.484944,"original coordinates","original coordinates OK"
"10","Vochysia thyrsoidea",1801097515,-17.595233,-43.760309,"gass84","eb63cc46-126f-43b2-9c3e-0f03a97e0638","60f97f47-cd0d-4ff5-b0c0-c98495bf430a","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:03.760+0000","2017-12-29T14:08:07.022+0000",136,"none","PRESERVED_SPECIMEN",NA,7288343,6,7707728,220,690,3231623,8225540,7288343,7288343,"Vochysia thyrsoidea Pohl","Vochysia thyrsoidea Pohl","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia thyrsoidea","Vochysia","thyrsoidea","SPECIES","ACCEPTED","2016-08-01T00:00:00",1100,0,"Minas Gerais",2016,7,21,"2016-07-21T00:00:00","2018-12-08T01:46:24.826+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HDJF - Herbário Dendrológico Jeanine Felfili","BRA:UFVJM:HDJF:0000005230","26","HDJF - Herbário Dendrológico Jeanine Felfili","Diamantina","Parque Nacional das Sempre-Vivas, região norte, Município de Olhos D'água","pt","HDJF",1801097515,"BRA:UFVJM:HDJF:0000005230","Collection","","Costa, TR; Moura, C C; Silva, LS","5230","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","Machado, ELM","SOUTH_AMERICA","Árvore ca. 4 m de altura e DAP de 8 cm em média (caules multiplos).; Mata de Galeria inundável","2017-12-15T12:55:39.000+0000","","","","",NA,"",NA,"","","","","","","",NA,"","","",NA,"","","",NA,"","",NA,NA,"","",NA,"","",NA,NA,NA,NA,"Diamantina","Minas Gerais","brazil",2798,"Diamantina",3121605,-43.610232,-17.993337,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-17.595233,-43.760309,"original coordinates","original coordinates outside municipality original in diamantina falls in olhos-d'agua"
