"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","continent","identifiedBy","individualCount","preparations","otherCatalogNumbers","fieldNotes","references","habitat","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","startDayOfYear","verbatimElevation","collectionID","rights","identificationQualifier","fieldNumber","verbatimLocality","higherGeography","verbatimCoordinateSystem","nomenclaturalStatus","taxonID","bibliographicCitation","georeferenceProtocol","eventRemarks","higherClassification","infraspecificEpithet","coordinateUncertaintyInMeters","georeferenceSources","taxonRemarks","verbatimTaxonRank","georeferencedDate","identificationRemarks","organismID","datasetID","accessRights","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Vochysia elliptica",1913596193,-10.206667,-48.32,"gass84","965b5ae5-7b2d-4155-a7ff-e9e496d70f90","605d693a-f335-44fb-b6cf-3ac49842358e","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:22:34.269+0000","2018-09-25T13:28:51.333+0000",129,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","none",9999,0,"Tocantins",2018,3,10,"2018-03-10T00:00:00","2018-08-28T15:49:20.000+0000","2018-12-10T13:35:55.742+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUTO - Herbário da Universidade de Tocantins","BRA:UNITINS:HUTO:0000007288","19","HUTO - Herbário da Universidade de Tocantins","Palmas","Parque Cesmar","pt","HUTO",1913596193,"BRA:UNITINS:HUTO:0000007288","Collection","Morais, L.F.","7288","UNITINS","Fundação Universidade de Tocantins (UNITINS)","Árvore com cerca de 2 m de altura. Flores amarelas. Projeto PIBIC Unitins.; Floresta estacional.","","",NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","Palmas","Tocantins","brazil",3877,"Palmas",1721000,-48.15252,-10.220926,"TOCANTINS","TO","Tocantins",-48.32919432,-10.14913269,"Tocantins","to",-10.206667,-48.32,"original coordinates","original coordinates OK"
"2","Vochysia elliptica",1890644115,-15.718889,-48.937778,"gass84","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:09.160+0000","2018-09-10T18:28:53.553+0000",135,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","2018-08-15T00:00:00",1169,0,"Goiás",2018,5,9,"2018-05-09T00:00:00","2018-08-17T14:57:54.000+0000","2018-12-08T13:12:40.765+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000033893","2187","HEPH - Herbário Ezechias Paulo Heringer","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji","pt","HEPH",1890644115,"BRA:JBB:HEPH:0000033893","Collection","Rosa, PO; Rivaroli, GV; Cardoso, PPM; Pereira, MG; Silva, DS","33893","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Arvoreta, ca. de 2,0m. Cálice amarelo-esverdeado, corola e estames amarelos; Ecótono campo limpo / cerrado","SOUTH_AMERICA","Chacon, RG",NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","Pirenópolis","Goiás","brazil",3099,"Pirenópolis",5217302,-49.011284,-15.808451,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.718889,-48.937778,"original coordinates","original coordinates OK"
"3","Vochysia elliptica",1890644114,-15.721667,-48.931944,"gass84","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:09.179+0000","2018-09-10T18:28:53.550+0000",135,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","2018-08-15T00:00:00",1140,0,"Goiás",2018,5,11,"2018-05-11T00:00:00","2018-08-17T14:57:54.000+0000","2018-12-08T13:12:40.821+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000033939","2233","HEPH - Herbário Ezechias Paulo Heringer","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji","pt","HEPH",1890644114,"BRA:JBB:HEPH:0000033939","Collection","Rosa, PO; Rivaroli, GV; Cardoso, PPM; Pereira, MG; Silva, DS","33939","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Árvore, ca. de 4,0m. Botão flora e cálice marrom, corola e estames amarelos; Cerrado s.s.","SOUTH_AMERICA","Chacon, RG",NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","Pirenópolis","Goiás","brazil",3099,"Pirenópolis",5217302,-49.011284,-15.808451,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.721667,-48.931944,"original coordinates","original coordinates OK"
"4","Vochysia elliptica",1899744383,-15.942778,-47.858889,"gass84","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:44.184+0000","2018-09-02T19:50:42.179+0000",114,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","2018-06-04T00:00:00",9999,0,"Distrito Federal",2018,6,4,"2018-06-04T00:00:00","","2018-09-02T19:50:42.197+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000216952","s.n.","UB - Herbário da Universidade de Brasília","Brasília","IBGE","pt","UB",1899744383,"BRA:UnB:UB:0000216952","Collection","Bustamante, MMC; Espindola, LS","216952","UnB","Universidade de Brasília (UnB)","Floresce durante a seca; Arbusto, folhas coriáceas, inflorescência amarela; Cerrado Denso","SOUTH_AMERICA","Bustamante, MMC",NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","Brasília","Distrito Federal","brazil",3101,"Brasília",5300108,-47.797394,-15.780212,"DISTRITO FEDERAL","DF","Distrito Federal",-47.79774208,-15.78050687,"Distrito Federal","df",-15.942778,-47.858889,"original coordinates","original coordinates OK"
"5","Vochysia elliptica",1913583370,-15.338333,-42.7525,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:43.952+0000","2018-11-23T18:21:43.991+0000",123,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","none",986,0,"Minas Gerais",2017,3,15,"2017-03-15T00:00:00","2018-10-26T14:09:52.000+0000","2018-12-10T13:35:48.420+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000103275","6382","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","SANTO ANTÔNIO DO RETIRO","Sucuriu.","pt","CEN",1913583370,"BRA:Cenargen:CEN:0000103275","Collection","Anderson Cássio Sevilha","103275","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Projeto Bem Diverso.","","G. H. Shimizu",3,"Exsicatas","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","SANTO ANTÔNIO DO RETIRO","Minas Gerais","brazil",3175,"Santo Antônio do Retiro",3160454,-42.661615,-15.288357,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-15.338333,-42.7525,"original coordinates","original coordinates OK"
"6","Vochysia elliptica",1913583833,-15.041666,-42.654444,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:44.112+0000","2018-11-23T18:21:44.264+0000",123,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","none",1063,0,"Minas Gerais",2017,3,20,"2017-03-20T00:00:00","2018-10-26T14:09:52.000+0000","2018-12-10T13:35:48.783+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000103670","6728","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","SANTO ANTÔNIO DO RETIRO","Sítio 15. Ponto 4. Nascente do rio Pardo. Serra do Espinhaço.","pt","CEN",1913583833,"BRA:Cenargen:CEN:0000103670","Collection","Anderson Cássio Sevilha","103670","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Projeto Bem Diverso.","","A. C. Servilha",4,"Exsicatas","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","SANTO ANTÔNIO DO RETIRO","Minas Gerais","brazil",3175,"Santo Antônio do Retiro",3160454,-42.661615,-15.288357,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-15.041666,-42.654444,"original coordinates","original coordinates OK"
"7","Vochysia elliptica",1944854851,-11.795555,-46.380833,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:45.238+0000","2018-11-23T18:21:45.279+0000",123,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","none",754,0,"Tocantins",2017,4,20,"2017-04-20T00:00:00","","2018-11-23T18:23:03.743+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000105413","1554","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","PONTE ALTA DO BOM JESUS","Rodovia TO-040, próximo à divisa com a Bahia.","pt","CEN",1944854851,"BRA:Cenargen:CEN:0000105413","Collection","Guilherme de M. Antar","105413","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Botões florais verdes. Doação Universidade de São Paulo - Herbário SPF.","","G. Shimizu",1,"Exsicatas","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","PONTE ALTA DO BOM JESUS","Tocantins","brazil",3586,"Ponte Alta do Bom Jesus",1717800,-46.579421,-12.052438,"TOCANTINS","TO","Tocantins",-48.32919432,-10.14913269,"Tocantins","to",-11.795555,-46.380833,"original coordinates","original coordinates OK"
"8","Vochysia elliptica",1913584147,-15.915555,-42.482777,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:44.360+0000","2018-11-23T18:21:44.492+0000",123,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","none",920,0,"Minas Gerais",2017,6,21,"2017-06-21T00:00:00","2018-10-26T14:09:52.000+0000","2018-12-10T13:35:48.876+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000104165","6987","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","RIO PARDO DE MINAS","Comunidade Brejo. Sítio 24 - Ponto 1.","pt","CEN",1913584147,"BRA:Cenargen:CEN:0000104165","Collection","Anderson Cássio Sevilha","104165","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Projeto Bem Diverso.","","A. C. Servilha",4,"Exsicatas","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","RIO PARDO DE MINAS","Minas Gerais","brazil",3112,"Rio Pardo de Minas",3155603,-42.551348,-15.709272,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-15.915555,-42.482777,"original coordinates","original coordinates OK"
"9","Vochysia elliptica",1913582742,-12.14,-47.88,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:43.279+0000","2018-11-23T18:21:43.323+0000",123,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","none",NA,NA,"Tocantins",2017,7,8,"2017-07-08T00:00:00","2018-10-26T14:09:52.000+0000","2018-12-10T13:35:48.113+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000102641","131","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","PARANA","Conglomerado: TO-704. Coleta extra.","pt","CEN",1913582742,"BRA:Cenargen:CEN:0000102641","Collection","Eric R. José","102641","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Inventário Florestal Nacional (IFN).","","L. M. Brauner",3,"Exsicatas","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","PARANA","Tocantins","brazil",3504,"Paranã",1716208,-47.81372,-12.696852,"TOCANTINS","TO","Tocantins",-48.32919432,-10.14913269,"Tocantins","to",-12.14,-47.88,"original coordinates","original coordinates OK"
"10","Vochysia elliptica",1802516615,-12.866667,-43.15,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:55.489+0000","2018-12-03T16:15:48.867+0000",122,"none","PRESERVED_SPECIMEN",7288361,6,7707728,220,690,3231623,8225540,7288361,7288361,"Vochysia elliptica Mart.","Vochysia elliptica Mart.","Plantae","Tracheophyta","Myrtales","Vochysiaceae","Vochysia","Vochysia elliptica","Vochysia","elliptica","SPECIES","ACCEPTED","2017-09-01T00:00:00",NA,NA,"Bahia",2017,8,11,"2017-08-11T00:00:00","2018-08-28T19:20:35.000+0000","2018-12-08T03:53:08.996+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000128628","25869","ALCB - Herbário Alexandre Leal Costa","Brotas de Macaúbas","Estrada para pé do Morro.","pt","ALCB",1802516615,"BRA:UFBA:ALCB:0000128628","Collection","Guedes, ML; Alunos de Botânica BIO C05","128628","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas coriáceas, discolores. Frutos cápsulas, passadas.","SOUTH_AMERICA","Guedes, ML",NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","","",NA,"","","","","",NA,"","","","","",NA,"","","","","Brotas de Macaúbas","Bahia","brazil",3583,"Brotas de Macaúbas",2904506,-42.456965,-12.087331,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.866667,-43.15,"original coordinates","original coordinates outside municipality original in brotas de macaubas falls in paratinga"
