"","id","countryCode","establishmentMeans","occurrenceRemarks","location"
"1",264,"BR","NATIVA","Não endemica/Amazônia","BR-PA-BR-AM-BR-AC"
"2",271,"BR","NATIVA","Endemica/Mata Atlântica","BR-BA"
"3",274,"BR","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES"
"4",275,"BR","NATIVA","Endemica/Mata Atlântica","BR-RJ"
"5",277,"BR","NATIVA","Não endemica/Mata Atlântica","BR-RJ-BR-MG-BR-ES-BR-PR-BR-BA"
"6",280,"BR","NATIVA","Endemica/Mata Atlântica","BR-BA"
"7",285,"BR","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-ES-BR-BA"
"8",301,"BR","NATIVA","Não endemica/Amazônia","BR-AC-BR-MT"
"9",315,"BR","NATIVA","Endemica/Amazônia","BR-MA-BR-PA"
"10",319,"BR","NATIVA","Não endemica/Amazônia","BR-AM"
"11",342,"BR","NATIVA","Endemica/Caatinga","BR-MG-BR-SE-BR-PI-BR-PE-BR-CE-BR-BA"
"12",343,"BR","NATIVA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-MG-BR-SC-BR-RS-BR-PR-BR-MS"
"13",401,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-BA-BR-SP-BR-MG-BR-SC-BR-RS-BR-PR-BR-MS-BR-GO-BR-DF"
"14",409,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-MG-BR-SC-BR-RS-BR-PR-BR-MS-BR-GO-BR-DF"
"15",414,"BR","NATURALIZADA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-MG-BR-SC-BR-RS-BR-PR-BR-MS-BR-GO-BR-DF"
"16",439,"BR","NATIVA","Não endemica/Amazônia","BR-AM-BR-AC"
"17",440,"BR","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-ES-BR-PE-BR-BA"
"18",441,"BR","NATIVA","Endemica/Mata Atlântica","BR-ES"
"19",442,"BR","NATIVA","Endemica/Mata Atlântica","BR-ES"
"20",443,"BR","NATIVA","Endemica/Mata Atlântica","BR-BA"
"21",445,"BR","NATIVA","Endemica/Mata Atlântica","BR-BA"
"22",446,"BR","NATIVA","Endemica/Mata Atlântica","BR-RJ-BR-ES-BR-BA"
"23",447,"BR","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-BA"
"24",448,"BR","NATIVA","Endemica/Mata Atlântica","BR-BA"
