"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","continent","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","modified","otherCatalogNumbers","fieldNotes","references","habitat","nomenclaturalCode","institutionID","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","individualCount","nomenclaturalStatus","taxonID","bibliographicCitation","rights","coordinateUncertaintyInMeters","identificationRemarks","georeferenceProtocol","georeferenceSources","higherGeography","organismID","datasetID","accessRights","higherClassification","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Myrcia albotomentosa",1835181564,-15.72,-48.939444,"gass84,iddatunl","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:08.899+0000","2018-11-14T17:16:08.915+0000",135,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","2018-06-01T00:00:00",1110,0,"SOUTH_AMERICA","Goiás",2018,1,14,"2018-01-14T00:00:00","2018-11-14T17:16:08.927+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000033402","1689","HEPH - Herbário Ezechias Paulo Heringer","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji, Estrada em direção a cidade de pedra, no grotão. Ca 3,5 km da sede do mosteiro","pt","HEPH",1835181564,"BRA:JBB:HEPH:0000033402","Collection","Chacon, RG; Rivaroli, GV; Cardoso, PPM; Tinti, BV; Braga, VC","33402","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Raro; Subarbusto 50cm. Frutos pretos maduros, amarelos imaturos; Campo sujo, solo areia quartizoza, pedregoso","Rosa, PO","","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Pirenópolis","Goiás","brazil",3099,"Pirenópolis",5217302,-49.011284,-15.808451,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.72,-48.939444,"original coordinates","original coordinates OK"
"2","Myrcia albotomentosa",1835181333,-15.72,-48.939444,"gass84,iddatunl","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:08.796+0000","2018-11-14T17:16:08.814+0000",135,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","2017-10-01T00:00:00",1110,0,"SOUTH_AMERICA","Goiás",2017,10,3,"2017-10-03T00:00:00","2018-11-14T17:16:08.824+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000033218","1947","HEPH - Herbário Ezechias Paulo Heringer","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji","pt","HEPH",1835181333,"BRA:JBB:HEPH:0000033218","Collection","Rosa, PO; Soares, ACA; Tinti, BV; Santos, D","33218","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Subarbusto ca. de 1,0m, cálice verde e corola alva; Campo rupestre. Área queimada há 3 semanas","Rosa, PO","","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Pirenópolis","Goiás","brazil",3099,"Pirenópolis",5217302,-49.011284,-15.808451,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.72,-48.939444,"original coordinates","original coordinates OK"
"3","Myrcia albotomentosa",1835181364,-15.72,-48.939444,"gass84,iddatunl","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:08.820+0000","2018-11-14T17:16:08.824+0000",135,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","2017-10-01T00:00:00",1010,0,"SOUTH_AMERICA","Goiás",2017,10,4,"2017-10-04T00:00:00","2018-11-14T17:16:08.837+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000033262","1991","HEPH - Herbário Ezechias Paulo Heringer","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji, Boqueirão","pt","HEPH",1835181364,"BRA:JBB:HEPH:0000033262","Collection","Rosa, PO; Soares, ACA; Tinti, BV; Santos, D; Cardoso, PPM","33262","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Subarbusto ca. de 0,5m, cálice verde e corola alva; Campo rupestre próximo á mata","Rosa, PO","","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Pirenópolis","Goiás","brazil",3099,"Pirenópolis",5217302,-49.011284,-15.808451,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.72,-48.939444,"original coordinates","original coordinates OK"
"4","Myrcia albotomentosa",1135076072,-23.013889,-48.814722,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:59.226+0000","2018-11-24T08:56:59.247+0000",126,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","none",770,0,"SOUTH_AMERICA","São Paulo",2014,4,15,"2014-04-15T00:00:00","2018-11-24T08:57:22.028+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000048848","1693","SPSF - Herbário Dom Bento José Pickel","Avaré","Estação Ecológica de Avaré","pt","SPSF",1135076072,"BRA:IF:SPSF:0000048848","Collection","F. A. R. D. P. Arzolla & F.E.S.P.Vilela & J.B.Baitello & R.Cielo-Filho","48848","IF","Instituto Florestal, IF","COLETA: Árvore, 4m, flor branca.; GEOGRAFIA: Mosaico de Campo cerrado, Campo sujo e Campo limpo.;","O.T. Aguiar","","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Avaré","São Paulo","brazil",1313,"Avaré",3504503,-48.893958,-23.074488,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.013889,-48.814722,"original coordinates","original coordinates OK"
"5","Myrcia albotomentosa",1423909429,-15.091667,-48.855278,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:34:56.403+0000","2018-09-24T19:57:53.293+0000",207,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","none",1039,NA,"","Goiás",2014,8,4,"2014-08-04T00:00:00","2018-12-06T16:55:25.174+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1121689","4076","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Cocalzinho de Goiás","Margem da BR- 070 entre Girassol e Edilândia, ca. de 3 Km de Girassol.","","RB",1423909429,"urn:catalog:JBRJ:RB:1121689","PhysicalObject","J.E.Q. Faria","RB01121689","JBRJ","","","DFLIMA","2017-10-15T11:17:39.756+0000","RB 648836","Campo sujo","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Cocalzinho de Goiás","Goiás","brazil",3126,"Cocalzinho de Goiás",5205513,-48.602666,-15.655516,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.091667,-48.855278,"original coordinates","original coordinates outside municipality original in cocalzinho de goias falls in barro alto"
"6","Myrcia albotomentosa",1213658687,-15.783333,-48.9,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:35.263+0000","2018-01-05T18:34:59.127+0000",114,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","2014-09-01T00:00:00",9999,0,"SOUTH_AMERICA","Goiás",2014,9,12,"2014-09-12T00:00:00","2018-07-08T01:34:54.247+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000202258","1397","UB - Herbário da Universidade de Brasília","Cocalzinho de Goiás","Estrada de Cocalzinho de Goiás que passa na borda do Parque Estadual dos Pirineus. Cerrado em afloramento rochoso.","pt","UB",1213658687,"BRA:UnB:UB:0000202258","Collection","Rosa, PO; Nogales, T; Lima, DF","202258","UnB","Universidade de Brasília (UnB)","Subarbusto, ca. de 0,5m. Botão floral e flores alvas.","Rosa, PO","","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Cocalzinho de Goiás","Goiás","brazil",3126,"Cocalzinho de Goiás",5205513,-48.602666,-15.655516,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.783333,-48.9,"original coordinates","original coordinates outside municipality original in cocalzinho de goias falls in pirenopolis"
"7","Myrcia albotomentosa",1086684432,-15.797,-48.916,"gass84","a51fa32f-831d-49d6-8b8a-c7b52ae65b3b","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:51.680+0000","2018-08-03T12:05:44.587+0000",125,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","none",NA,NA,"","Goiás",2014,9,12,"2014-09-12T00:00:00","2018-12-06T13:38:57.829+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UPCB - Herbário do Departamento de Botânica","BRA:UFPR:UPCB:0000081093","504","UPCB - Herbário do Departamento de Botânica","Pirenópolis","BR-070, estrada para o P. E. Serra dos Pirineus. Cerrado.","pt","UPCB",1086684432,"BRA:UFPR:UPCB:0000081093","Collection","Lima, D.F.","81093","UFPR","Universidade Federal do Paraná, UFPR","Arbusto 0,5m. Folhas novas com face abaxial esbranquiçada; botões esbranquiçados..","","2018-07-31T17:23:35.000+0000","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Pirenópolis","Goiás","brazil",3099,"Pirenópolis",5217302,-49.011284,-15.808451,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.797,-48.916,"original coordinates","original coordinates OK"
"8","Myrcia albotomentosa",1837439783,-15.2419,-55.4943,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:52:01.461+0000","2018-12-03T16:41:01.539+0000",122,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","2015-01-01T00:00:00",NA,NA,"","Mato Grosso",2014,9,24,"2014-09-24T00:00:00","2018-12-08T03:40:14.631+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000199202","483","UEC - Herbário da Universidade Estadual de Campinas","Chapada dos Guimarães","PARNA Chapada dos Guimarães. Trilha para a Cachoeira Véu de Noiva.","pt","UEC",1837439783,"BRA:UNICAMP:UEC:0000199202","Collection","Trad, R.J.; Trad, M.F.D.J.","199202","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Arbusto ca. 50 cm. Flores brancas.; Cerrado","Lima, D.F.","2018-11-21T16:35:31.000+0000","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Chapada dos Guimarães","Mato Grosso","brazil",3200,"Chapada dos Guimarães",5103007,-55.541072,-15.109647,"MATO GROSSO","MT","Mato Grosso",-55.91290105,-12.94917881,"Mato Grosso","mt",-15.2419,-55.4943,"original coordinates","original coordinates OK"
"9","Myrcia albotomentosa",1086684453,-14.23,-48.145,"gass84","a51fa32f-831d-49d6-8b8a-c7b52ae65b3b","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:51.682+0000","2018-08-03T12:05:44.620+0000",125,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","2015-02-01T00:00:00",NA,NA,"","Goiás",2014,9,11,"2014-09-11T00:00:00","2018-12-06T13:38:57.800+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UPCB - Herbário do Departamento de Botânica","BRA:UFPR:UPCB:0000081094","499","UPCB - Herbário do Departamento de Botânica","Colinas do Sul","GO-132, entre Colinas do Sul e Niquelândia. Cerrado.","pt","UPCB",1086684453,"BRA:UFPR:UPCB:0000081094","Collection","Lima, D.F.","81094","UFPR","Universidade Federal do Paraná, UFPR","Árvore 2m. Flores alvas..","Lima, D.F.","2018-07-31T17:23:35.000+0000","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Colinas do Sul","Goiás","brazil",3349,"Colinas do Sul",5205521,-48.075231,-13.984131,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-14.23,-48.145,"original coordinates","original coordinates outside municipality original in colinas do sul falls in niquelandia"
"10","Myrcia albotomentosa",1837439775,-15.4915,-48.5421,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:52:01.509+0000","2018-12-03T16:41:01.494+0000",122,"none","PRESERVED_SPECIMEN",3174193,6,7707728,220,690,5014,7395601,3174193,3174193,"Myrcia albotomentosa DC.","Myrcia albotomentosa DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia albotomentosa","Myrcia","albotomentosa","SPECIES","ACCEPTED","2015-01-01T00:00:00",1141,0,"","Goiás",2014,9,21,"2014-09-21T00:00:00","2018-12-08T03:40:14.603+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000199203","462","UEC - Herbário da Universidade Estadual de Campinas","Pirenópolis","Estrada de acesso ao Parque Estadual dos Pirineus, margem esquerda.","pt","UEC",1837439775,"BRA:UNICAMP:UEC:0000199203","Collection","Trad, R.J.; Trad, M.F.D.J.","199203","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Arbusto ca. 60 cm. Flores brancas.; Cerrado","Lima, D.F.","2018-11-21T16:35:31.000+0000","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"","","Pirenópolis","Goiás","brazil",3099,"Pirenópolis",5217302,-49.011284,-15.808451,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.4915,-48.5421,"original coordinates","original coordinates outside municipality original in pirenopolis falls in padre bernardo"
