"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","identificationQualifier","fieldNotes","identifiedBy","elevation","elevationAccuracy","continent","language","ownerInstitutionCode","occurrenceRemarks","individualCount","coordinateUncertaintyInMeters","references","habitat","nomenclaturalCode","institutionID","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","collectionID","georeferenceSources","higherGeography","georeferenceProtocol","eventRemarks","higherClassification","fieldNumber","identificationRemarks","verbatimElevation","georeferencedDate","nomenclaturalStatus","taxonID","bibliographicCitation","verbatimTaxonRank","typeStatus","organismID","datasetID","accessRights","dynamicProperties","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Myrcia retorta",1838432323,-19.374722,-43.316389,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:22.264+0000","2018-09-24T19:59:03.502+0000",207,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","2017-06-29T00:00:00","Minas Gerais",2017,5,16,"2017-05-16T00:00:00","2018-04-20T14:39:44.000+0000","2018-09-24T19:59:23.455+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1385068","607","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Itambé do Mato Dentro","Área PSSE 318","RB",1838432323,"urn:catalog:JBRJ:RB:1385068","PhysicalObject","A.S.Quaresma; C.T.Oliveira","RB01385068","RB 762658","JBRJ","cf.","Borda de mata","C.T.Oliveira",NA,NA,"","","","",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"Itambé do Mato Dentro","Minas Gerais","brazil",2561,"Itambé do Mato Dentro",3132800,-43.351088,-19.397162,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.374722,-43.316389,"original coordinates","original coordinates OK"
"2","Myrcia retorta",1801188748,-22.6825,-45.453056,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:57:00.587+0000","2018-11-24T08:57:00.604+0000",126,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","2016-06-06T00:00:00","São Paulo",2016,2,18,"2016-02-18T00:00:00","2018-11-05T15:58:01.000+0000","2018-12-08T01:46:36.353+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000052030","489","SPSF - Herbário Dom Bento José Pickel","Campos do Jordão","P.E. de Campos do Jordão","SPSF",1801188748,"BRA:IF:SPSF:0000052030","Collection","M.G.K. Cornia & N.M.Ivanauskas & R.Esteves","52030","","IF","","","O.T. Aguiar",1467,0,"SOUTH_AMERICA","pt","Instituto Florestal, IF","COLETA: Árvore 12m de altura. Indivíduo 1195 da fitossociologia. Material infértil.; GEOGRAFIA: Floresta Ombrófila Mista, (WGS84, Zona 23K). Trilha do Córrego da Galharada.;",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"Campos do Jordão","São Paulo","brazil",1455,"Campos do Jordão",3509700,-45.532846,-22.701675,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-22.6825,-45.453056,"original coordinates","original coordinates OK"
"3","Myrcia retorta",1801096805,-18.266389,-43.606667,"gass84","eb63cc46-126f-43b2-9c3e-0f03a97e0638","60f97f47-cd0d-4ff5-b0c0-c98495bf430a","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:03.356+0000","2017-12-29T14:08:06.355+0000",136,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","2016-09-01T00:00:00","Minas Gerais",2016,9,24,"2016-09-24T00:00:00","2017-12-15T12:55:34.000+0000","2018-12-08T01:46:24.159+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HDJF - Herbário Dendrológico Jeanine Felfili","BRA:UFVJM:HDJF:0000004536","6590","HDJF - Herbário Dendrológico Jeanine Felfili","Diamantina","Margem da estrada para a Formação","HDJF",1801096805,"BRA:UFVJM:HDJF:0000004536","Collection","Faria, JEQ","4536","","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","","","Faria, JEQ",1236,0,"SOUTH_AMERICA","pt","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","Arbusto ca. 1,2 m de altura, botões florais verdes; Cerrado rupestre",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"Diamantina","Minas Gerais","brazil",2798,"Diamantina",3121605,-43.610232,-17.993337,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.266389,-43.606667,"original coordinates","original coordinates OK"
"4","Myrcia retorta",1434685993,-18.204722,-43.583611,"gass84","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:08.346+0000","2018-09-10T18:28:52.120+0000",135,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","2017-01-01T00:00:00","Minas Gerais",2016,9,22,"2016-09-22T00:00:00","2018-08-17T14:57:38.000+0000","2018-12-08T00:09:14.288+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000032474","6580","HEPH - Herbário Ezechias Paulo Heringer","Diamantina","Alto da Jacuba, chácara dentro o Parque Estadual do Biribiri","HEPH",1434685993,"BRA:JBB:HEPH:0000032474","Collection","Faria, JEQ","32474","","Jardim Botânico de Brasília (JBB)","","","Rosa, PO",1396,0,"SOUTH_AMERICA","pt","Jardim Botânico de Brasília (JBB)","Arvoreta ca. 2,5 m de altura, botões florais verdes, flores com cálices verdes e corolas brancas; Campo sujo",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"Diamantina","Minas Gerais","brazil",2798,"Diamantina",3121605,-43.610232,-17.993337,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.204722,-43.583611,"original coordinates","original coordinates OK"
"5","Myrcia retorta",1801096877,-18.263611,-43.609167,"gass84","eb63cc46-126f-43b2-9c3e-0f03a97e0638","60f97f47-cd0d-4ff5-b0c0-c98495bf430a","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:03.336+0000","2017-12-29T14:08:06.430+0000",136,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","2016-09-01T00:00:00","Minas Gerais",2016,9,24,"2016-09-24T00:00:00","2017-12-15T12:55:34.000+0000","2018-12-08T01:46:24.147+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HDJF - Herbário Dendrológico Jeanine Felfili","BRA:UFVJM:HDJF:0000004551","6605","HDJF - Herbário Dendrológico Jeanine Felfili","Diamantina","Margem da estrada para a Formação","HDJF",1801096877,"BRA:UFVJM:HDJF:0000004551","Collection","Faria, JEQ","4551","","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","","","Faria, JEQ",1195,0,"SOUTH_AMERICA","pt","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","Árvore ca. 5 m de altura, botões florais verdes e flores brancas; Floresta estacional semidecidual antropizada",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"Diamantina","Minas Gerais","brazil",2798,"Diamantina",3121605,-43.610232,-17.993337,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.263611,-43.609167,"original coordinates","original coordinates OK"
"6","Myrcia retorta",1503331559,-20.253611,-46.404722,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:36:59.296+0000","2018-09-24T19:58:41.384+0000",207,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","none","Minas Gerais",2016,10,28,"2016-10-28T00:00:00","2017-10-15T12:39:25.078+0000","2018-12-08T09:14:14.150+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1313845","2311","RB - Rio de Janeiro Botanical Garden Herbarium Collection","São Roque de Minas","Serra da Canastra, Capão Forro","RB",1503331559,"urn:catalog:JBRJ:RB:1313845","PhysicalObject","M. Groppo; et al","RB01313845","RB 729054","JBRJ","","Área de encosta íngreme com cachoeira, com cerrado e pasto adjacente sobre solo argiloso-arenoso raso","J.R. Barosela; M. Groppo",926,NA,"","","","",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"São Roque de Minas","Minas Gerais","brazil",2364,"São Roque de Minas",3164308,-46.514312,-20.187189,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.253611,-46.404722,"original coordinates","original coordinates OK"
"7","Myrcia retorta",1563170362,-26.558611,-49.371111,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:24.525+0000","2018-10-24T15:38:17.617+0000",121,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","2017-05-02T00:00:00","Santa Catarina",2016,11,28,"2016-11-28T00:00:00","2018-10-11T17:23:42.000+0000","2018-12-07T14:50:39.497+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000051800","5737","FURB - Herbário Dr. Roberto Miguel Klein","Rio dos Cedros","Cachoeira Formosa.","FURB",1563170362,"BRA:FURB:FURB:0000051800","Collection","Funez, L.A.","51800","","Universidade Regional de Blumenau, FURB","","","M. Sobral",747,0,"","pt","Universidade Regional de Blumenau, FURB","flores brancas",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"Rio dos Cedros","Santa Catarina","brazil",749,"Rio dos Cedros",4214706,-49.368324,-26.61814,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.558611,-49.371111,"original coordinates","original coordinates OK"
"8","Myrcia retorta",1837380010,-27.9,-49.86,"gass84","52b78a58-c84a-4370-bb14-b27a007d5da6","7cf67ac2-f2f2-42bd-92e4-c2eac0b21039","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:07.398+0000","2018-04-05T11:57:46.908+0000",128,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","2015-02-04T00:00:00","Santa Catarina",2015,2,4,"2015-02-04T00:00:00","2018-03-09T16:32:33.000+0000","2018-12-08T03:39:40.566+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUCS - Herbário da Universidade de Caxias do Sul","BRA:UCS:HUCS:0000046562","1085","HUCS - Herbário da Universidade de Caxias do Sul","Rio Rufino","Morro das Torres","HUCS",1837380010,"BRA:UCS:HUCS:0000046562","Collection","Oliveira, A. .A.","46562","","UCS","","","Oliveira, A. .A.",143,0,"","pt","Universidade de Caxias do Sul (UCS)","Fruto vermelho - IFFSC 2/214/Florística Entorno - Doação FURB 45671; Floresta Ombrófila Mista Alto Montana; Estágio Avançado; borda da mata",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"Rio Rufino","Santa Catarina","brazil",442,"Rio Rufino",4215059,-49.754123,-27.914457,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.9,-49.86,"original coordinates","original coordinates OK"
"9","Myrcia retorta",1585201575,-26.1835,-49.2517,"gass84","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:23.099+0000","2018-11-24T12:35:23.158+0000",123,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","2015-12-03T00:00:00","Santa Catarina",2015,10,14,"2015-10-14T00:00:00","2018-11-19T18:53:07.000+0000","2018-12-07T01:13:52.806+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EFC - Herbário Escola de Florestas Curitiba","BRA:UFPR:EFC:0000014533","701","EFC - Herbário Escola de Florestas Curitiba","Campo Alegre","Arredores da cidade","EFC",1585201575,"BRA:UFPR:EFC:0000014533","Collection","Völtz, R.R.; Santos, G.H.","14533","","Universidade Federal do Paraná, UFPR","","","Völtz, R.R.",900,0,"","pt","Universidade Federal do Paraná, UFPR","Árvore 12m alt.; tronco com ritidoma fissurado, casca interna avermelhada; botões florais ferrugíneos. __COMMOM_NAME__: Guamirim-ferro",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"Campo Alegre","Santa Catarina","brazil",806,"Campo Alegre",4203303,-49.21862,-26.12099,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.1835,-49.2517,"original coordinates","original coordinates OK"
"10","Myrcia retorta",1828874057,-22.120278,-44.735556,"gass84,iddatunl","330d773a-abe3-4234-b423-129dc4d00963","303e2432-448c-41ec-be2b-020a25c7adc4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-28T18:02:36.186+0000","2018-11-28T18:02:36.232+0000",125,"none","PRESERVED_SPECIMEN",3174410,6,7707728,220,690,5014,7395601,3174410,3174410,"Myrcia retorta Cambess.","Myrcia retorta Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia retorta","Myrcia","retorta","SPECIES","ACCEPTED","2017-01-01T00:00:00","MInas Gerais",2014,9,5,"2014-09-05T00:00:00","","2018-11-28T18:03:03.604+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CESJ - Herbário Leopoldo Krieger","BRA:UFJF:CESJ:0000070256","561","CESJ - Herbário Leopoldo Krieger","Baependi","Parque Estadual da Serra do Papagaio, Chapadão","CESJ",1828874057,"BRA:UFJF:CESJ:0000070256","Collection","J.H.C. Ribeiro","70256","","Universidade Federal de Juiz de Fora (UFJF)","","","K. Antunes",1960,0,"SOUTH_AMERICA","pt","Universidade Federal de Juiz de Fora (UFJF)","Árvore, 14m, no interior de floresta nebular. Botões florais ferrugíneos. Indivíduo 11 da fitossociologia",NA,NA,"","","","","",NA,"","",NA,"","","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"Baependi","MInas Gerais","brazil",1702,"Baependi",3104908,-44.822926,-22.017171,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-22.120278,-44.735556,"original coordinates","original coordinates OK"
