"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","continent","references","created","associatedSequences","taxonID","higherClassification","otherCatalogNumbers","institutionID","higherGeography","fieldNumber","verbatimLocality","preparations","previousIdentifications","coordinateUncertaintyInMeters","nomenclaturalCode","verbatimEventDate","georeferenceProtocol","endDayOfYear","county","startDayOfYear","collectionID","georeferenceSources","habitat","identificationRemarks","verbatimElevation","typeStatus","georeferencedDate","organismID","datasetID","accessRights","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Eugenia handroana",1932872985,-25.2659,-48.545,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:52:02.862+0000","2018-12-03T16:40:55.565+0000",122,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2018-07-16T00:00:00",1150,0,"Paraná",2018,6,21,"2018-06-21T00:00:00","2018-11-21T16:35:13.000+0000","2018-12-03T16:41:39.803+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000201460","2639","UEC - Herbário da Universidade Estadual de Campinas","Morretes","Parque Estadual Pico do Marumbi, trilha Noroeste, desfiladeiro das Lágrimas.","pt","UEC",1932872985,"BRA:UNICAMP:UEC:0000201460","Collection","Brotto, M.L.; Antoniuk-Bonato, R.G.","201460","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Árvore com 3m de altura; frutos imaturos verdes.; Floresta Ombrófila Densa Altomontana.","Sobral, M.; Brotto, M.L.","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Morretes","Paraná","brazil",872,"Morretes",4116208,-48.855729,-25.518545,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.2659,-48.545,"original coordinates","original coordinates outside municipality original in morretes falls in guaraquecaba"
"2","Eugenia handroana",1848245462,-24.861725,-48.715592,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:39.488+0000","2018-06-04T19:36:11.127+0000",118,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2016-03-30T00:00:00",1000,0,"Paraná",2016,3,14,"2016-03-14T00:00:00","2018-05-10T19:05:35.000+0000","2018-12-08T15:08:32.554+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000402522","2268","MBM - Herbário do Museu Botânico Municipal","Adrianópolis","Parque Estadual das Lauráceas","pt","MBM",1848245462,"BRA:MBM:MBM:0000402522","Collection","Brotto, ML; Marinero, F","402522","MBM","Museu Botânico Municipal de Curitiba, MBM","Árvore com 11m de altura; frutos imaturos verdes.; Floresta Ombrófila Densa Montana.","Brotto, ML","SOUTH_AMERICA","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Adrianópolis","Paraná","brazil",949,"Adrianópolis",4100202,-48.821252,-24.783093,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-24.861725,-48.715592,"original coordinates","original coordinates OK"
"3","Eugenia handroana",1828874107,-22.12,-44.735833,"gass84,iddatunl","330d773a-abe3-4234-b423-129dc4d00963","303e2432-448c-41ec-be2b-020a25c7adc4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-28T18:02:36.209+0000","2018-11-28T18:02:36.226+0000",125,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2017-01-01T00:00:00",1951,0,"MInas Gerais",2015,2,2,"2015-02-02T00:00:00","","2018-11-28T18:03:03.523+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CESJ - Herbário Leopoldo Krieger","BRA:UFJF:CESJ:0000070303","632","CESJ - Herbário Leopoldo Krieger","Baependi","Parque Estadual da Serra do Papagaio, Chapadão","pt","CESJ",1828874107,"BRA:UFJF:CESJ:0000070303","Collection","J.H.C. Ribeiro","70303","Universidade Federal de Juiz de Fora (UFJF)","Universidade Federal de Juiz de Fora (UFJF)","Árvore, 9m, no interior de floresta nebular. Botões florais verdes, tricomas levemente ferrugíneos . Indivíduo 486 da fitossociologia.","K. Antunes","SOUTH_AMERICA","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Baependi","MInas Gerais","brazil",1702,"Baependi",3104908,-44.822926,-22.017171,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-22.12,-44.735833,"original coordinates","original coordinates OK"
"4","Eugenia handroana",1226940346,-28.723379,-49.236684,"gass84","c525b217-2f59-4b71-a173-68d13da5e8a7","f9357933-83d3-4548-803c-4cae52ebff40","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:29:41.242+0000","2018-11-24T12:29:41.298+0000",124,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2015-09-29T00:00:00",20,0,"Santa Catarina",2015,4,NA,"2015-04-01T00:00:00","2018-11-12T19:23:07.000+0000","2018-12-07T20:00:36.229+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HAS - Herbário Alarich Rudolf Holger Schultz","BRA:MCN/FZBRS:HAS:0000091603","s.n.","HAS - Herbário Alarich Rudolf Holger Schultz","Içara","Fragmento na BR-101","pt","HAS",1226940346,"BRA:MCN/FZBRS:HAS:0000091603","Collection","Molz, M.; Hermann, E.","91603","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul (MCN-FZBRS)","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul (MCN-FZBRS)","Arvoreta com aproximadamente 9 m de altura, no interior do fragmento; frutos maduros, negros","Molz, M.","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Içara","Santa Catarina","brazil",289,"Içara",4207007,-49.276951,-28.750863,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-28.723379,-49.236684,"original coordinates","original coordinates OK"
"5","Eugenia handroana",1455395450,-23.228889,-45.014167,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:57:00.002+0000","2018-11-24T08:57:00.090+0000",126,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2015-10-19T00:00:00",1123,0,"São Paulo",2015,10,12,"2015-10-12T00:00:00","2018-11-05T15:57:34.000+0000","2018-12-09T07:19:26.877+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000050762","139","SPSF - Herbário Dom Bento José Pickel","Cunha","","pt","SPSF",1455395450,"BRA:IF:SPSF:0000050762","Collection","A. Maruyama & L.Cicco","50762","IF","Instituto Florestal, IF","COLETA: Árvore ca. 4,2 m alt. Flores axilares.; GEOGRAFIA: Floresta Ombrófila Densa;","A. Maruyama","SOUTH_AMERICA","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Cunha","São Paulo","brazil",1322,"Cunha",3513603,-44.939787,-23.050544,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.228889,-45.014167,"original coordinates","original coordinates OK"
"6","Eugenia handroana",1213523954,-26.278056,-49.228333,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:22.473+0000","2018-10-24T15:38:16.691+0000",121,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2015-10-28T00:00:00",1005,0,"Santa Catarina",2015,10,28,"2015-10-28T00:00:00","","2018-10-24T15:38:54.043+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000048770","2685","FURB - Herbário Dr. Roberto Miguel Klein","Jaraguá do Sul","Fazenda Veludo.","pt","FURB",1213523954,"BRA:FURB:FURB:0000048770","Collection","Oliveira, A.A. de","48770","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Oliveira, AA de","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Jaraguá do Sul","Santa Catarina","brazil",762,"Jaraguá do Sul",4208906,-49.160057,-26.480983,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.278056,-49.228333,"original coordinates","original coordinates OK"
"7","Eugenia handroana",1077422723,-26.751667,-49.873889,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:19.647+0000","2018-10-24T15:38:14.636+0000",121,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2015-04-06T00:00:00",534,0,"Santa Catarina",2014,2,10,"2014-02-10T00:00:00","2018-10-11T17:23:20.000+0000","2018-12-06T14:18:06.087+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000043656","23","FURB - Herbário Dr. Roberto Miguel Klein","Vitor Meireles","Trilha da Caverna - ARIE Serra da Abelha.","pt","FURB",1077422723,"BRA:FURB:FURB:0000043656","Collection","Brogni, E.","43656","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Oliveira, AA de","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Vitor Meireles","Santa Catarina","brazil",706,"Vitor Meireles",4219358,-49.845295,-26.826596,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.751667,-49.873889,"original coordinates","original coordinates OK"
"8","Eugenia handroana",1077479062,-25.180694,-48.385556,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:08.713+0000","2018-11-24T12:32:08.890+0000",118,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2014-01-01T00:00:00",66,0,"Paraná",2014,3,24,"2014-03-24T00:00:00","2018-10-30T18:01:37.000+0000","2018-12-06T14:18:26.284+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000013834","5100","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Guaraqueçaba","Agropecuária Bananal. Propriedade do Sr.","pt","HCF",1077479062,"BRA:UTFPR:HCF:0000013834","Collection","M.G. Caxambu","13834","Universidade Tecnológica Federal do Paraná (UTFPR)","Universidade Tecnológica Federal do Paraná (UTFPR)","arvoreta ca. 4 m, ciófila. Frutos imaturos verdes e maduros laranjas.","E. Barboza","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Guaraqueçaba","Paraná","brazil",905,"Guaraqueçaba",4109500,-48.367204,-25.234919,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.180694,-48.385556,"original coordinates","original coordinates OK"
"9","Eugenia handroana",1213675787,-25.180694,-48.385556,"gass84,iddatunl","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:36.604+0000","2018-06-04T19:36:10.138+0000",118,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2014-01-01T00:00:00",66,0,"Paraná",2014,3,24,"2014-03-24T00:00:00","","2018-07-08T01:33:21.143+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000397302","5100","MBM - Herbário do Museu Botânico Municipal","Guaraqueçaba","Agropecuária Bananal, Propriedade do Sr. Werner","pt","MBM",1213675787,"BRA:MBM:MBM:0000397302","Collection","Caxambu, MG","397302","MBM","Museu Botânico Municipal de Curitiba, MBM","Arvoreta ca. 4m, ciófila. Frutos imaturos verdes e maduros laranjas.; Floresta Ombrófila Densa Submontana. Relevo ondulado.","Barboza, E","SOUTH_AMERICA","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Guaraqueçaba","Paraná","brazil",905,"Guaraqueçaba",4109500,-48.367204,-25.234919,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.180694,-48.385556,"original coordinates","original coordinates OK"
"10","Eugenia handroana",1077425709,-27.112222,-49.208333,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:21.322+0000","2018-10-24T15:38:15.981+0000",121,"none","PRESERVED_SPECIMEN",5417965,6,7707728,220,690,5014,3177662,5417965,5417965,"Eugenia handroana D.Legrand","Eugenia handroana D.Legrand","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia handroana","Eugenia","handroana","SPECIES","ACCEPTED","2014-03-17T00:00:00",695,0,"Santa Catarina",2014,3,17,"2014-03-17T00:00:00","2018-10-11T17:23:20.000+0000","2018-12-06T14:18:07.660+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000046636","96","FURB - Herbário Dr. Roberto Miguel Klein","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","pt","FURB",1077425709,"BRA:FURB:FURB:0000046636","Collection","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","46636","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Projeto Restaurar","Seubert, RC","","","","",NA,"","","","",NA,"","","",NA,"","","",NA,"",NA,"","","","","","","",NA,NA,NA,"","Indaial","Santa Catarina","brazil",665,"Indaial",4207502,-49.224868,-26.994453,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.112222,-49.208333,"original coordinates","original coordinates OK"
