"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","continent","references","created","associatedSequences","taxonID","higherClassification","individualCount","preparations","otherCatalogNumbers","fieldNotes","habitat","higherGeography","georeferenceProtocol","eventRemarks","taxonRemarks","coordinateUncertaintyInMeters","institutionID","county","nomenclaturalCode","verbatimEventDate","endDayOfYear","startDayOfYear","collectionID","georeferenceSources","identificationRemarks","nomenclaturalStatus","bibliographicCitation","verbatimElevation","fieldNumber","organismID","datasetID","accessRights","georeferencedDate","typeStatus","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Eugenia ternatifolia",1077424518,-28.71,-49.77,"gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:20.696+0000","2018-11-23T15:39:20.712+0000",121,"none","PRESERVED_SPECIMEN",5417091,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","beaurepairiana","SPECIES","SYNONYM","2015-01-19T00:00:00",311,0,"Santa Catarina",2015,1,19,"2015-01-19T00:00:00","2018-11-20T14:26:53.000+0000","2018-12-06T14:18:06.963+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000045478","883","FURB - Herbário Dr. Roberto Miguel Klein","Morro Grande","Três Barras.","pt","FURB",1077424518,"BRA:FURB:FURB:0000045478","Collection","Oliveira, A.A. de","45478","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Fito IFFSC 37 /N/29","Oliveira, AA de","","","","",NA,"",NA,"","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","Morro Grande","Santa Catarina","brazil",294,"Morro Grande",4211256,-49.73976,-28.722398,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-28.71,-49.77,"original coordinates","original coordinates OK"
"2","Eugenia ternatifolia",1213647782,-19.136667,-40.058333,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:28.741+0000","2018-01-05T18:34:54.256+0000",114,"none","PRESERVED_SPECIMEN",5417091,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","beaurepairiana","SPECIES","SYNONYM","2012-03-01T00:00:00",45,0,"Espírito Santo",2012,3,31,"2012-03-31T00:00:00","","2018-07-08T01:33:21.036+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000191294","2530","UB - Herbário da Universidade de Brasília","Linhares","Resereva Natural da Vale do Rio Doce, ao lado do viveiro de vasos ornamentais","pt","UB",1213647782,"BRA:UnB:UB:0000191294","Collection","Faria, JEQ; Staggemeier, VG","191294","UnB","Universidade de Brasília (UnB)","Árvore ca. 10 m de altura, caule gretado, esbranquiçado, estéril; Mata de Tabuleiro","Faria, JEQ","SOUTH_AMERICA","","","",NA,"",NA,"","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","Linhares","Espírito Santo","brazil",2565,"Linhares",3203205,-40.028138,-19.38214,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.136667,-40.058333,"original coordinates","original coordinates OK"
"3","Eugenia ternatifolia",1587318781,-9.559167,-36.809167,"gass84","a0cb1f6e-5766-4cc5-a8a0-cfc6a22c5c3d","81114709-2a6c-4e0b-908b-cb207a8708c2","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:14.391+0000","2018-11-23T18:21:14.485+0000",125,"none","PRESERVED_SPECIMEN",5557004,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia beaurepaireana (Kiaersk.) C.D.Legrand","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","beaurepaireana","SPECIES","SYNONYM","2012-03-03T00:00:00",NA,NA,"Alagoas",2012,3,3,"2012-03-03T00:00:00","","2018-11-23T18:22:12.309+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","BRA:IMA:MAC:0000062026","11433","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada.","pt","MAC",1587318781,"BRA:IMA:MAC:0000062026","Collection","M.C.S.Mota; E.C.O.Chagas","62026","IMA","Instituto do Meio Ambiente do Estado de Alagoas, IMA","Arbusto ca. 3.5 m de alt. Frutos marrons com indumento acinzentado.; Mata Atlântica.","M.C.S.Mota","","","","",NA,"",NA,"","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","Quebrangulo","Alagoas","brazil",4031,"Quebrangulo",2707602,-36.468669,-9.311118,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-9.559167,-36.809167,"original coordinates","original coordinates outside municipality original in quebrangulo falls in igaci"
"4","Eugenia ternatifolia",1096933551,-19.136667,-40.058333,"gass84","86894738-457d-4d25-89ca-d05231a02d46","c38fb00b-8564-406c-b05b-2720815a0bd0","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:17:36.002+0000","2018-02-15T04:28:52.933+0000",138,"none","PRESERVED_SPECIMEN",5557004,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia beaurepaireana (Kiaersk.) C.D.Legrand","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","beaurepaireana","SPECIES","SYNONYM","none",45,0,"Espírito Santo",2012,3,30,"2012-03-30T00:00:00","","2018-07-07T13:10:59.748+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CVRD - Herbário da Reserva Natural Vale","BRA:CVRD:CVRD:0000014162","2530","CVRD - Herbário da Reserva Natural Vale","LINHARES","","pt","CVRD",1096933551,"BRA:CVRD:CVRD:0000014162","Collection","J.E.Q. Faria","14162","Reserva Natural Vale (CVRD)","Reserva Natural Vale (CVRD)","<ll>dwc_commonname:</ll> Guamirim ferro","","SOUTH_AMERICA","","","",NA,"",NA,"","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","LINHARES","Espírito Santo","brazil",2565,"Linhares",3203205,-40.028138,-19.38214,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.136667,-40.058333,"original coordinates","original coordinates OK"
"5","Eugenia ternatifolia",1213647781,-19.145833,-40.064444,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:28.740+0000","2018-01-05T18:34:54.327+0000",114,"none","PRESERVED_SPECIMEN",5417091,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","beaurepairiana","SPECIES","SYNONYM","2012-03-01T00:00:00",84,0,"Espírito Santo",2012,3,31,"2012-03-31T00:00:00","","2018-07-08T01:33:21.028+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000191295","2531","UB - Herbário da Universidade de Brasília","Linhares","Resereva Natural da Vale do Rio Doce, estrada da Mantegueira","pt","UB",1213647781,"BRA:UnB:UB:0000191295","Collection","Faria, JEQ; Staggemeier, VG","191295","UnB","Universidade de Brasília (UnB)","Árvore ca. 15m de altura, caule gretado, esbranquiçado, estéril; Mata de Tabuleiro","Faria, JEQ","SOUTH_AMERICA","","","",NA,"",NA,"","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","Linhares","Espírito Santo","brazil",2565,"Linhares",3203205,-40.028138,-19.38214,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.145833,-40.064444,"original coordinates","original coordinates OK"
"6","Eugenia ternatifolia",1944318077,-24.18,-47.92,"cudc,gass84","ad43e954-dd79-4986-ae34-9ccdbd8bf568","ada9d123-ddb4-467d-8891-806ea8d94230","none","9e4f3516-2b98-4700-a39a-3f109252508c","GB","DWC_ARCHIVE","2018-12-11T20:39:17.720+0000","2018-11-19T17:32:19.467+0000",95,"none","PRESERVED_SPECIMEN",5417091,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","beaurepairiana","SPECIES","SYNONYM","none",400,NA,"",2012,6,1,"2012-06-01T00:00:00","2018-10-04T00:00:00.000+0000","2018-11-19T17:38:15.077+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","","MG718662","","","","Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State","","",1944318077,"MG718662","","R.A.F. Lima",NA,"","","","","","http://www.ebi.ac.uk/ena/data/view/MG718662","2018-10-04","MG718662",1231845,"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Myrtales;Myrtaceae;Myrtoideae;Myrteae;Eugenia group;Eugenia",NA,"","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","","","brazil",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",-24.18,-47.92,"original coordinates","original coordinates outside municipality original in  falls in sete barras"
"7","Eugenia ternatifolia",1587319027,-10.225833,-36.285278,"gass84","a0cb1f6e-5766-4cc5-a8a0-cfc6a22c5c3d","81114709-2a6c-4e0b-908b-cb207a8708c2","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:14.544+0000","2018-11-23T18:21:14.748+0000",125,"none","PRESERVED_SPECIMEN",5417091,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","beaurepairiana","SPECIES","SYNONYM","2012-06-21T00:00:00",NA,NA,"Alagoas",2012,6,21,"2012-06-21T00:00:00","","2018-11-23T18:22:12.693+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","BRA:IMA:MAC:0000062198","11605","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","Coruripe","Usina Coruripe, Fazenda Capiatã.","pt","MAC",1587319027,"BRA:IMA:MAC:0000062198","Collection","M.C.S.Mota; E.C.O.Chagas; C.B.A.Leite","62198","IMA","Instituto do Meio Ambiente do Estado de Alagoas, IMA","Árvore ca. 5 m de alt. Fruto marrom.; Mata Atlântica.","E.C.O.Chagas","","","","",NA,"",NA,"","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","Coruripe","Alagoas","brazil",3899,"Coruripe",2702306,-36.229105,-10.082243,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-10.225833,-36.285278,"original coordinates","original coordinates OK"
"8","Eugenia ternatifolia",1095369052,-29.309722,-49.955278,"gass84","2273e40d-26c2-4959-aea2-b6abcce16d09","04481953-6112-489f-bb8d-9703d787e3ea","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:50:26.306+0000","2018-12-03T15:53:10.949+0000",122,"none","PRESERVED_SPECIMEN",5417091,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","beaurepairiana","SPECIES","SYNONYM","none",43,0,"Rio Grande do Sul",2012,9,1,"2012-09-01T00:00:00","2018-10-15T19:26:56.000+0000","2018-12-03T15:54:54.679+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ICN - Herbário do Instituto de Ciências Naturais","BRA:UFRGS:ICN:0000192377","s.n.","ICN - Herbário do Instituto de Ciências Naturais","Morrinhos do Sul","Vila Três Passos, Rio do Mangue","pt","ICN",1095369052,"BRA:UFRGS:ICN:0000192377","Collection","Molz, M; Seger, G","192377","UFRGS","Universidade Federal do Rio Grande do Sul (UFRGS)","","Molz, M","SOUTH_AMERICA","","","",NA,"",NA,"","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","Morrinhos do Sul","Rio Grande do Sul","brazil",193,"Morrinhos do Sul",4312443,-49.95422,-29.337942,"RIO GRANDE DO SUL","RS","Rio Grande do Sul",-53.24495754,-29.78635099,"Rio Grande do Sul","rs",-29.309722,-49.955278,"original coordinates","original coordinates OK"
"9","Eugenia ternatifolia",1587316208,-10.225833,-36.285278,"gass84","a0cb1f6e-5766-4cc5-a8a0-cfc6a22c5c3d","81114709-2a6c-4e0b-908b-cb207a8708c2","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:07.178+0000","2018-11-23T18:21:07.214+0000",125,"none","PRESERVED_SPECIMEN",5417091,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","beaurepairiana","SPECIES","SYNONYM","2011-01-20T00:00:00",NA,NA,"Alagoas",2011,1,20,"2011-01-20T00:00:00","","2018-11-23T18:21:56.319+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","BRA:IMA:MAC:0000051043","10075","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","Coruripe","Usina Coruripe, Fazenda Capiatã.","pt","MAC",1587316208,"BRA:IMA:MAC:0000051043","Collection","Chagas-Mota","51043","IMA","Instituto do Meio Ambiente do Estado de Alagoas, IMA","Árvore ca. 4,5 m de altura. Botões cremes. Frutos verdes.; Mata Atlântica.","E.C.O.Chagas","","","","",NA,"",NA,"","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","Coruripe","Alagoas","brazil",3899,"Coruripe",2702306,-36.229105,-10.082243,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-10.225833,-36.285278,"original coordinates","original coordinates OK"
"10","Eugenia ternatifolia",1095255194,-16.026666,-50.067222,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:32.457+0000","2018-11-23T18:21:32.546+0000",123,"none","PRESERVED_SPECIMEN",5417090,6,7707728,220,690,5014,3177662,5417090,5417090,"Eugenia ternatifolia Cambess.","Eugenia ternatifolia Cambess.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia ternatifolia","Eugenia","ternatifolia","SPECIES","ACCEPTED","none",782,0,"Goiás",2011,8,26,"2011-08-26T00:00:00","","2018-11-23T18:22:46.499+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000080097","1649","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","GOIAS","Serra Dourada, estância Quinta da Serra. Prop. Sr. Jander.","pt","CEN",1095255194,"BRA:Cenargen:CEN:0000080097","Collection","Jair Eustáquio Quintino de Faria Jr.","80097","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Borda de cerradão. Botões florais verdes. HERBÁRIO UB - Goiás.","J. E. Q. Faria Júnior","","","","",NA,"",1,"Exsicatas","","","","","","","",NA,"","","","",NA,NA,"","","","","","",NA,NA,"","","","","GOIAS","Goiás","brazil",3095,"Goiás",5208905,-50.242411,-15.847211,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-16.026666,-50.067222,"original coordinates","original coordinates OK"
