"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","continent","language","ownerInstitutionCode","fieldNotes","individualCount","preparations","institutionID","higherGeography","endDayOfYear","startDayOfYear","higherClassification","habitat","georeferenceProtocol","eventRemarks","references","nomenclaturalCode","verbatimEventDate","county","identificationRemarks","verbatimElevation","collectionID","identificationQualifier","infraspecificEpithet","coordinateUncertaintyInMeters","georeferenceSources","georeferencedDate","rights","typeStatus","organismID","datasetID","accessRights","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Myrcia eriocalyx",1913950210,-18.174722,-43.514444,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:31.034+0000","2018-10-02T15:37:31.052+0000",207,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","none","Minas Gerais",2018,9,5,"2018-09-05T00:00:00","2018-09-27T15:01:32.554+0000","2018-12-10T13:39:19.609+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1398860","314","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Diamantina","Mendanha, margem da rodovia Rodovia Oscár Von Bentzen Rodrigues.","RB",1913950210,"urn:catalog:JBRJ:RB:1398860","PhysicalObject","T. Fernandes, J.E.Q. Faria & T.N.C. Vasconcelos","RB01398860","RB 776013","JBRJ","Arbusto, 1,5 m. Frutos imaturos vináceos, folhas discolores. Material prensado em álcool.","T. Fernandes, J.E.Q. Faria & T.N.C. Vasconcelos",NA,NA,"","","","",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"Diamantina","Minas Gerais","brazil",2798,"Diamantina",3121605,-43.610232,-17.993337,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.174722,-43.514444,"original coordinates","original coordinates OK"
"2","Myrcia eriocalyx",1587292578,-19.4175,-43.271667,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:46.489+0000","2018-02-15T05:17:53.468+0000",121,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","2017-02-14T00:00:00","Minas Gerais",2017,1,24,"2017-01-24T00:00:00","","2018-07-07T03:34:48.041+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000186804","1315","BHCB - Herbário da Universidade Federal de Minas Gerais","Itambé do Mato Dentro","","BHCB",1587292578,"BRA:UFMG:BHCB:0000186804","Collection","Rocha, MJR; Oliveira, CT","186804","","Universidade Federal de Minas Gerais (UFMG)","","",0,0,"SOUTH_AMERICA","pt","Universidade Federal de Minas Gerais (UFMG)","",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"Itambé do Mato Dentro","Minas Gerais","brazil",2561,"Itambé do Mato Dentro",3132800,-43.351088,-19.397162,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.4175,-43.271667,"original coordinates","original coordinates OK"
"3","Myrcia eriocalyx",1851288874,-22.473889,-43.115833,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:25.855+0000","2018-09-24T19:59:07.083+0000",207,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","none","Rio de Janeiro",2017,4,25,"2017-04-25T00:00:00","2018-06-20T13:09:36.000+0000","2018-09-24T19:59:28.508+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1390944","415","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Petrópolis","Parque Nacional da Serra dos Órgãos. Trilha do Alcobaça. Parque Nacional da Serra dos Órgãos","RB",1851288874,"urn:catalog:JBRJ:RB:1390944","PhysicalObject","L.F.Gonçalves","RB01390944","RB 768388","JBRJ","Arvoreta aprox. 4,5m., flores passadas restando só o cálice.","L.F. Gonçalves",NA,NA,"","","","",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"Petrópolis","Rio de Janeiro","brazil",1574,"Petrópolis",3303906,-43.155902,-22.393567,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.473889,-43.115833,"original coordinates","original coordinates OK"
"4","Myrcia eriocalyx",1851288938,-22.444722,-43.005833,"cdround,gass84,rdatm","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:25.869+0000","2018-09-24T19:59:07.098+0000",207,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","none","Rio de Janeiro",2017,6,3,"2017-06-03T00:00:00","2018-06-20T13:09:42.000+0000","2018-09-24T19:59:28.513+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1390962","432","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha da Agulhinha do Beija Flor, base da pedra. Parque Nacional da Serra dos Órgãos","RB",1851288938,"urn:catalog:JBRJ:RB:1390962","PhysicalObject","L.F.Gonçalves","RB01390962","RB 768406","JBRJ","Árvore aprox. 5.5m., folhas concavas discolores com manchas pretas. Inflorescencia passada.","L.F. Gonçalves",NA,NA,"","","","",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"Teresópolis","Rio de Janeiro","brazil",1600,"Teresópolis",3305802,-42.874637,-22.313566,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.444722,-43.005833,"original coordinates","original coordinates OK"
"5","Myrcia eriocalyx",1931786317,-21.217894,-44.457458,"gass84","3f6a3304-f66f-4ba8-be57-92a70f3aac3f","3f41d988-faf2-4a9f-811e-8dac728c05d4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:02.451+0000","2018-10-25T12:34:59.872+0000",140,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","2018-01-01T00:00:00","Minas Gerais",2017,10,6,"2017-10-06T00:00:00","2018-10-09T13:42:23.000+0000","2018-12-07T06:15:08.843+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFSJ - Herbário da Universidade Federal de São João Del Rei","BRA:UFSJ:HUFSJ:0000009558","1177","HUFSJ - Herbário da Universidade Federal de São João Del Rei","São João del-Rei","Serra do Lenheiro, campo rupestre, acesso por trilha a partir do bairro Senhor dos Montes.","HUFSJ",1931786317,"BRA:UFSJ:HUFSJ:0000009558","Collection","Costa, MTR; Lombardi, VT","9558","","UFSJ","Subarbusto 0,5 m de altura, frutos.","Sobral, M",953,0,"","pt","Universidade Federal de São João Del Rei (UFSJ)","",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"São João del-Rei","Minas Gerais","brazil",NA,"",NA,NA,NA,"","","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.217894,-44.457458,"original coordinates","original coordinates outside municipality original in sao joao del-rei falls in sao joao del rei"
"6","Myrcia eriocalyx",1851288604,-22.466111,-43.088055,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:25.899+0000","2018-09-24T19:59:07.163+0000",207,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","none","Rio de Janeiro",2017,11,19,"2017-11-19T00:00:00","2018-06-20T13:09:56.000+0000","2018-09-24T19:59:28.651+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1391007","478","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Petrópolis","Parque Nacional da Serra dos Órgãos. Travessia Teresópolis x Petrópolis, parte final próximo a entrada do Poço das Bromélias. Parque Nacional da Serra dos Órgãos","RB",1851288604,"urn:catalog:JBRJ:RB:1391007","PhysicalObject","L.F.Gonçalves","RB01391007","RB 768451","JBRJ","Arvoreta aprox. 6m., inflorescencia ainda em botão.","L.F. Gonçalves",NA,NA,"","","","",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"Petrópolis","Rio de Janeiro","brazil",1574,"Petrópolis",3303906,-43.155902,-22.393567,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.466111,-43.088055,"original coordinates","original coordinates OK"
"7","Myrcia eriocalyx",1931786248,-21.244983,-44.495217,"gass84","3f6a3304-f66f-4ba8-be57-92a70f3aac3f","3f41d988-faf2-4a9f-811e-8dac728c05d4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:02.411+0000","2018-10-25T12:34:59.900+0000",140,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","2018-01-01T00:00:00","Minas Gerais",2017,12,10,"2017-12-10T00:00:00","2018-10-09T13:42:23.000+0000","2018-12-07T06:15:08.842+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFSJ - Herbário da Universidade Federal de São João Del Rei","BRA:UFSJ:HUFSJ:0000009564","1273","HUFSJ - Herbário da Universidade Federal de São João Del Rei","São João del-Rei","Serra do Lenheiro","HUFSJ",1931786248,"BRA:UFSJ:HUFSJ:0000009564","Collection","Costa, MTR; Carvalho, C","9564","","UFSJ","Arbusto 0,5 m de altura, botões florais.","Sobral, M",1089,0,"","pt","Universidade Federal de São João Del Rei (UFSJ)","",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"São João del-Rei","Minas Gerais","brazil",NA,"",NA,NA,NA,"","","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.244983,-44.495217,"original coordinates","original coordinates outside municipality original in sao joao del-rei falls in nazareno"
"8","Myrcia eriocalyx",1913566286,-18.912238,-43.418553,"gass84","eb63cc46-126f-43b2-9c3e-0f03a97e0638","60f97f47-cd0d-4ff5-b0c0-c98495bf430a","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:03.793+0000","2018-09-24T16:33:41.110+0000",136,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","2016-01-01T00:00:00","Minas Gerais",2016,1,13,"2016-01-13T00:00:00","2018-08-03T12:39:30.000+0000","2018-12-10T13:35:39.148+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HDJF - Herbário Dendrológico Jeanine Felfili","BRA:UFVJM:HDJF:0000005369","1875","HDJF - Herbário Dendrológico Jeanine Felfili","Conceição do Mato Dentro","Cava Sul - Anglo American","HDJF",1913566286,"BRA:UFVJM:HDJF:0000005369","Collection","Moreira, SN; Pereira, E","5369","","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","Arbusto 1.5m de altura. Flor Branca.; Remanescente de Floresta Estacional Semidecidual","Bunger, MO",715,0,"SOUTH_AMERICA","pt","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"Conceição do Mato Dentro","Minas Gerais","brazil",2645,"Conceição do Mato Dentro",3117504,-43.504683,-18.942492,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.912238,-43.418553,"original coordinates","original coordinates OK"
"9","Myrcia eriocalyx",1837841191,-20.100556,-43.723333,"gass84","4d0fa690-1551-46f0-9a22-acfec0e00dd0","503e9b26-09b5-4c40-b42a-bb476319a8ad","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:17:14.506+0000","2018-10-09T15:49:06.754+0000",142,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","2016-03-09T00:00:00","Minas Gerais",2016,1,1,"2016-01-01T00:00:00","2018-10-03T13:54:12.000+0000","2018-12-08T03:44:08.526+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","VIES - Herbário Central da Universidade Federal do Espírito Santo VIES","BRA:UFES:VIES:0000042119","1413","VIES - Herbário Central da Universidade Federal do Espírito Santo VIES","Rio Acima","Cachoeira Tinta Roxa. Pequena floresta ripária. Estrada para a Serra do Gandarela.","VIES",1837841191,"BRA:UFES:VIES:0000042119","Collection","J.P.F. Zorzanelli; E. Nascimento","42119","","UFES","Arbusto com botões creme, estames e anteras alvos. Base da folha quase cordada.","M. Sobral",1170,0,"","pt","Universidade Federal do Espírito Santo, UFES","",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"Rio Acima","Minas Gerais","brazil",2385,"Rio Acima",3154804,-43.772547,-20.10621,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.100556,-43.723333,"original coordinates","original coordinates OK"
"10","Myrcia eriocalyx",1427600993,-21.260278,-44,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:36:08.925+0000","2018-09-24T19:58:13.183+0000",207,"none","PRESERVED_SPECIMEN",3175288,6,7707728,220,690,5014,7395601,3175288,3175288,"Myrcia eriocalyx DC.","Myrcia eriocalyx DC.","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia eriocalyx","Myrcia","eriocalyx","SPECIES","ACCEPTED","none","Minas Gerais",2016,2,4,"2016-02-04T00:00:00","2017-02-02T10:57:51.371+0000","2018-12-09T23:27:23.096+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1219583","","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Brumadinho","Serra Azul, Serra das Farofas","RB",1427600993,"urn:catalog:JBRJ:RB:1219583","PhysicalObject","C.V. Vidal","RB01219583","RB 674433","JBRJ","","C.V. Vidal",NA,NA,"","","","Campo rupestre ferruginoso",NA,"","","",NA,NA,"","","","","","","","","","","","","",NA,"","",NA,"",NA,"","",NA,"Brumadinho","Minas Gerais","brazil",2367,"Brumadinho",3109006,-44.123298,-20.178103,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.260278,-44,"original coordinates","original coordinates outside municipality original in brumadinho falls in barbacena"
