"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","modified","fieldNotes","elevationAccuracy","continent","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","higherGeography","georeferenceProtocol","eventRemarks","higherClassification","habitat","identificationQualifier","coordinateUncertaintyInMeters","georeferencedDate","georeferenceSources","identificationRemarks","organismID","datasetID","accessRights","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Myrcia neuwiedeana",1944983554,-11.813611,-37.610556,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:55.416+0000","2018-11-24T12:34:55.438+0000",122,"none","PRESERVED_SPECIMEN",3717013,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiediana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiediana","SPECIES","SYNONYM","none","Bahia",2016,3,18,"2016-03-18T00:00:00","2018-11-24T12:36:01.880+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000153518","409","CEPEC - Herbário do Centro de Pesquisas do Cacau","conde","Conglomerado BA_580-1-1-2","pt","CEPEC",1944983554,"BRA:CEPLAC:CEPEC:0000153518","Collection","Schulte, T.F.","153518","30/3/2017","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","M.C. Souza",NA,"","",NA,"","","","","",NA,"","",NA,"","","","","","","","",NA,"","","",NA,NA,NA,"conde","Bahia","brazil",3622,"Conde",2908606,-37.67734,-11.827324,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.813611,-37.610556,"original coordinates","original coordinates OK"
"2","Myrcia neuwiedeana",1944984028,-11.813611,-37.610556,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:56.073+0000","2018-11-24T12:34:56.111+0000",122,"none","PRESERVED_SPECIMEN",3717013,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiediana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiediana","SPECIES","SYNONYM","none","Bahia",2016,3,16,"2016-03-16T00:00:00","2018-11-24T12:36:02.137+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000153930","1530","CEPEC - Herbário do Centro de Pesquisas do Cacau","conde","Conglomerado BA_580_P8-1-10-17","pt","CEPEC",1944984028,"BRA:CEPLAC:CEPEC:0000153930","Collection","Santos, E.A.","153930","30/3/2017","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","M.C. Souza",NA,"","",NA,"","","","","",NA,"","",NA,"","","","","","","","",NA,"","","",NA,NA,NA,"conde","Bahia","brazil",3622,"Conde",2908606,-37.67734,-11.827324,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.813611,-37.610556,"original coordinates","original coordinates OK"
"3","Myrcia neuwiedeana",1423916765,-18.442222,-39.716944,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:10.966+0000","2018-09-24T19:57:56.879+0000",207,"none","PRESERVED_SPECIMEN",3186218,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiedeana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiedeana","SPECIES","SYNONYM","none","Espírito Santo",2014,11,1,"2014-11-01T00:00:00","2018-12-06T16:55:29.069+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1142014","4243","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Conceição da Barra","Próximo à Itaúnas","","RB",1423916765,"urn:catalog:JBRJ:RB:1142014","PhysicalObject","J.E.Q. Faria; T.N.C. Vasconcelos","RB01142014","RB 654249","JBRJ","","","E.J. Lucas",15,"2017-10-15T11:34:50.560+0000","Restinga aberta",NA,"","","","","",NA,"","",NA,"","","","","","","","",NA,"","","",NA,NA,NA,"Conceição da Barra","Espírito Santo","brazil",2736,"Conceição da Barra",3201605,-39.832833,-18.445026,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.442222,-39.716944,"original coordinates","original coordinates OK"
"4","Myrcia neuwiedeana",1929167498,-18.4422,-39.7169,"elmms,gass84","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","none","17017c2c-036b-45d9-b045-606d21b00771","US","DWC_ARCHIVE","2018-11-18T15:14:49.064+0000","2018-11-18T15:14:49.069+0000",96,"none","PRESERVED_SPECIMEN",3717013,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiediana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiediana","SPECIES","SYNONYM","none","EspÃ­rito Santo",2014,11,1,"2014-11-01T00:00:00","2018-12-06T16:36:56.830+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","The New York Botanical Garden","630b95e5-2889-4c8f-977b-782d80d819dd","467","Vascular plants","","PrÃ³ximo Ã  Itauna.","en","NY",1929167498,"630b95e5-2889-4c8f-977b-782d80d819dd","PhysicalObject","T. N. da C. Vasconcelos","02707110","","NY","","","",7.5,"","",7.5,"SOUTH_AMERICA","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2990352","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","01 Nov 2014",305,"ConceiÃ§ao da Barra","sheet",305,"49 ft","http://biocol.org/urn:lsid:biocol.org:col:15556","","","","","","",NA,"","","",NA,NA,NA,"","EspÃ­rito Santo","brazil",NA,"",NA,NA,NA,"","","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.4422,-39.7169,"original coordinates","original coordinates outside municipality original in  falls in conceicao da barra"
"5","Myrcia neuwiedeana",1423894860,-18.442222,-39.716944,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:34:24.385+0000","2018-09-24T19:57:45.873+0000",207,"none","PRESERVED_SPECIMEN",3186218,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiedeana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiedeana","SPECIES","SYNONYM","none","Espírito Santo",2014,11,1,"2014-11-01T00:00:00","2018-12-06T16:55:15.284+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1018471","467","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Conceição da Barra","Próximo à Itaúna.","","RB",1423894860,"urn:catalog:JBRJ:RB:1018471","PhysicalObject","T.N.C. Vasconcelos; J.E.Q. Faria","RB01018471","RB 633225","JBRJ","","Arbusto até 1.8m. Flores brancas. Botões castanhos","",15,"","",NA,"","","","","",NA,"","",NA,"","","","","","","","",NA,"","","",NA,NA,NA,"Conceição da Barra","Espírito Santo","brazil",2736,"Conceição da Barra",3201605,-39.832833,-18.445026,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.442222,-39.716944,"original coordinates","original coordinates OK"
"6","Myrcia neuwiedeana",1264688689,-18.442222,-39.716944,"gass84","3f6a3304-f66f-4ba8-be57-92a70f3aac3f","3f41d988-faf2-4a9f-811e-8dac728c05d4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:01.646+0000","2017-12-29T14:12:34.922+0000",140,"none","PRESERVED_SPECIMEN",3186218,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiedeana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiedeana","SPECIES","SYNONYM","2014-11-01T00:00:00","Espirito Santo",2014,11,1,"2014-11-01T00:00:00","2018-12-08T13:34:48.245+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFSJ - Herbário da Universidade Federal de São João Del Rei","BRA:UFSJ:HUFSJ:0000008347","4243","HUFSJ - Herbário da Universidade Federal de São João Del Rei","Conceição da Barra","Próximo à Itaúnas. Restinga aberta.","pt","HUFSJ",1264688689,"BRA:UFSJ:HUFSJ:0000008347","Collection","Faria, JEQ; Vasconcelos, TNC","8347","","UFSJ","Universidade Federal de São João Del Rei (UFSJ)","Arbusto, ca. 2m de altura. Botões verdes, flores velhas, fruto imaturo verde.","Faria, JEQ",15,"2016-03-16T17:12:45.000+0000","",0,"","","","","",NA,"","",NA,"","","","","","","","",NA,"","","",NA,NA,NA,"Conceição da Barra","Espirito Santo","brazil",2736,"Conceição da Barra",3201605,-39.832833,-18.445026,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.442222,-39.716944,"original coordinates","original coordinates OK"
"7","Myrcia neuwiedeana",1424470722,-18.495555,-39.777778,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:41.664+0000","2018-09-24T20:03:55.309+0000",207,"none","PRESERVED_SPECIMEN",3186218,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiedeana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiedeana","SPECIES","SYNONYM","none","Espírito Santo",2013,11,11,"2013-11-11T00:00:00","2018-12-06T17:00:41.859+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:827082","22","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Conceição da Barra","","","RB",1424470722,"urn:catalog:JBRJ:RB:827082","PhysicalObject","S. Souza Silva","RB00827082","RB 590565","JBRJ","","Arbusto ca 2m de altura. Folhas coriáceas. Flores com cálice verde e corola alva. Vegetação: Floresta Ombrófila densa (Mussununga). Convênio IBGE-JBRJ (Levantamento dos Recursos Naturais - Atualização do tema Vegetação, escala 1: 250.00).","A. Vaz",17,"2017-10-07T22:39:51.162+0000","",NA,"","","","","",NA,"","",NA,"","","","","","","","",NA,"","","",NA,NA,NA,"Conceição da Barra","Espírito Santo","brazil",2736,"Conceição da Barra",3201605,-39.832833,-18.445026,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.495555,-39.777778,"original coordinates","original coordinates OK"
"8","Myrcia neuwiedeana",1424430852,-18.6975,-39.796111,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:18.742+0000","2018-09-24T20:03:34.696+0000",207,"none","PRESERVED_SPECIMEN",3186218,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiedeana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiedeana","SPECIES","SYNONYM","none","Espírito Santo",2012,1,24,"2012-01-24T00:00:00","2018-12-06T17:00:18.350+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:740365","1194","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Espírito Santo","Conceição da Barra. Quadrado. Formação arbustiva aberta de restinga. APA de Conceição da Barra","","RB",1424430852,"urn:catalog:JBRJ:RB:740365","PhysicalObject","Giaretta, A.","RB00740365","RB 561322","JBRJ","","Arbusto de 1,5m. Fruto maduro roxo com até 4 sementes.","",NA,"2017-10-17T19:09:11.621+0000","",NA,"","","","","",NA,"","",NA,"","","","","","","","",NA,"","","",NA,NA,NA,"Espírito Santo","Espírito Santo","brazil",NA,"",NA,NA,NA,"","","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.6975,-39.796111,"original coordinates","original coordinates outside municipality original in espirito santo falls in conceicao da barra"
"9","Myrcia neuwiedeana",1890644768,-18.695556,-39.794722,"gass84","4d0fa690-1551-46f0-9a22-acfec0e00dd0","503e9b26-09b5-4c40-b42a-bb476319a8ad","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:17:07.606+0000","2018-10-09T15:49:00.656+0000",142,"none","PRESERVED_SPECIMEN",3717013,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiediana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiediana","SPECIES","SYNONYM","none","Espírito Santo",2012,1,3,"2012-01-03T00:00:00","2018-12-08T13:12:41.261+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","VIES - Herbário Central da Universidade Federal do Espírito Santo VIES","BRA:UFES:VIES:0000025832","2861","VIES - Herbário Central da Universidade Federal do Espírito Santo VIES","Conceição da Barra","APA de Conceição da Barra - Quadrado - restinga plesitocênica.","pt","VIES",1890644768,"BRA:UFES:VIES:0000025832","Collection","Assis, A.M.; Cipriano, R. & Coutinho, H.","25832","","UFES","Universidade Federal do Espírito Santo, UFES","Arbusto. Frutos verdes e roxos. Moita da Formação arbustiva aberta inundável","",20,"2018-10-03T13:54:09.000+0000","",0,"","","","","",NA,"","",NA,"","","","","","","","",NA,"","","",NA,NA,NA,"Conceição da Barra","Espírito Santo","brazil",2736,"Conceição da Barra",3201605,-39.832833,-18.445026,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.695556,-39.794722,"original coordinates","original coordinates OK"
"10","Myrcia neuwiedeana",1424430861,-18.693333,-39.783056,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:18.740+0000","2018-09-24T20:03:34.724+0000",207,"none","PRESERVED_SPECIMEN",3186218,6,7707728,220,690,5014,7395601,8726242,8726242,"Marlierea neuwiedeana (O.Berg) Nied.","Myrcia neuwiedeana (O.Berg) E.Lucas & C.E.Wilson","Plantae","Tracheophyta","Myrtales","Myrtaceae","Myrcia","Myrcia neuwiedeana","Marlierea","neuwiedeana","SPECIES","SYNONYM","none","Espírito Santo",2012,1,24,"2012-01-24T00:00:00","2018-12-06T17:00:18.351+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:740364","1179","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Espírito Santo","Conceição da Barra.Quadrado. Floresta de restinga seca sobre cordão arenoso. APA de Conceição da Barra","","RB",1424430861,"urn:catalog:JBRJ:RB:740364","PhysicalObject","Giaretta, A.","RB00740364","RB 561321","JBRJ","","Arbusto de 3m. Frutos maduros roxos. Polpa adocicada.","",NA,"2017-10-17T18:40:21.131+0000","",NA,"","","","","",NA,"","",NA,"","","","","","","","",NA,"","","",NA,NA,NA,"Espírito Santo","Espírito Santo","brazil",NA,"",NA,NA,NA,"","","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.693333,-39.783056,"original coordinates","original coordinates outside municipality original in espirito santo falls in conceicao da barra"
