"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","individualCount","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","preparations","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","identifiedBy","continent","references","habitat","institutionID","county","verbatimElevation","nomenclaturalCode","verbatimEventDate","georeferenceProtocol","endDayOfYear","startDayOfYear","collectionID","modified","otherCatalogNumbers","occurrenceRemarks","verbatimTaxonRank","higherClassification","higherGeography","verbatimCoordinateSystem","fieldNotes","identificationRemarks","infraspecificEpithet","rights","nomenclaturalStatus","taxonID","bibliographicCitation","coordinateUncertaintyInMeters","eventRemarks","georeferenceSources","typeStatus","typifiedName","dynamicProperties","fieldNumber","organismID","datasetID","accessRights","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Vitex panshiniana",1587329115,-6.93,-47.376111,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:40.906+0000","2018-11-23T18:21:41.009+0000",123,"none","PRESERVED_SPECIMEN",4,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","none",176,0,"Maranhão",2015,10,20,"2015-10-20T00:00:00","2018-11-23T18:22:58.298+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000097621","5433","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","CAROLINA","Parque Nacional Chapada das Mesas. Sítio 1 - Buenos Aires. Ponto 6 da coleta, beira do rio Farinha.","pt","CEN",1587329115,"BRA:Cenargen:CEN:0000097621","Collection","Exsicatas","Anderson Cássio Sevilha","97621","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","B. M. T. Walter","","","","","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","CAROLINA","Maranhão","brazil",4446,"Carolina",2102804,-47.202587,-7.373867,"MARANHAO","MA","Maranhão",-45.28117854,-5.05609075,"Maranhão","ma",-6.93,-47.376111,"original coordinates","original coordinates outside municipality original in carolina falls in estreito"
"2","Vitex panshiniana",1931022691,-9.21042,-36.464559,"elmms","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","none","17017c2c-036b-45d9-b045-606d21b00771","US","DWC_ARCHIVE","2018-11-18T16:23:58.861+0000","2018-11-18T16:23:58.979+0000",96,"none","PRESERVED_SPECIMEN",NA,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","2017-01-01T00:00:00",400,400,"Pernambuco",2014,11,26,"2014-11-26T00:00:00","2018-12-08T04:57:47.713+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","The New York Botanical Garden","e634f782-7ffa-4770-a0f9-e53916c1fe00","4437","Vascular plants","","Reserva BiolÃ³gica da Pedra Talhada. localitÃ© de Lagoa do Ouro","en","NY",1931022691,"e634f782-7ffa-4770-a0f9-e53916c1fe00","PhysicalObject","sheet","L. Nusbaumer","02890638","NY","","O. Kosovsky","SOUTH_AMERICA","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952156","ForÃªt ombrophile submontagnarde, pÃ¢turage.","http://biocol.org/urn:lsid:biocol.org:col:15556","Lagoa do Ouro","2625 ft","ICN","26 Nov 2014","GPS",330,330,"http://biocol.org/urn:lsid:biocol.org:col:15556","","","","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","","Pernambuco","brazil",NA,"",NA,NA,NA,"","","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-9.21042,-36.464559,"original coordinates","original coordinates outside municipality original in  falls in lagoa do ouro"
"3","Vitex panshiniana",1424474435,-5.242778,-42.724722,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:43.843+0000","2018-09-24T20:03:57.306+0000",207,"none","PRESERVED_SPECIMEN",NA,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","2014-01-20T00:00:00",NA,NA,"Piauí",2013,10,23,"2013-10-23T00:00:00","2018-12-06T17:00:43.963+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:837986","951","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Teresina","Parcela P18 referente aos estudos para o EIA da LT Presidente Dutra - Teresina II - Sobral III.","","RB",1424474435,"urn:catalog:JBRJ:RB:837986","PhysicalObject","","E.M.Saddi; Pedro Samor, Pablo Gomes & Rafael Bruno","RB00837986","JBRJ","","E.M.Saddi","","","","","","","","","",NA,NA,"","2014-05-26T15:14:33.045+0000","RB 593435","Árvore com cerca de 9m de altura. Folhas apresentando densa pilosidade. Cálice verde e frutos verdes.","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","Teresina","Piauí","brazil",5060,"Teresina",2211001,-42.740228,-5.102141,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,"Piauí","pi",-5.242778,-42.724722,"original coordinates","original coordinates OK"
"4","Vitex panshiniana",1135818021,-3.844722,-40.916111,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:29.943+0000","2018-09-24T19:20:43.862+0000",128,"none","PRESERVED_SPECIMEN",NA,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","2012-10-18T00:00:00",851,0,"Ceará",2012,8,28,"2012-08-28T00:00:00","2018-12-06T21:47:01.787+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000052762","1976","EAC - Herbário Prisco Bezerra","Ubajara","PARNA Ubajara.","pt","EAC",1135818021,"BRA:UFC:EAC:0000052762","Collection","","Loiola, M.I.B.","52762","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Lima-Verde, L.W.","SOUTH_AMERICA","","","","","","","","",NA,NA,"","2018-08-13T19:45:38.000+0000","","Árvore, +/- 10m; flor vinácea, ramos tomentosos, folhas douradas.","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","Ubajara","Ceará","brazil",5241,"Ubajara",2313609,-41.000685,-3.865801,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-3.844722,-40.916111,"original coordinates","original coordinates OK"
"5","Vitex panshiniana",1090912777,-7.530458,-39.119369,"cdround,gass84","b18aa640-0367-4956-a6a4-5f07141127f1","6bfada01-036d-455a-b332-081dbe226a05","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:17.300+0000","2018-05-05T12:05:45.968+0000",121,"none","PRESERVED_SPECIMEN",NA,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","2013-12-06T00:00:00",608,0,"Ceará",2012,11,1,"2012-11-01T00:00:00","2018-12-09T06:15:10.994+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVASF - Herbário Vale do São Francisco","BRA:UNIVASF:HVASF:0000018108","1791","HVASF - Herbário Vale do São Francisco","Porteiras","Sítio Massapê","pt","HVASF",1090912777,"BRA:UNIVASF:HVASF:0000018108","Collection","","A.C.P. Oliveira","18108","UNIVASF","Universidade Federal do Vale do São Francisco (UNIVASF)","F. França","SOUTH_AMERICA","","","","","","","","",NA,NA,"","2018-04-13T18:56:37.000+0000","","Árvore com ca. de 7,00m alt.. Folha composta e alterna. Flor roxa. Fruto tipo baga marrom.","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","Porteiras","Ceará","brazil",4393,"Porteiras",2311108,-39.10751,-7.543343,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-7.530458,-39.119369,"original coordinates","original coordinates OK"
"6","Vitex panshiniana",1913579925,-8.298611,-47.985277,"cdround,gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:42.006+0000","2018-11-23T18:21:42.082+0000",123,"none","PRESERVED_SPECIMEN",4,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","none",270,0,"Tocantins",2009,9,18,"2009-09-18T00:00:00","2018-12-10T13:35:46.762+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000099838","14614","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","ITACAJA","Estrada Itapiratins povoado do Cantinho, km 20.","pt","CEN",1913579925,"BRA:Cenargen:CEN:0000099838","Collection","Exsicatas","Glocimar Pereira-Silva","99838","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","B. M. T. Walter","","","","","","","","","",NA,NA,"","2018-10-26T13:54:18.000+0000","","Área de influência indireta.","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","ITACAJA","Tocantins","brazil",4166,"Itacajá",1710508,-47.669167,-8.572225,"TOCANTINS","TO","Tocantins",-48.32919432,-10.14913269,"Tocantins","to",-8.298611,-47.985277,"original coordinates","original coordinates outside municipality original in itacaja falls in itapiratins"
"7","Vitex panshiniana",1095243387,-13.045,-48.091666,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:26.639+0000","2018-11-23T18:21:26.676+0000",123,"none","PRESERVED_SPECIMEN",4,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","none",360,0,"Tocantins",2007,7,18,"2007-07-18T00:00:00","2018-11-23T18:22:38.243+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000067813","12071","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","PARANA","Balsa do Coronel para balsa do rio Custódio, km 14.","pt","CEN",1095243387,"BRA:Cenargen:CEN:0000067813","Collection","Exsicatas","Glocimar Pereira-Silva","67813","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","B. M. T. Walter","","","","","","","","","",NA,NA,"","","","Área de influência indireta.","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","PARANA","Tocantins","brazil",3504,"Paranã",1716208,-47.81372,-12.696852,"TOCANTINS","TO","Tocantins",-48.32919432,-10.14913269,"Tocantins","to",-13.045,-48.091666,"original coordinates","original coordinates OK"
"8","Vitex panshiniana",1095242848,-6.588611,-47.440277,"cdround,gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:26.243+0000","2018-11-23T18:21:26.246+0000",123,"none","PRESERVED_SPECIMEN",4,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","none",200,0,"Maranhão",2005,10,20,"2005-10-20T00:00:00","2018-11-23T18:22:37.957+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000067239","10235","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","ESTREITO","Fazenda do Sr. Sebastião do Leite. Futuro canteiro da obra AHE Estreito.","pt","CEN",1095242848,"BRA:Cenargen:CEN:0000067239","Collection","Exsicatas","Glocimar Pereira-Silva","67239","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","B. M. T. Walter","","","","","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","ESTREITO","Maranhão","brazil",4648,"Estreito",2104057,-47.201183,-6.782543,"MARANHAO","MA","Maranhão",-45.28117854,-5.05609075,"Maranhão","ma",-6.588611,-47.440277,"original coordinates","original coordinates OK"
"9","Vitex panshiniana",1095242923,-6.588611,-47.440555,"cdround,gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:26.263+0000","2018-11-23T18:21:26.270+0000",123,"none","PRESERVED_SPECIMEN",4,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","none",150,0,"Tocantins",2005,10,23,"2005-10-23T00:00:00","2018-11-23T18:22:37.949+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000067285","10287","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","AGUIARNÓPOLIS","Mata do Sr. Francisco do Leite, canteiro de obras do AHE Estreito.","pt","CEN",1095242923,"BRA:Cenargen:CEN:0000067285","Collection","Exsicatas","Glocimar Pereira-Silva","67285","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","B. M. T. Walter","","","","","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","AGUIARNÓPOLIS","Tocantins","brazil",4736,"Aguiarnópolis",1700301,-47.513131,-6.487835,"TOCANTINS","TO","Tocantins",-48.32919432,-10.14913269,"Tocantins","to",-6.588611,-47.440555,"original coordinates","original coordinates outside municipality original in aguiarnopolis falls in estreito"
"10","Vitex panshiniana",1135817680,-4.294528,-38.909833,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:29.631+0000","2018-09-24T19:20:43.767+0000",128,"none","PRESERVED_SPECIMEN",NA,3903760,6,7707728,220,408,2497,2925556,3903760,3903760,"Vitex panshiniana Moldenke","Vitex panshiniana Moldenke","Plantae","Tracheophyta","Lamiales","Lamiaceae","Vitex","Vitex panshiniana","Vitex","panshiniana","SPECIES","ACCEPTED","2012-03-07T00:00:00",NA,NA,"Ceará",2004,3,1,"2004-03-01T00:00:00","2018-12-06T21:47:01.507+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000052272","277","EAC - Herbário Prisco Bezerra","Guaramiranga","Sítio Labirinto dos Taveira","pt","EAC",1135817680,"BRA:UFC:EAC:0000052272","Collection","","Gomes, V.","52272","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Lima-Verde, L. .W.","SOUTH_AMERICA","","","","","","","","",NA,NA,"","2018-08-13T19:45:38.000+0000","","","","","","","","","","","",NA,"",NA,"","","","","",NA,NA,"","","Guaramiranga","Ceará","brazil",5179,"Guaramiranga",2305100,-38.94698,-4.244485,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-4.294528,-38.909833,"original coordinates","original coordinates outside municipality original in guaramiranga falls in baturite"
