"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","language","ownerInstitutionCode","continent","references","institutionID","county","collectionID","rights","organismQuantity","preparations","organismQuantityType","locationRemarks","individualCount","verbatimCoordinateSystem","vernacularName","locationID","accessRights","nomenclaturalStatus","nomenclaturalCode","fieldNumber","taxonID","bibliographicCitation","verbatimEventDate","verbatimTaxonRank","higherClassification","coordinateUncertaintyInMeters","occurrenceStatus","fieldNotes","reproductiveCondition","georeferencedDate","georeferencedBy","georeferenceProtocol","verbatimLocality","disposition","georeferenceSources","verbatimElevation","endDayOfYear","startDayOfYear","higherGeography","identificationQualifier","georeferenceRemarks","typeStatus","habitat","identificationRemarks","organismID","datasetID","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Scleronema micranthum",1852374655,-1.811389,-59.264722,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:26.500+0000","2018-09-24T19:59:07.596+0000",207,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","2018-02-23T00:00:00","Amazonas",2017,9,18,"2017-09-18T00:00:00","2018-07-11T15:51:33.019+0000","2018-12-09T17:12:37.117+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1392049","2487","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Presidente Figueiredo","Reserva Biológica do Uatumã, Unidade amostral UA2_Cachoeira (Ponto amostral Norte). Reserva Biológica do Uatumã","RB",1852374655,"urn:catalog:JBRJ:RB:1392049","PhysicalObject","Castro, W.; Oliveira, E.C.; Cunha-Neto, J.P.; Serrão, D.; Serrão, R.; Damasceno, E.D.; Silva, L.S.","RB01392049","RB 769481","JBRJ","Árvore 22 m, DAP=325 mm  Placa:#349. Estéril","Carlos D.M. Ferreira",NA,NA,"","","","","","","","",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","Presidente Figueiredo","Amazonas","brazil",5487,"Presidente Figueiredo",1303536,-59.990467,-1.370028,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-1.811389,-59.264722,"original coordinates","original coordinates OK"
"2","Scleronema micranthum",1890100370,-1.811389,-59.264722,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:28.443+0000","2018-09-24T19:59:08.775+0000",207,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","none","Amazonas",2017,9,18,"2017-09-18T00:00:00","2018-07-31T16:08:00.000+0000","2018-09-24T19:59:30.894+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1395299","2431","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Presidente Figueiredo","Reserva Biológica do Uatumã, Unidade amostral UA2_Cachoeira (Ponto amostral Oeste). Reserva Biológica do Uatumã","RB",1890100370,"urn:catalog:JBRJ:RB:1395299","PhysicalObject","Castro, W.; Oliveira, E.C.; Cunha-Neto, J.P.; Serrão, D.; Serrão, R.; Damasceno, E.D.; Silva, L.S.","RB01395299","RB 772660","JBRJ","Árvore, cálice verde, corola branca, pedúnculo com pubescência branca. Sem placa.","C.D.M. Ferreira",NA,NA,"","","","","","","","",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","Presidente Figueiredo","Amazonas","brazil",5487,"Presidente Figueiredo",1303536,-59.990467,-1.370028,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-1.811389,-59.264722,"original coordinates","original coordinates OK"
"3","Scleronema micranthum",1837387784,-2.938847,-60.453672,"gass84","7aeb3ded-7443-4512-95f7-2ec7ab0f308c","a8d26b9b-a0c0-42b3-a479-b575f9b60793","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:14.894+0000","2018-08-03T12:06:31.483+0000",127,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","2016-10-10T00:00:00","Amazonas",2016,10,10,"2016-10-10T00:00:00","2018-07-19T12:35:17.000+0000","2018-12-08T03:39:45.885+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","BRA:IFAM - CMZL:EAFM:0000016108","s.n.","EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","Manaus","Estação Experimental de Silvicultura Tropical (EES, Floresta de terra-firme (ca. 250 hectares) atingida por uma tempestade de vento ocorrida no ano de 2005","EAFM",1837387784,"BRA:IFAM - CMZL:EAFM:0000016108","Collection","Marra, D.M.","16108","","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","árvore; Floresta de terra-firme ; HA","Marra, D.M.",0,0,"pt","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","","","","","","",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","Manaus","Amazonas","brazil",5411,"Manaus",1302603,-60.251153,-2.607107,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-2.938847,-60.453672,"original coordinates","original coordinates OK"
"4","Scleronema micranthum",1413715532,-5.207661,-60.121483,"gass84","7aeb3ded-7443-4512-95f7-2ec7ab0f308c","a8d26b9b-a0c0-42b3-a479-b575f9b60793","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:11.946+0000","2018-08-03T12:06:29.809+0000",127,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","none","Amazonas",2015,9,23,"2015-09-23T00:00:00","2018-07-19T12:35:17.000+0000","2018-12-07T13:11:01.395+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","BRA:IFAM - CMZL:EAFM:0000011438","91","EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","Novo Aripuanã","Área de manejo não explorado, AM 183","EAFM",1413715532,"BRA:IFAM - CMZL:EAFM:0000011438","Collection","Amoêdo, S.C.; Pereira, E.C. & Britto, A.S.","11438","","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","Base digitada; tronco reto; ritidoma estriado; lenticelas verticais; ausência de exsudato; cor da casca morta esverdeado; casca viva quebradiça e avermelhada; odor de vagem; folha simples e alterna; face abaxial com nervuras sobressalentes; peciolo e; HA","",0,0,"pt","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","","","","","","",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","Novo Aripuanã","Amazonas","brazil",4628,"Novo Aripuanã",1303304,-60.476813,-6.82356,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-5.207661,-60.121483,"original coordinates","original coordinates OK"
"5","Scleronema micranthum",1094912781,-0.160556,-67.000278,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:48.441+0000","2018-09-10T18:27:31.663+0000",124,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","none","Amazonas",2013,3,29,"2013-03-29T00:00:00","","2018-09-10T18:27:57.852+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000196114","3319","HUEFS - Herbario da Universidade Estadual de Feira de Santana","São Gabriel da Cachoeira","Alto Rio Negro, Itacoatiara-Mirim, entroncamento do aeroporto, na estrada para Camanaus.","HUEFS",1094912781,"BRA:UEFS:HUEFS:0000196114","Collection","Cardoso, D.","196114","","UEFS","Caatinga alta com muito Monopteryx uaucu e Eperua sp. Solo arenoso.","",53,0,"pt","Universidade Estadual de Feira de Santana (UEFS)","","","","","","",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","São Gabriel da Cachoeira","Amazonas","brazil",5542,"São Gabriel da Cachoeira",1303809,-67.998749,0.374972,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-0.160556,-67.000278,"original coordinates","original coordinates OK"
"6","Scleronema micranthum",1837387353,-3.653928,-61.260486,"gass84","7aeb3ded-7443-4512-95f7-2ec7ab0f308c","a8d26b9b-a0c0-42b3-a479-b575f9b60793","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:14.560+0000","2018-08-03T12:06:31.267+0000",127,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","2012-09-05T00:00:00","Amazonas",2012,9,5,"2012-09-05T00:00:00","2018-07-19T12:35:17.000+0000","2018-12-08T03:39:45.573+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","BRA:IFAM - CMZL:EAFM:0000015594","1211","EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","Manacapurú, Novo Airão","Reserva de Desenvolvimento Sustentável do Rio Negr, Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987","EAFM",1837387353,"BRA:IFAM - CMZL:EAFM:0000015594","Collection","Marra, D.M.; Neves, A.F. & Souza, I.G.","15594","","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","árvore, DAP = 14.6 cm; Floresta de terra-firme ; HA","Marra, D.M.; Carneiro, V.M.C.",0,0,"pt","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","","","","","","",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","Manacapurú, Novo Airão","Amazonas","brazil",NA,"",NA,NA,NA,"","","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-3.653928,-61.260486,"original coordinates","original coordinates outside municipality original in manacapuru, novo airao falls in manacapuru"
"7","Scleronema micranthum",1837386199,-2.404011,-60.31035,"gass84","7aeb3ded-7443-4512-95f7-2ec7ab0f308c","a8d26b9b-a0c0-42b3-a479-b575f9b60793","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:13.807+0000","2018-08-03T12:06:30.837+0000",127,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","2011-04-05T00:00:00","Amazonas",2011,4,5,"2011-04-05T00:00:00","2018-07-19T12:35:17.000+0000","2018-12-08T03:39:44.973+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","BRA:IFAM - CMZL:EAFM:0000014496","113","EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas","Manaus, Presidente Figueiredo","Ramal ZF5 (SUFRAMA), BR-174, Km 83, Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996","EAFM",1837386199,"BRA:IFAM - CMZL:EAFM:0000014496","Collection","Marra, D.M.; Neves, A.F. & Souza, I.G.","14496","","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","árvore, DAP = 27.6 cm; Floresta de terra-firme ; HA","Marra, D.M.; Carneiro, V.M.C.",0,0,"pt","Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","","","","","","",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","Manaus, Presidente Figueiredo","Amazonas","brazil",NA,"",NA,NA,NA,"","","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-2.404011,-60.31035,"original coordinates","original coordinates outside municipality original in manaus, presidente figueiredo falls in manaus"
"8","Scleronema micranthum",1042707872,0.44645,-67.13,"gass84,gdativ","3cc6171e-8c52-4f65-ad7a-32c74e395f29","c0d9c91a-0f83-4819-bf7e-bb5e1184eb6b","none","ada4205f-679c-4a86-9759-ff652ac467b3","BR","DWC_ARCHIVE","2017-10-08T07:25:26.483+0000","2014-11-24T14:46:11.742+0000",50,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","2008-04-22T00:00:00","Amazonas",2008,4,22,"2008-04-22T00:00:00","2014-09-26T00:00:00.000+0000","2018-07-07T16:28:55.384+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Instituto Nacional de Pesquisas da Amazônia (INPA)","urn:catalog:inpa:herbarium:241923","102","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","","Morro dos Seis Lagos - Igarapé Yá-mirim","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",1042707872,"urn:catalog:inpa:herbarium:241923","Collection","Assis, RL de","227106","","Instituto Nacional de Pesquisas da Amazônia (INPA)","","Assis, R.L. de",0,0,"pt","","SOUTH_AMERICA","","01.263.896/0015-60","São Gabriel da Cachoeira","","License Elements",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","","Amazonas","brazil",NA,"",NA,NA,NA,"","","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",0.44645,-67.13,"original coordinates","original coordinates outside municipality original in  falls in sao gabriel da cachoeira"
"9","Scleronema micranthum",1090152032,-4.902222,-65.195833,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:10.018+0000","2018-07-04T12:09:00.900+0000",130,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","none","Amazonas",2007,3,18,"2007-03-18T00:00:00","2018-06-14T13:43:24.000+0000","2018-12-08T04:39:57.463+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000001580","88","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","Coari","Base de Operações Geólogo Pedro de Moura, Base de Operações Geólogo Pedro de Moura, estrada para Porto Evandro, poste 132. Vegetação de floresta. Solo argiloso. &nf;Lat: 04°54'01,4""&nf;Long: 65°11'56,3""","MFS",1090152032,"BRA:UEPA:MFS:0000001580","Collection","Lavareda, RHR","001580","","UEPA","Árvore com 13 m; flores com cálice amarelo, corola branca, botões verde amarelados; copa assimétrica; fuste cilíndrico e reto; ritidoma castanho acinzentado com manchas brancas e aparência estriada; base reta.","Lobato, LCB",9999,0,"pt","Universidade do Estado do Pará (UEPA)","","","","","","",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","Coari","Amazonas","brazil",5153,"Coari",1301209,-64.126189,-4.438089,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-4.902222,-65.195833,"original coordinates","original coordinates OK"
"10","Scleronema micranthum",1042679961,-1,-59,"gass84,gdativ","3cc6171e-8c52-4f65-ad7a-32c74e395f29","c0d9c91a-0f83-4819-bf7e-bb5e1184eb6b","none","ada4205f-679c-4a86-9759-ff652ac467b3","BR","DWC_ARCHIVE","2017-10-08T07:25:19.853+0000","2014-11-24T14:45:39.236+0000",50,"none","PRESERVED_SPECIMEN",8363369,6,7707728,220,941,6685,3233962,8363369,8363369,"Scleronema micranthum (Ducke) Ducke","Scleronema micranthum (Ducke) Ducke","Plantae","Tracheophyta","Malvales","Malvaceae","Scleronema","Scleronema micranthum","Scleronema","micranthum","SPECIES","ACCEPTED","none","Amazonas",2007,6,11,"2007-06-11T00:00:00","2014-09-26T00:00:00.000+0000","2018-07-07T16:28:55.290+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Instituto Nacional de Pesquisas da Amazônia (INPA)","urn:catalog:inpa:herbarium:213979","1584","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","","Rebio Uatumã., grade do PPBio.","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)",1042679961,"urn:catalog:inpa:herbarium:213979","Collection","Carvalho-Sobrinho, JG de","225946","","Instituto Nacional de Pesquisas da Amazônia (INPA)","Fruto separado.","Carvalho-Sobrinho, J.G. de",0,0,"pt","","SOUTH_AMERICA","","01.263.896/0015-60","Presidente Figueiredo","","License Elements",NA,"",NA,NA,NA,"",NA,NA,"","","",NA,NA,"","","","",NA,NA,NA,NA,"",NA,"","","","","",NA,NA,"",NA,NA,"","","",NA,"","","Amazonas","brazil",NA,"",NA,NA,NA,"","","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-1,-59,"original coordinates","original coordinates outside municipality original in  falls in urucara"
