"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","continent","otherCatalogNumbers","fieldNotes","infraspecificEpithet","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","collectionID","rights","individualCount","habitat","higherGeography","georeferenceProtocol","eventRemarks","higherClassification","identificationQualifier","fieldNumber","organismID","datasetID","accessRights","nomenclaturalStatus","taxonID","bibliographicCitation","coordinateUncertaintyInMeters","georeferenceSources","georeferencedDate","verbatimElevation","verbatimLocality","verbatimTaxonRank","dynamicProperties","verbatimCoordinateSystem","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Copaifera martii",1699901848,-5.146667,-40.928333,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:03.332+0000","2018-11-14T17:20:03.345+0000",124,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","2017-11-01T00:00:00",684,0,"Ceará",2017,3,29,"2017-03-29T00:00:00","2018-11-09T19:15:17.000+0000","2018-12-05T23:54:04.043+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000233599","645","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Crateús","Serra das Almas, around plot 1.","pt","HUEFS",1699901848,"BRA:UEFS:HUEFS:0000233599","Collection","Moonlight, P.W.","233599","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Dry forest with canopy of 5-10m. Dense shrub layer (mostly Croton sp). Sparse herb layer and sparse bromeliad ground cover. Deep clay-sand soil.","R.T.Pennington","","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Crateús","Ceará","brazil",5040,"Crateús",2304103,-40.719795,-5.197497,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-5.146667,-40.928333,"original coordinates","original coordinates OK"
"2","Copaifera martii",1702660068,-0.584031,-47.651172,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:12.282+0000","2018-10-25T12:35:44.204+0000",130,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","none",9999,0,"Pará",2017,5,6,"2017-05-06T00:00:00","2018-10-16T18:33:06.000+0000","2018-12-08T11:34:45.255+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000007407","1964","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","Marudá","Praia do Crispim","pt","MFS",1702660068,"BRA:UEPA:MFS:0000007407","Collection","Lucas, F.C.A.","007407","UEPA","Universidade do Estado do Pará (UEPA)","Árvore de 4 m de altura com botões florais esverdeado.","Silva, CAS da","","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Marudá","Pará","brazil",NA,"",NA,NA,NA,"","","Pará",-53.0625366,-3.972184,"Pará","pa",-0.584031,-47.651172,"original coordinates","original coordinates outside Brazil"
"3","Copaifera martii",1848117917,-8.180947,-49.4466,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:12.489+0000","2018-07-04T12:09:03.253+0000",130,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","none",9999,0,"Pará",2017,5,8,"2017-05-08T00:00:00","2018-06-14T13:42:55.000+0000","2018-12-08T15:07:39.784+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000007911","2405","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","Conceição do Araguaia","Canga Arborea P01C","pt","MFS",1848117917,"BRA:UEPA:MFS:0000007911","Collection","Cardoso, A","007911","UEPA","Universidade do Estado do Pará (UEPA)","Arvoreta, cerca 2m. Crescendo sobre canga arborea, flor branca.","Cardoso, A","","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Conceição do Araguaia","Pará","brazil",4234,"Conceição do Araguaia",1502707,-49.51322,-8.181173,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-8.180947,-49.4466,"original coordinates","original coordinates OK"
"4","Copaifera martii",1837397195,-7.979444,-49.449444,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:12.486+0000","2018-07-04T12:09:03.180+0000",130,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","none",9999,0,"Pará",2017,5,2,"2017-05-02T00:00:00","2018-06-14T13:42:55.000+0000","2018-12-08T03:39:51.263+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000007848","2286","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","Conceição do Araguaia","Pequizeiro oeste. Ferricrete 2.","pt","MFS",1837397195,"BRA:UEPA:MFS:0000007848","Collection","Cardoso, A","007848","UEPA","Universidade do Estado do Pará (UEPA)","Arbusto ereto, 1mrescendo na borda da canga aberta, formando grandes populações. Flores brancas.","Cardoso, A","","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Conceição do Araguaia","Pará","brazil",4234,"Conceição do Araguaia",1502707,-49.51322,-8.181173,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-7.979444,-49.449444,"original coordinates","original coordinates OK"
"5","Copaifera martii",1801352777,-1.014367,-48.962517,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:12.330+0000","2018-10-25T12:35:44.221+0000",130,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","none",9999,0,"Pará",2017,9,18,"2017-09-18T00:00:00","2018-10-16T18:33:06.000+0000","2018-12-08T01:46:37.781+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000007507","2000","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","Cachoeira do Arari","Ilha do Marajó","pt","MFS",1801352777,"BRA:UEPA:MFS:0000007507","Collection","Lucas, F.C.A.","007507","UEPA","Universidade do Estado do Pará (UEPA)","Árvore de 6 m de altura com fruto imaturo verde.","","","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Cachoeira do Arari","Pará","brazil",5517,"Cachoeira do Arari",1502004,-48.88309,-0.863342,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-1.014367,-48.962517,"original coordinates","original coordinates OK"
"6","Copaifera martii",1913577949,-2.923056,-41.203889,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:35.568+0000","2018-09-24T19:20:47.579+0000",128,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","2016-06-01T00:00:00",15,0,"Ceará",2016,6,10,"2016-06-10T00:00:00","2018-08-13T19:42:02.000+0000","2018-12-10T13:35:45.623+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000061427","4247","EAC - Herbário Prisco Bezerra","Barroquinha","Distrito de Bitupitá.","pt","EAC",1913577949,"BRA:UFC:EAC:0000061427","Collection","Souza, E.B.","61427","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Arbusto 2-3m alt. Caules cinzas. Folíolos coriáceos. Frutos imaturos verde-vináceos, maduro marrons-escuros. Sementes pretas.; Área de vegetação de restinga Arbustivo-arbórea sobre solos arenosos.","Souza, E.B.; Nepomuceno, F.A.A.","SOUTH_AMERICA","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Barroquinha","Ceará","brazil",5375,"Barroquinha",2302057,-41.17189,-2.972345,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-2.923056,-41.203889,"original coordinates","original coordinates OK"
"7","Copaifera martii",1503029293,-3.001389,-41.151667,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:01.254+0000","2018-11-14T17:20:01.280+0000",124,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","none",60,0,"Ceará",2016,6,10,"2016-06-10T00:00:00","2018-11-09T19:15:17.000+0000","2018-12-08T12:54:57.883+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000228324","4219","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Barroquinha","Margem da CE-187, entre Barroquinha e Bitupitá, ca. 3 km depois da cidade.","pt","HUEFS",1503029293,"BRA:UEFS:HUEFS:0000228324","Collection","Souza, E.B.","228324","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Área de Floresta de Tabuleiro sobre solos arenosos.","","","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Barroquinha","Ceará","brazil",5375,"Barroquinha",2302057,-41.17189,-2.972345,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-3.001389,-41.151667,"original coordinates","original coordinates OK"
"8","Copaifera martii",1638350022,-1.49,-48.463056,"gass84","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:08.411+0000","2018-09-10T18:28:52.157+0000",135,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","none",NA,NA,"Pará",2016,8,10,"2016-08-10T00:00:00","2018-08-17T14:52:28.000+0000","2018-12-06T03:12:54.283+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000032526","1760","HEPH - Herbário Ezechias Paulo Heringer","Belém","Ilha do Combú: Quintal do Seu Rui","pt","HEPH",1638350022,"BRA:JBB:HEPH:0000032526","Collection","Lucas, FCA; Silva, CAS da","32526","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Árvore de 5m de altura com fruto imaturo verde","Silva, CAS da","SOUTH_AMERICA","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Belém","Pará","brazil",5494,"Belém",1501402,-48.462671,-1.229381,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-1.49,-48.463056,"original coordinates","original coordinates OK"
"9","Copaifera martii",1426765834,-15.598361,-57.229694,"gass84","8dd06261-d1a7-4c2b-9007-c3a4d93dfee3","e7132376-4a7e-458a-be08-946850a2beac","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:52.801+0000","2017-12-29T14:07:52.436+0000",127,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","2016-10-14T00:00:00",192,0,"Mato Grosso",2016,9,14,"2016-09-14T00:00:00","2017-01-18T17:06:33.000+0000","2018-12-09T23:21:26.825+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HPAN - Herbário do Pantanal ""Vali Joana Pott""","BRA:UNEMAT:HPAN:00004337.1","153","HPAN - Herbário do Pantanal ""Vali Joana Pott""","Porto Estrela","Novo Oriente, Sítio Santa Ceia, localizado na zona rural.","pt","HPAN",1426765834,"BRA:UNEMAT:HPAN:00004337.1","Collection","Ourives, LAA","4337.1","Universidade do Estado de Mato Grosso (UNEMAT)","Universidade do Estado de Mato Grosso (UNEMAT)","","Carniello, MA","","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Porto Estrela","Mato Grosso","brazil",3142,"Porto Estrela",5106851,-57.215188,-15.524468,"MATO GROSSO","MT","Mato Grosso",-55.91290105,-12.94917881,"Mato Grosso","mt",-15.598361,-57.229694,"original coordinates","original coordinates OK"
"10","Copaifera martii",1252590535,-8.01,-37.719167,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:58.445+0000","2018-11-14T17:19:58.467+0000",124,"none","PRESERVED_SPECIMEN",2978164,6,7707728,220,1370,5386,2978115,2978164,2978164,"Copaifera martii Hayne","Copaifera martii Hayne","Plantae","Tracheophyta","Fabales","Fabaceae","Copaifera","Copaifera martii","Copaifera","martii","SPECIES","ACCEPTED","none",548,0,"Pernambuco",2015,4,14,"2015-04-14T00:00:00","2018-11-09T19:15:15.000+0000","2018-12-08T15:43:23.656+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000220378","5930","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Flores","Serra de Sabá, Caatinga arbóreo-arbustiva aberta","pt","HUEFS",1252590535,"BRA:UEFS:HUEFS:0000220378","Collection","Oliveira, M.","220378","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","","","","","","","","",NA,"","",NA,"","",NA,"","","","","","","",NA,"","","",NA,"",NA,"","","","","","","","","","Flores","Pernambuco","brazil",4280,"Flores",2605608,-37.889216,-7.93539,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-8.01,-37.719167,"original coordinates","original coordinates OK"
