"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","continent","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","individualCount","preparations","otherCatalogNumbers","references","created","associatedSequences","taxonID","higherClassification","fieldNotes","infraspecificEpithet","coordinateUncertaintyInMeters","habitat","institutionID","county","nomenclaturalCode","verbatimEventDate","georeferenceProtocol","endDayOfYear","startDayOfYear","collectionID","georeferenceSources","higherGeography","eventRemarks","identificationRemarks","verbatimElevation","rights","nomenclaturalStatus","fieldNumber","bibliographicCitation","verbatimTaxonRank","typeStatus","dynamicProperties","organismID","datasetID","accessRights","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Stryphnodendron rotundifolium",1889188930,-12.75,-41.766667,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:56.673+0000","2018-12-03T16:16:30.544+0000",122,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","2018-03-01T00:00:00","SOUTH_AMERICA","Bahia",2018,2,17,"2018-02-17T00:00:00","2018-08-28T19:08:09.000+0000","2018-12-03T16:17:57.961+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000132343","30273","ALCB - Herbário Alexandre Leal Costa","Palmeiras","Vale do Crecado.","pt","ALCB",1889188930,"BRA:UFBA:ALCB:0000132343","Collection","Guedes, ML; Guaré, F; Rocha, E","132343","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas com foliólolos cartáceos, discolores. Inflorescência espiciforme, flores vináceas.","Guedes, ML",NA,NA,NA,"","","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","Palmeiras","Bahia","brazil",3525,"Palmeiras",2923506,-41.55815,-12.545926,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.75,-41.766667,"original coordinates","original coordinates outside municipality original in palmeiras falls in boninal"
"2","Stryphnodendron rotundifolium",1837383700,-7.342389,-39.470639,"gass84","aed35888-68cb-4574-8a98-d13b89cf0f38","5b30feaf-824b-4cb9-b256-293a106f45bc","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:23.833+0000","2018-09-24T19:23:45.310+0000",137,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","2017-01-01T00:00:00","","Ceará",2017,3,23,"2017-03-23T00:00:00","2018-08-16T12:50:11.000+0000","2018-12-08T03:39:43.104+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCDAL - Herbário Caririense Dárdano de Andrade-Lima","BRA:URCA:HCDAL:0000012835","43","HCDAL - Herbário Caririense Dárdano de Andrade-Lima","Crato","Sitio Venha Ver, Chapada do Araripe, Estrada do Belmonte.","pt","HCDAL",1837383700,"BRA:URCA:HCDAL:0000012835","Collection","Campos, N. .B.","12835","Universidade Regional do Cariri (URCA)","Universidade Regional do Cariri (URCA)","Arbusto ca.3m; inflorescência.","Morais-Mendonça, A C A",919,0,NA,"","","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","Crato","Ceará","brazil",4489,"Crato",2304202,-39.490026,-7.232947,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-7.342389,-39.470639,"original coordinates","original coordinates OK"
"3","Stryphnodendron rotundifolium",1944854834,-22.216666,-47.883333,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:45.216+0000","2018-11-23T18:21:45.269+0000",123,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","none","","São Paulo",2017,7,13,"2017-07-13T00:00:00","","2018-11-23T18:23:03.725+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000105321","3157","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","ITIRAPINA","Estação Ecológica Itirapina.","pt","CEN",1944854834,"BRA:Cenargen:CEN:0000105321","Collection","Marcelo Fragomeni Simon","105321","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Arbusto bastante ramificado, 2 m. Frutos maduros vináceos. Colonizando manchas de solo exposto. Frequente no local.","M. Simon",720,0,1,"Unicata","","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","ITIRAPINA","São Paulo","brazil",1605,"Itirapina",3523602,-47.834087,-22.294732,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-22.216666,-47.883333,"original coordinates","original coordinates OK"
"4","Stryphnodendron rotundifolium",1638350237,-15.720111,-48.944744,"gass84","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:08.492+0000","2018-09-10T18:28:52.309+0000",135,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","none","SOUTH_AMERICA","Goiás",2017,7,4,"2017-07-04T00:00:00","2018-08-17T14:53:03.000+0000","2018-12-06T03:12:54.485+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000032809","1521","HEPH - Herbário Ezechias Paulo Heringer","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji, Estrada para a Cidade de Pedra, nascentes 7 e 8, ca. 2,4km da sede do mosteiro","pt","HEPH",1638350237,"BRA:JBB:HEPH:0000032809","Collection","Chacon, RG; Soares, ACA; Oliveira, JA de; Tinti, BV","32809","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Nome comum: barbatimão; Árvore de 4m, frutos verdes imaturos, pilosidade marrom; Mata de galeria","Maroccolo, JF",1130,0,NA,"","","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","Pirenópolis","Goiás","brazil",3099,"Pirenópolis",5217302,-49.011284,-15.808451,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.720111,-48.944744,"original coordinates","original coordinates OK"
"5","Stryphnodendron rotundifolium",1852374276,-8.960278,-58.544167,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:26.257+0000","2018-09-24T19:59:07.390+0000",207,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","none","","Mato Grosso",2017,10,20,"2017-10-20T00:00:00","2018-06-25T13:23:54.079+0000","2018-12-09T17:12:36.932+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1391663","2744","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Nova Bandeirantes","Parque Nacional do Juruena, Unidade amostral UA1_Saruê (Ponto amostral leste). Parque Nacional do Juruena","","RB",1852374276,"urn:catalog:JBRJ:RB:1391663","PhysicalObject","Castro, W.; Oliveira, E.C.; Cunha-Neto, J.P.; Obermuller, F.A.; Silva, L.S.","RB01391663","JBRJ","","Árvore 25 m, Placa:#104. Estéril","M.P. Morim",NA,NA,NA,"","RB 769095","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","Nova Bandeirantes","Mato Grosso","brazil",3947,"Nova Bandeirantes",5106158,-58.076948,-9.768186,"MATO GROSSO","MT","Mato Grosso",-55.91290105,-12.94917881,"Mato Grosso","mt",-8.960278,-58.544167,"original coordinates","original coordinates OK"
"6","Stryphnodendron rotundifolium",1829084819,-20.50375,-54.589056,"gass84","ec20771d-5c61-409f-825c-3eea4118c437","658207e3-b01f-4007-b14d-64b13022cd5a","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-27T09:39:31.889+0000","2018-03-06T11:58:27.703+0000",126,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","2014-12-13T00:00:00","","Mato Grosso do Sul",2017,12,13,"2017-12-13T00:00:00","","2018-07-07T03:37:37.939+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul","BRA:UFMS:CGMS:0000066328","700","CGMS - Herbário da Fundação Universidade Federal de Mato Grosso do Sul","Campo Grande","Bairro Rita Vieira, Rua Maria Andrade Ribeiro, próximo ao número 132, Bairro residencial.","pt","CGMS",1829084819,"BRA:UFMS:CGMS:0000066328","Collection","F. Macedo Alves","66328","Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","HABITAT:Área de Cerrado degradado em processo de restauração.; HABITO:Árvore, 5m de altura.;FLOR:Flor branco-amareladas;FRUTO:Fruto tipo legume verde com marrom.;","F. Macedo Alves",600,0,NA,"","","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","Campo Grande","Mato Grosso do Sul","brazil",2106,"Campo Grande",5002704,-54.24991,-20.912651,"MATO GROSSO DO SUL","MS","Mato Grosso do Sul",-54.84600034,-20.32777902,"Mato Grosso do Sul","ms",-20.50375,-54.589056,"original coordinates","original coordinates OK"
"7","Stryphnodendron rotundifolium",1423904420,-7.601111,-45.212222,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:34:46.296+0000","2018-09-24T19:57:50.891+0000",207,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","none","","Piauí",2016,2,2,"2016-02-02T00:00:00","2017-10-08T18:34:43.463+0000","2018-12-06T16:55:22.167+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1099237","1511","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Ribeiro Gonçalves","BR-324, coordenadas do indivíduo (WGS84). Savana arborizada.","","RB",1423904420,"urn:catalog:JBRJ:RB:1099237","PhysicalObject","L.J.T. Cardoso; P. Farag, O. Samor & M. D´Orey","RB01099237","JBRJ","","Árvore, aprox. 3m de alt., ritidoma desprendendo em pequenas placas quadradas. Flores creme-amareladas","",370,NA,NA,"","RB 643988","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","Ribeiro Gonçalves","Piauí","brazil",4274,"Ribeiro Gonçalves",2208908,-45.345769,-7.97398,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,"Piauí","pi",-7.601111,-45.212222,"original coordinates","original coordinates OK"
"8","Stryphnodendron rotundifolium",1571775790,-7.601111,-45.212222,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:02.492+0000","2018-11-14T17:20:02.504+0000",124,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","none","","Piaui",2016,2,2,"2016-02-02T00:00:00","2018-11-09T19:14:39.000+0000","2018-12-08T17:23:30.932+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000231227","1511","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Ribeiro Gonçalves","BR-324, coordenadas do indivíduo (WGS84).Savana araborizada.","pt","HUEFS",1571775790,"BRA:UEFS:HUEFS:0000231227","Collection","Cardoso, L.J.T.","231227","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","",370,0,NA,"","","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","Ribeiro Gonçalves","Piaui","brazil",4274,"Ribeiro Gonçalves",2208908,-45.345769,-7.97398,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,"Piauí","pi",-7.601111,-45.212222,"original coordinates","original coordinates OK"
"9","Stryphnodendron rotundifolium",1423936053,-18.290833,-43.758333,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:46.209+0000","2018-09-24T19:58:06.623+0000",207,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","2016-03-21T00:00:00","","Minas Gerais",2016,3,21,"2016-03-21T00:00:00","2017-10-08T22:27:35.939+0000","2018-12-06T16:55:40.168+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1190009","2103","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Diamantina","Estrada para Conselheiro Mata.","","RB",1423936053,"urn:catalog:JBRJ:RB:1190009","PhysicalObject","Neves, D.M.; Bittencourt, P.","RB01190009","JBRJ","","Arvore 3m, foliolos papiraceos, frutos imaturos verde-acastanhados.","Neves, D.M.",1192,NA,NA,"","RB 665364","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","Diamantina","Minas Gerais","brazil",2798,"Diamantina",3121605,-43.610232,-17.993337,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.290833,-43.758333,"original coordinates","original coordinates OK"
"10","Stryphnodendron rotundifolium",1931781441,-18.836944,-47.873333,"gass84","09010edb-5e55-4dc0-8a97-a26a3bb89e85","9610290b-e0ea-439b-b726-ba11bcecfb86","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:29.379+0000","2018-10-25T12:33:51.152+0000",122,"none","PRESERVED_SPECIMEN",2951724,6,7707728,220,1370,5386,2951701,2951724,2951724,"Stryphnodendron rotundifolium Mart.","Stryphnodendron rotundifolium Mart.","Plantae","Tracheophyta","Fabales","Fabaceae","Stryphnodendron","Stryphnodendron rotundifolium","Stryphnodendron","rotundifolium","SPECIES","ACCEPTED","none","","Minas Gerais",2016,11,NA,"2016-11-01T00:00:00","2018-10-24T15:01:33.000+0000","2018-12-07T06:15:05.545+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFU - Herbarium Uberlandense","BRA:UFU:HUFU:0000074783","25","HUFU - Herbarium Uberlandense","Estrela do Sul","Fazenda Duratex Florestal, Parcela 22.","pt","HUFU",1931781441,"BRA:UFU:HUFU:0000074783","Collection","Costa, A.C.; Souza, H.C.P.; Pereira, M.L.; Dias, A.G.; Medeiros, L.N.; Justino, G.S.; et al.","74783","UFU","Universidade Federal de Uberlândia (UFU)","Planta 637, ca. 1,9m alt. Flores recompostas e discolores.; Área de cerrado em regeneração.","",982,0,NA,"","","","","",NA,"","","",NA,"","","","","","",NA,NA,"","","","","","","","","","","","","",NA,"","","","Estrela do Sul","Minas Gerais","brazil",2683,"Estrela do Sul",3124807,-47.726498,-18.715459,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.836944,-47.873333,"original coordinates","original coordinates outside municipality original in estrela do sul falls in indianopolis"
