"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","continent","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","otherCatalogNumbers","individualCount","nomenclaturalStatus","nomenclaturalCode","county","taxonID","bibliographicCitation","collectionID","preparations","coordinateUncertaintyInMeters","references","habitat","institutionID","identificationRemarks","verbatimEventDate","georeferenceProtocol","endDayOfYear","startDayOfYear","georeferenceSources","higherGeography","organismID","datasetID","accessRights","higherClassification","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Senna cearensis",1848112156,-5.182931,-40.847461,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:35.024+0000","2018-09-24T19:20:47.066+0000",128,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2017-05-11T00:00:00",552,0,"SOUTH_AMERICA","Ceará",2017,3,9,"2017-03-09T00:00:00","2018-08-13T19:43:02.000+0000","2018-12-08T15:07:36.622+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000060529","149","EAC - Herbário Prisco Bezerra","Crateús","Jatobá Medonho.","pt","EAC",1848112156,"BRA:UFC:EAC:0000060529","Collection","Meneses, H.M.","60529","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Meliponicultura: reintrodução de abelhas nativas sem ferrão em área de recuperação ambiental da Reserva Natural Serra das Almas.; Arbustiva, flor amarela.","Lima-Verde, L.W.","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Crateús","Ceará","brazil",5040,"Crateús",2304103,-40.719795,-5.197497,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-5.182931,-40.847461,"original coordinates","original coordinates OK"
"2","Senna cearensis",1699901739,-5.146667,-40.928333,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:03.354+0000","2018-11-14T17:20:03.363+0000",124,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2017-11-01T00:00:00",684,0,"","Ceará",2017,3,29,"2017-03-29T00:00:00","2018-11-09T19:11:24.000+0000","2018-12-05T23:54:03.989+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000233550","596","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Crateús","Serra das Almas, around plot 1.","pt","HUEFS",1699901739,"BRA:UEFS:HUEFS:0000233550","Collection","Moonlight, P.W.","233550","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Dry forest with canopy of 5-10m. Dense shrub layer (mostly Croton sp). Sparse herb layer and sparse bromeliad ground cover. Deep clay-sand soil.","D.Cardoso","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Crateús","Ceará","brazil",5040,"Crateús",2304103,-40.719795,-5.197497,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-5.146667,-40.928333,"original coordinates","original coordinates OK"
"3","Senna cearensis",1702645812,-3.237778,-40.941972,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:34.943+0000","2018-09-24T19:20:46.966+0000",128,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2017-06-23T00:00:00",NA,NA,"SOUTH_AMERICA","Ceará",2017,5,18,"2017-05-18T00:00:00","2018-08-13T19:42:06.000+0000","2018-12-08T11:34:37.827+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000060431","25","EAC - Herbário Prisco Bezerra","Senador Sá","","pt","EAC",1702645812,"BRA:UFC:EAC:0000060431","Collection","Silveira, E.R.","60431","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Estudo da variabilidade química e farmacológica de espécies de Senna Mill.; Flor amarela; fruto vagem.","Lima-Verde, L.W.","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Senador Sá","Ceará","brazil",5333,"Senador Sá",2312809,-40.461283,-3.270919,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-3.237778,-40.941972,"original coordinates","original coordinates outside municipality original in senador sa falls in granja"
"4","Senna cearensis",1702645807,-5.253167,-40.919056,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:34.952+0000","2018-09-24T19:20:46.970+0000",128,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2017-06-23T00:00:00",637,0,"SOUTH_AMERICA","Ceará",2017,5,16,"2017-05-16T00:00:00","2018-08-13T19:42:06.000+0000","2018-12-08T11:34:37.811+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000060432","14","EAC - Herbário Prisco Bezerra","Crateús","subida da Serra das Almas.","pt","EAC",1702645807,"BRA:UFC:EAC:0000060432","Collection","Silveira, E.R.","60432","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Estudo da variabilidade química e farmacológica de espécies de Senna Mill.; Flor amarela; fruto vagem.","Lima-Verde, L.W.","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Crateús","Ceará","brazil",5040,"Crateús",2304103,-40.719795,-5.197497,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-5.253167,-40.919056,"original coordinates","original coordinates OK"
"5","Senna cearensis",1702645761,-3.736917,-41.044083,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:34.921+0000","2018-09-24T19:20:46.983+0000",128,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2017-06-23T00:00:00",NA,NA,"SOUTH_AMERICA","Ceará",2017,5,18,"2017-05-18T00:00:00","2018-08-13T19:42:06.000+0000","2018-12-08T11:34:37.808+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000060433","23","EAC - Herbário Prisco Bezerra","Tianguá","estrada Tianguá-Viçosa do Ceará.","pt","EAC",1702645761,"BRA:UFC:EAC:0000060433","Collection","Silveira, E.R.","60433","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Estudo da variabilidade química e farmacológica de espécies de Senna Mill.; Flor amarela; fruto vagem.","Lima-Verde, L.W.","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Tianguá","Ceará","brazil",5266,"Tianguá",2313401,-41.055399,-3.736619,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-3.736917,-41.044083,"original coordinates","original coordinates OK"
"6","Senna cearensis",1913585991,-7.470578,-39.468583,"gass84","aed35888-68cb-4574-8a98-d13b89cf0f38","5b30feaf-824b-4cb9-b256-293a106f45bc","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:23.719+0000","2018-09-24T19:23:45.232+0000",137,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2017-03-10T00:00:00",901,0,"","Pernambuco",2016,6,10,"2016-06-10T00:00:00","2018-08-16T12:50:10.000+0000","2018-12-10T13:35:49.897+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCDAL - Herbário Caririense Dárdano de Andrade-Lima","BRA:URCA:HCDAL:0000012512","HCDAL12512","HCDAL - Herbário Caririense Dárdano de Andrade-Lima","Moreilândia","Serra da Mata Nova, Chapada do Araripe","pt","HCDAL",1913585991,"BRA:URCA:HCDAL:0000012512","Collection","Souza, J F O","12512","Universidade Regional do Cariri (URCA)","Universidade Regional do Cariri (URCA)","Arbustiva ca. 1,2m; flor de cor amarela, pentâmera, dialipetála; folhas compostas, tetrafolioladas, alternas.","Sousa, J F O","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Moreilândia","Pernambuco","brazil",4370,"Moreilândia",2614303,-39.521389,-7.618301,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-7.470578,-39.468583,"original coordinates","original coordinates OK"
"7","Senna cearensis",1089260768,-5.146389,-40.926389,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:32.644+0000","2018-09-24T19:20:45.867+0000",128,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2014-11-19T00:00:00",NA,NA,"SOUTH_AMERICA","Ceará",2014,3,20,"2014-03-20T00:00:00","2018-08-13T19:42:06.000+0000","2018-12-08T04:39:27.524+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000057240","22","EAC - Herbário Prisco Bezerra","Crateús","Serra das Almas.","pt","EAC",1089260768,"BRA:UFC:EAC:0000057240","Collection","Teixeira, D.","57240","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Arbusto; flor amarela.; Carrasco.","Loiola. M.I.B.","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Crateús","Ceará","brazil",5040,"Crateús",2304103,-40.719795,-5.197497,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-5.146389,-40.926389,"original coordinates","original coordinates OK"
"8","Senna cearensis",1303206703,-7.383867,-39.354436,"gass84","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:34.437+0000","2018-09-24T19:20:46.761+0000",128,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2014-11-10T00:00:00",929,0,"SOUTH_AMERICA","Ceará",2014,4,27,"2014-04-27T00:00:00","2018-08-13T19:42:06.000+0000","2018-12-07T20:18:42.415+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000059727","15","EAC - Herbário Prisco Bezerra","Barbalha","FLONA do Araripe, proximidades da Casa de Guarda da Santa Rita, ICMBio.","pt","EAC",1303206703,"BRA:UFC:EAC:0000059727","Collection","Mascena, V.M.","59727","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Arbóreo-arbustivo; flor amarela.; Floresta úmida.","Lima-Verde, L.W.","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Barbalha","Ceará","brazil",4437,"Barbalha",2301901,-39.35014,-7.403732,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-7.383867,-39.354436,"original coordinates","original coordinates OK"
"9","Senna cearensis",1094928082,-5.383056,-41.411389,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:54.704+0000","2018-11-14T17:19:54.729+0000",124,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2017-11-01T00:00:00",490,10,"","Piauí",2014,6,27,"2014-06-27T00:00:00","","2018-11-14T17:19:54.783+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000211600","1340","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Castelo do Piauí","Amostragem lateral à estrada de terra que segue para as torres de transmissão.","pt","HUEFS",1094928082,"BRA:UEFS:HUEFS:0000211600","Collection","Nascimento, F.H.F.","211600","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Transição Caatinga-Cerrado.","D.Cardoso","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Castelo do Piauí","Piauí","brazil",5026,"Castelo do Piauí",2202604,-41.572779,-5.31743,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,"Piauí","pi",-5.383056,-41.411389,"original coordinates","original coordinates OK"
"10","Senna cearensis",1094928154,-5.146944,-40.931667,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:54.738+0000","2018-11-14T17:19:54.760+0000",124,"none","PRESERVED_SPECIMEN",3931930,6,7707728,220,1370,5386,2956904,3931930,3931930,"Senna cearensis Afr.Fern.","Senna cearensis Afr.Fern.","Plantae","Tracheophyta","Fabales","Fabaceae","Senna","Senna cearensis","Senna","cearensis","SPECIES","ACCEPTED","2017-11-01T00:00:00",680,5,"","Ceará",2014,6,22,"2014-06-22T00:00:00","","2018-11-14T17:19:54.869+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000211680","1420","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Crateús","RPPN Serra das Almas.","pt","HUEFS",1094928154,"BRA:UEFS:HUEFS:0000211680","Collection","Nascimento, F.H.F.","211680","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","D.Cardoso","",NA,"","","",NA,"","","",NA,"","","","","","",NA,NA,"",NA,NA,NA,NA,NA,"Crateús","Ceará","brazil",5040,"Crateús",2304103,-40.719795,-5.197497,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-5.146944,-40.931667,"original coordinates","original coordinates OK"
