"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","continent","otherCatalogNumbers","fieldNotes","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","individualCount","nomenclaturalStatus","taxonID","bibliographicCitation","habitat","georeferenceSources","rights","higherGeography","higherClassification","coordinateUncertaintyInMeters","waterBody","islandGroup","island","verbatimCoordinateSystem","verbatimLocality","disposition","accessRights","verbatimTaxonRank","establishmentMeans","identificationRemarks","georeferenceProtocol","eventRemarks","associatedOccurrences","georeferencedDate","fieldNumber","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Libidibia ferrea",1848117716,-1.366147,-47.535786,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:12.404+0000","2018-10-25T12:35:44.260+0000",130,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","2018-02-01T00:00:00",9999,0,"Pará",2018,1,26,"2018-01-26T00:00:00","2018-10-16T18:33:05.000+0000","2018-12-08T15:07:39.685+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000007798","31","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","Santa Maria do Pará","Jeju","pt","MFS",1848117716,"BRA:UEPA:MFS:0000007798","Collection","Pereira, J.M.L.","007798","UEPA","Universidade do Estado do Pará (UEPA)","Árvore.&nf;&nf;INFORMAÇÃO BIOCULTURAL DA COMUNIDADE: Uso tópico da bagem para o tratamento de baques.","Cardoso, A","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Santa Maria do Pará","Pará","brazil",5486,"Santa Maria do Pará",1506609,-47.522286,-1.37465,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-1.366147,-47.535786,"original coordinates","original coordinates OK"
"2","Libidibia ferrea",1890638532,-12.198611,-38.968611,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:05.989+0000","2018-11-14T17:20:05.999+0000",124,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","none",210,0,"Bahia",2018,3,14,"2018-03-14T00:00:00","2018-11-09T19:11:04.000+0000","2018-12-08T13:12:38.233+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000242379","82","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Feira de Santana","Campus da Universidade Estadual de Feira de Santana (UEFS).","pt","HUEFS",1890638532,"BRA:UEFS:HUEFS:0000242379","Collection","Silva, G.B.da","242379","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Feira de Santana","Bahia","brazil",3568,"Feira de Santana",2910800,-39.035855,-12.189517,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.198611,-38.968611,"original coordinates","original coordinates OK"
"3","Libidibia ferrea",1889189030,-11.55,-39.266667,"gass84,txmathi","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:56.795+0000","2018-12-03T16:16:30.354+0000",122,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","2018-06-01T00:00:00",NA,NA,"Bahia",2018,4,22,"2018-04-22T00:00:00","2018-08-28T19:06:48.000+0000","2018-12-03T16:17:57.529+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000132523","30453","ALCB - Herbário Alexandre Leal Costa","Conceição do Coité","Caminho para Juazeirinho.","pt","ALCB",1889189030,"BRA:UFBA:ALCB:0000132523","Collection","Guedes, ML; Lopes, RB; Gama, HC","132523","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas com folíolos e cálice pubescentes. Inflorescência com flores amarelas. Frutos legume indeiscente, imaturo.","Guedes, ML","SOUTH_AMERICA","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Conceição do Coité","Bahia","brazil",3665,"Conceição do Coité",2908408,-39.266626,-11.522486,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.55,-39.266667,"original coordinates","original coordinates OK"
"4","Libidibia ferrea",1853943905,-9.357167,-40.424222,"cdround,gass84","b18aa640-0367-4956-a6a4-5f07141127f1","6bfada01-036d-455a-b332-081dbe226a05","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:19.608+0000","2018-07-04T12:05:33.711+0000",121,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","2018-04-12T00:00:00",370,0,"Bahia",2018,4,4,"2018-04-04T00:00:00","","2018-07-07T02:10:24.003+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVASF - Herbário Vale do São Francisco","BRA:UNIVASF:HVASF:0000023526","4095","HVASF - Herbário Vale do São Francisco","Juazeiro","Fazenda Porto da Pedra, propriedade da Agrovale, próximo a bomba do Pivô 18, margem do Rio São Francisco, Parcelas permanentes","pt","HVASF",1853943905,"BRA:UNIVASF:HVASF:0000023526","Collection","J.A. Siqueira Filho","23526","UNIVASF","Universidade Federal do Vale do São Francisco (UNIVASF)","Arvoreta ca. de 8 m atl, de copa larga, flores amarelas em início de frutificação. Ocasional","J.A. Siqueira Filho","SOUTH_AMERICA","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Juazeiro","Bahia","brazil",3989,"Juazeiro",2918407,-40.272812,-9.542468,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-9.357167,-40.424222,"original coordinates","original coordinates OK"
"5","Libidibia ferrea",1936707430,-11.733611,-41.463056,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:06.805+0000","2018-11-14T17:20:06.825+0000",124,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","2017-09-01T00:00:00",724,0,"Bahia",2017,1,26,"2017-01-26T00:00:00","","2018-11-14T17:20:06.863+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000244241","6157","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Cafarnaum","Entre Lapa Cercada e Lapa da Igreja, proximidades do povoado de Cercadinho. Morro com afloramentos de calcário em vertentes, paredões e grandes blocos abatidos.","pt","HUEFS",1936707430,"BRA:UEFS:HUEFS:0000244241","Collection","Melo, P.H.A.","244241","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Caatinga arbóreo-arbustiva e mata ciliar de rio intermitente. Envolto por caatinga alterada, pastagens e áreas agrícolas.","P.H.A.Melo","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Cafarnaum","Bahia","brazil",3634,"Cafarnaum",2905305,-41.482569,-11.737943,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.733611,-41.463056,"original coordinates","original coordinates OK"
"6","Libidibia ferrea",1819185082,-17.376667,-56.490556,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:19.662+0000","2018-09-24T19:59:00.339+0000",207,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","none",NA,NA,"Alagoas",2017,1,6,"2017-01-06T00:00:00","2018-02-09T10:06:18.431+0000","2018-12-10T05:45:52.312+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1380419","s.n.","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Coruripe","Povoado do Poxim. Margem à esquerda do Rio Poxim.","","RB",1819185082,"urn:catalog:JBRJ:RB:1380419","PhysicalObject","I.A.Bayma","RB01380419","JBRJ","","","H.C. Lima","","RB 758411","Mata Atlântica","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Coruripe","Alagoas","brazil",3899,"Coruripe",2702306,-36.229105,-10.082243,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-17.376667,-56.490556,"original coordinates","original coordinates outside municipality original in coruripe falls in corumba"
"7","Libidibia ferrea",1658212326,-9.398361,-40.480278,"cdround,gass84","b18aa640-0367-4956-a6a4-5f07141127f1","6bfada01-036d-455a-b332-081dbe226a05","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:19.544+0000","2018-05-05T12:05:52.882+0000",121,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","2017-08-30T00:00:00",383,0,"Pernambuco",2017,2,17,"2017-02-17T00:00:00","","2018-07-07T10:15:04.525+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HVASF - Herbário Vale do São Francisco","BRA:UNIVASF:HVASF:0000023358","1","HVASF - Herbário Vale do São Francisco","Petrolina","Universidade de Pernambuco (UPE), Campus Petrolina. Por trás dos prédios de laboratórios","pt","HVASF",1658212326,"BRA:UNIVASF:HVASF:0000023358","Collection","F.A. Silva","23358","UNIVASF","Universidade Federal do Vale do São Francisco (UNIVASF)","Árvore, ca. de 3m de alt. Caule lenticelado. Folhas compostas, bipinadas. Flores amarelas.","A.C.C.P. Silva","SOUTH_AMERICA","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Petrolina","Pernambuco","brazil",4089,"Petrolina",2611101,-40.569782,-9.012947,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-9.398361,-40.480278,"original coordinates","original coordinates OK"
"8","Libidibia ferrea",1585967495,-14.35,-42.716667,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:54.876+0000","2018-12-03T16:16:32.483+0000",122,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","2017-04-01T00:00:00",NA,NA,"Bahia",2017,2,3,"2017-02-03T00:00:00","2018-08-28T19:06:48.000+0000","2018-12-07T01:21:40.929+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000127170","25365","ALCB - Herbário Alexandre Leal Costa","Rio de Contas","Chapada Diamantina, Caminho para Arapiraca.","pt","ALCB",1585967495,"BRA:UFBA:ALCB:0000127170","Collection","Guedes, ML; Alunos de Botânica BIO C05","127170","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folíolos cartáceos, discolores. Inflorescência com flores amarelas.","Guedes, ML","SOUTH_AMERICA","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Rio de Contas","Bahia","brazil",3389,"Rio de Contas",2926707,-41.741571,-13.586451,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.35,-42.716667,"original coordinates","original coordinates outside municipality original in rio de contas falls in guanambi"
"9","Libidibia ferrea",1570755728,-13.516667,-42.716667,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:16.168+0000","2018-11-24T12:32:16.199+0000",118,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","2017-04-01T00:00:00",NA,NA,"Bahia",2017,2,3,"2017-02-03T00:00:00","2018-10-30T18:00:21.000+0000","2018-12-08T17:16:19.283+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000022936","25365","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Rio de Contas","Chapada Diamantina. Caminho para Arapi","pt","HCF",1570755728,"BRA:UTFPR:HCF:0000022936","Collection","M.L. Guedes","22936","Universidade Tecnológica Federal do Paraná (UTFPR)","Universidade Tecnológica Federal do Paraná (UTFPR)","árvore. Folíolos cartáceos, discolores. Inflorescências com flores amarelas.","M.L. Guedes","","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Rio de Contas","Bahia","brazil",3389,"Rio de Contas",2926707,-41.741571,-13.586451,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.516667,-42.716667,"original coordinates","original coordinates outside municipality original in rio de contas falls in riacho de santana"
"10","Libidibia ferrea",1848112139,-5.384292,-40.847461,"gass84,txmathi","ca7f81ae-ebf9-43a8-947c-535a87fe5aec","4d653db1-17d5-4565-99a5-d88643e240ce","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:35.011+0000","2018-09-24T19:20:47.065+0000",128,"none","PRESERVED_SPECIMEN",5832783,6,7707728,220,1370,5386,6376506,5832783,5832783,"Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Libidibia ferrea (Mart. ex Tul.) L.P.Queiroz","Plantae","Tracheophyta","Fabales","Fabaceae","Libidibia","Libidibia ferrea","Libidibia","ferrea","SPECIES","ACCEPTED","2017-05-11T00:00:00",377,0,"Ceará",2017,3,8,"2017-03-08T00:00:00","2018-08-13T19:42:55.000+0000","2018-12-08T15:07:36.601+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EAC - Herbário Prisco Bezerra","BRA:UFC:EAC:0000060531","136","EAC - Herbário Prisco Bezerra","Crateús","Santana.","pt","EAC",1848112139,"BRA:UFC:EAC:0000060531","Collection","Meneses, H.M.","60531","Universidade Federal do Ceará, UFC","Universidade Federal do Ceará, UFC","Meliponicultura: reintrodução de abelhas nativas sem ferrão em área de recuperação ambiental da Reserva Natural Serra das Almas.; Arbórea, flor amarela.","Lima-Verde, L.W.","SOUTH_AMERICA","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,NA,NA,NA,"","",NA,NA,"","",NA,"","",NA,"",NA,"","","Crateús","Ceará","brazil",5040,"Crateús",2304103,-40.719795,-5.197497,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-5.384292,-40.847461,"original coordinates","original coordinates OK"
