"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","continent","otherCatalogNumbers","fieldNotes","coordinateUncertaintyInMeters","references","habitat","nomenclaturalCode","institutionID","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","collectionID","georeferenceSources","individualCount","verbatimElevation","nomenclaturalStatus","taxonID","bibliographicCitation","identificationRemarks","georeferenceProtocol","typeStatus","higherGeography","organismID","datasetID","accessRights","higherClassification","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Cnidoscolus bahianus",1699901469,-11.011111,-41.435,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:03.307+0000","2018-09-10T18:27:51.759+0000",124,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","2017-11-01T00:00:00","Bahia",2017,3,5,"2017-03-05T00:00:00","2018-09-06T20:01:29.000+0000","2018-12-05T23:54:03.742+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000233319","366","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Brejões","Mouth of Gruta des Brejões.","pt","HUEFS",1699901469,"BRA:UEFS:HUEFS:0000233319","Collection","Moonlight, P.W.","233319","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Dark, assorted herbs and small shrubs at mouth of cave. Dark Shattered limestone at cave mouth.","D.S.Carneiro-Torres",NA,NA,"","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","Brejões","Bahia","brazil",3449,"Brejões",2904308,-39.857451,-13.075851,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.011111,-41.435,"original coordinates","original coordinates outside municipality original in brejoes falls in sao gabriel"
"2","Cnidoscolus bahianus",1699901644,-7.968056,-38.384167,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:03.301+0000","2018-09-10T18:27:51.838+0000",124,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","2017-11-01T00:00:00","Pernambuco",2017,3,19,"2017-03-19T00:00:00","2018-09-06T20:01:29.000+0000","2018-12-05T23:54:03.911+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000233440","487","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Serra Talhada","3km SW of road from Serra Talhada to Lagoinha. Serra Talhada Supersite. Around permanent plot and flux tower.","pt","HUEFS",1699901644,"BRA:UEFS:HUEFS:0000233440","Collection","Moonlight, P.W.","233440","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Lightly grazed Caatinga, timber not harvested. 3 weeks after first rain. Canopy 4-6m with occasional trees to 10m. Moderately dense shrub layer. Moderately dense layer of herbs and seedlings. Crystaline bedrock ca. 80cm deep. Granite stones of an assorted","D.S.Carneiro-Torres",486,0,"","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","Serra Talhada","Pernambuco","brazil",4262,"Serra Talhada",2613909,-38.369979,-8.035909,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-7.968056,-38.384167,"original coordinates","original coordinates OK"
"3","Cnidoscolus bahianus",1889188653,-14.883333,-41.966667,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:56.161+0000","2018-12-03T16:16:30.351+0000",122,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","2018-04-01T00:00:00","Bahia",2017,12,15,"2017-12-15T00:00:00","2018-08-28T19:03:30.000+0000","2018-12-03T16:17:57.584+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000130330","30183","ALCB - Herbário Alexandre Leal Costa","Condeúba","","pt","ALCB",1889188653,"BRA:UFBA:ALCB:0000130330","Collection","Guedes, ML; Alunos de Botânica BIO C05","130330","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","látex leitoso, pêlos urticantes. Folhas vilosas. Inflorescência com flores alvas.","Guedes, ML",NA,NA,"SOUTH_AMERICA","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","Condeúba","Bahia","brazil",3229,"Condeúba",2908705,-42.050977,-14.921468,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.883333,-41.966667,"original coordinates","original coordinates OK"
"4","Cnidoscolus bahianus",1413715811,-13.625417,-40.355194,"cudc,gass84","d031156d-6ff8-4eb5-b91a-a50861e98be9","3a2b60a6-5c60-413a-8bff-a9740e774c09","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:31:36.022+0000","2018-11-24T12:31:36.111+0000",126,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","none","",2016,6,14,"2016-06-14T00:00:00","2018-11-22T19:51:54.000+0000","2018-12-07T13:11:01.489+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia","BRA:UESB:HUESB:0000012014","90","HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia","","Fazenda Boa Esperança., Mata de Gerais","pt","HUESB",1413715811,"BRA:UESB:HUESB:0000012014","Collection","Morato, K.V.","12014","UESB","Universidade Estadual do Sudoeste da Bahia (UESB)","Arbusto, ca. 3,0 m alt. Flor branca.","",553,0,"","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","","","brazil",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",-13.625417,-40.355194,"original coordinates","original coordinates outside municipality original in  falls in lafaiete coutinho"
"5","Cnidoscolus bahianus",1837395000,-13.638167,-40.336833,"gass84","d031156d-6ff8-4eb5-b91a-a50861e98be9","3a2b60a6-5c60-413a-8bff-a9740e774c09","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:31:36.035+0000","2018-11-24T12:31:36.205+0000",126,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","2016-01-01T00:00:00","Bahia",2016,7,30,"2016-07-30T00:00:00","2018-11-22T19:51:54.000+0000","2018-12-08T03:39:50.240+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia","BRA:UESB:HUESB:0000012229","203","HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia","Lafaiete Coutinho","Fazenda Boa Esperança","pt","HUESB",1837395000,"BRA:UESB:HUESB:0000012229","Collection","Morato, K.V.; Silva, G.S.; Souza, R.S.; Silva, G.S.; Souza, R.S.","12229","UESB","Universidade Estadual do Sudoeste da Bahia (UESB)","Arbusto, ca. 1,8 m alt. Folha verde, coriacea. Flor branca. Fruto verde imaturo, látex.; Mata de gerais","",512,0,"","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","Lafaiete Coutinho","Bahia","brazil",3388,"Lafaiete Coutinho",2918704,-40.273086,-13.627139,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.638167,-40.336833,"original coordinates","original coordinates OK"
"6","Cnidoscolus bahianus",1135951861,-13.5549,-41.0516,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:51:54.635+0000","2018-12-03T16:41:02.404+0000",122,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","2017-03-01T00:00:00","Bahia",2015,2,6,"2015-02-06T00:00:00","2018-11-21T16:25:26.000+0000","2018-12-06T21:48:33.516+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000185893","3883","UEC - Herbário da Universidade Estadual de Campinas","Contendas do Sincorá","FLONA, ramal contrário a grade de entrada para a sede.","pt","UEC",1135951861,"BRA:UNICAMP:UEC:0000185893","Collection","Aona, L.Y.S.; Costa, G.; Marinho, L.","185893","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Flores alvas.","Oliveira, C.C.",348,0,"","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","Contendas do Sincorá","Bahia","brazil",3366,"Contendas do Sincorá",2908804,-41.090527,-13.820247,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.5549,-41.0516,"original coordinates","original coordinates outside municipality original in contendas do sincora falls in barra da estiva"
"7","Cnidoscolus bahianus",1252599089,-9.45,-42.466667,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:53.086+0000","2018-12-03T16:16:18.537+0000",122,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","2015-09-01T00:00:00","Bahia",2015,6,19,"2015-06-19T00:00:00","2018-08-28T19:03:30.000+0000","2018-12-08T15:43:27.903+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000121524","23864","ALCB - Herbário Alexandre Leal Costa","Sobradinho","Baixo Médio São Francisco, Subida para o morro do Serrote.","pt","ALCB",1252599089,"BRA:UFBA:ALCB:0000121524","Collection","Guedes, ML; Alunos de Botânica BIO C05","121524","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","com folhas membranáceas, vilosas. Inflorescência com flores alvas.","Guedes, ML",NA,NA,"SOUTH_AMERICA","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","Sobradinho","Bahia","brazil",3960,"Sobradinho",2930774,-40.886076,-9.684588,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-9.45,-42.466667,"original coordinates","original coordinates outside municipality original in sobradinho falls in dirceu arcoverde"
"8","Cnidoscolus bahianus",1077246006,-10.25,-39.15,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:49.727+0000","2018-12-03T16:16:09.625+0000",122,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","2014-03-01T00:00:00","Bahia",2014,1,12,"2014-01-12T00:00:00","2018-08-28T19:03:30.000+0000","2018-12-06T14:16:40.731+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000113041","21151","ALCB - Herbário Alexandre Leal Costa","Jaguarari","Juacema,à 94 Km da cidade de Juazeiro.","pt","ALCB",1077246006,"BRA:UFBA:ALCB:0000113041","Collection","Guedes, ML; Costa, TF; Alunos de Botânica Econômica","113041","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Árvore de ca 3m de altura, látex leitoso. Folhas cartáceas, discolores. Flores alvas. Frutos imaturos verdes.","Guedes, ML",NA,NA,"SOUTH_AMERICA","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","Jaguarari","Bahia","brazil",3910,"Jaguarari",2917706,-40.089775,-10.039649,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-10.25,-39.15,"original coordinates","original coordinates outside municipality original in jaguarari falls in canudos"
"9","Cnidoscolus bahianus",1094923692,-13.468333,-41.619444,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:52.663+0000","2018-09-10T18:27:37.495+0000",124,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","none","Bahia",2014,4,20,"2014-04-20T00:00:00","","2018-09-10T18:28:04.104+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000207098","12770","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Jussiape","Estrada para Lagoinha, próximo ao povoado.","pt","HUEFS",1094923692,"BRA:UEFS:HUEFS:0000207098","Collection","Melo, E.","207098","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Transição caatinga-cerrado.","",650,0,"","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","Jussiape","Bahia","brazil",3400,"Jussiape",2918605,-41.598193,-13.518373,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.468333,-41.619444,"original coordinates","original coordinates OK"
"10","Cnidoscolus bahianus",1094923665,-13.459167,-41.65,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:52.671+0000","2018-09-10T18:27:37.464+0000",124,"none","PRESERVED_SPECIMEN",3073567,6,7707728,220,1414,4691,3073435,3073567,3073567,"Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Cnidoscolus bahianus (Ule) Pax & K.Hoffm.","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus bahianus","Cnidoscolus","bahianus","SPECIES","ACCEPTED","2018-02-01T00:00:00","Bahia",2014,4,20,"2014-04-20T00:00:00","","2018-09-10T18:28:04.054+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000207051","12723","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Jussiape","Estrada para Lagoinha, próximo ao povoado.","pt","HUEFS",1094923665,"BRA:UEFS:HUEFS:0000207051","Collection","Melo, E.","207051","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Caatinga, área antropizada.","D.S.Carneiro-Torres",862,0,"","","",NA,"","","","","",NA,"","",NA,"","",NA,"","",NA,"","","","","",NA,"","","","Jussiape","Bahia","brazil",3400,"Jussiape",2918605,-41.598193,-13.518373,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.459167,-41.65,"original coordinates","original coordinates OK"
