"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","datasetName","municipality.original","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","recordNumber","locality","elevation","references","created","associatedSequences","taxonID","higherClassification","elevationAccuracy","continent","habitat","verbatimEventDate","otherCatalogNumbers","identificationID","individualCount","nomenclaturalCode","verbatimCoordinateSystem","typeStatus","higherGeography","dynamicProperties","fieldNumber","institutionID","organismID","datasetID","accessRights","collectionID","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Hirtella hebeclada",1837912668,-29.672222,-51.011667,"gass84","fe8c1017-5941-4703-8f81-5023028a32ab","94a9c3b2-d54d-4938-811b-e91e091eeb28","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:51.484+0000","2018-10-11T11:56:24.970+0000",123,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","none","Rio Grande do Sul",2016,2,16,"2016-02-16T00:00:00","2018-09-28T11:51:31.000+0000","2018-12-08T03:44:42.738+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","PACA-AGP - Herbarium Anchieta","BRA:IAP:PACA-AGP:0000117934","PACA-AGP - Herbarium Anchieta","Campo Bom","pt","PACA-AGP",1837912668,"BRA:IAP:PACA-AGP:0000117934","Collection","Lippert, A. P. U.","117934","IAP","Instituto Anchietano de Pesquisas (IAP)","Habitat: interior florestal","Lippert, A. P. U.",NA,"",NA,"","","",NA,"",NA,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","Campo Bom","Rio Grande do Sul","brazil",104,"Campo Bom",4303905,-51.048821,-29.672278,"RIO GRANDE DO SUL","RS","Rio Grande do Sul",-53.24495754,-29.78635099,"Rio Grande do Sul","rs",-29.672222,-51.011667,"original coordinates","original coordinates OK"
"2","Hirtella hebeclada",1135945897,-25.07849,-48.44965,"gass84","cbf8c968-37d6-45be-bf5c-e22914a384dc","a88bec5c-1cbf-47a2-8c3e-6081804d80a5","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:21:43.073+0000","2018-01-05T16:39:51.251+0000",81,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","2013-03-27T00:00:00","São Paulo",2013,3,27,"2013-03-27T00:00:00","2015-08-18T19:24:18.000+0000","2018-12-06T21:48:29.371+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz","BRA:ESALQ:ESA:0ESA128340","ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz","Tapiraí","pt","ESA",1135945897,"BRA:ESALQ:ESA:0ESA128340","Collection","Cabral, F.N.","ESA128340","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","","Ivanauskas, N.M. & Souza, V.C.",811,"Trilha Dezembro entre UHE Alecrim e UHE Porto Raso. Floresta Ombrófila Densa na margem do Rio Dezembro.",NA,"","","",NA,"",NA,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","Tapiraí","São Paulo","brazil",1050,"Tapiraí",3553500,-47.619531,-24.008322,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-25.07849,-48.44965,"original coordinates","original coordinates outside municipality original in tapirai falls in guaraquecaba"
"3","Hirtella hebeclada",1944289396,-24.18,-47.92,"cudc,gass84","ad43e954-dd79-4986-ae34-9ccdbd8bf568","ada9d123-ddb4-467d-8891-806ea8d94230","none","9e4f3516-2b98-4700-a39a-3f109252508c","GB","DWC_ARCHIVE","2018-12-11T20:39:11.572+0000","2018-11-19T17:32:01.364+0000",95,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","none","",2012,6,1,"2012-06-01T00:00:00","2018-10-04T00:00:00.000+0000","2018-11-19T17:37:45.804+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","","MG718676","","","","",1944289396,"MG718676","","R.A.F. Lima",NA,"","","","",NA,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",400,"http://www.ebi.ac.uk/ena/data/view/MG718676","2018-10-04","MG718676",1272972,"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Malpighiales;Chrysobalanaceae;Hirtella",NA,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","","","brazil",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",-24.18,-47.92,"original coordinates","original coordinates outside municipality original in  falls in sete barras"
"4","Hirtella hebeclada",1090698384,-12.495361,-41.565111,"gass84","fdf55163-54d8-4bc7-862d-7e41068589e3","6215eac7-a176-4a7f-9bba-552b3f5ba9a3","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:44.549+0000","2018-06-04T12:04:39.751+0000",126,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","2012-07-01T00:00:00","Bahia",2012,7,14,"2012-07-14T00:00:00","2018-05-23T14:45:38.000+0000","2018-12-08T04:44:15.586+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HRCB - Herbário Rioclarense","BRA:UNESPRC:HRCB:0000058459","HRCB - Herbário Rioclarense","Palmeiras","pt","HRCB",1090698384,"BRA:UNESPRC:HRCB:0000058459","Collection","Lombardi","58459","Universidade Estadual Paulista, UNESP","Universidade Estadual Paulista, UNESP","Prensado em álcool, amostra em sílica. Árvore ca. 6 m, ramos amarelo-dourados, folhas cartáceas, brácteas e ramos das inflorescências arroxeados, hipânto e cálice arroxeados, internamente brancos, est","Biral, L.",9428,"Rodovia BR-242, Conceição de Baixo a Bom Jardim, margem do Rio Preto",667,"","","",NA,"",0,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","Palmeiras","Bahia","brazil",3525,"Palmeiras",2923506,-41.55815,-12.545926,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.495361,-41.565111,"original coordinates","original coordinates OK"
"5","Hirtella hebeclada",1290985081,-16.840278,-39.228889,"gass84","fffdea53-c113-4cdc-896e-a9c5fd726591","1c72778c-05de-4f31-b83a-ff541ce5dff7","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:29.464+0000","2018-09-25T15:15:13.495+0000",81,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","none","Bahia",2010,6,NA,"2010-06-01T00:00:00","2018-08-22T12:16:49.000+0000","2018-12-09T19:41:58.429+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UESC - Herbário Universidade Estadual de Santa Cruz","BRA:UESC:UESC:0000021498","UESC - Herbário Universidade Estadual de Santa Cruz","Ituberá","pt","UESC",1290985081,"BRA:UESC:UESC:0000021498","Collection","Rocha-Santos, L.","21498","UESC","Universidade Estadual de Santa Cruz (UESC)","Trecho bem conservado e outros estágios médios de regeneração.; Árvore de 16cm de DAP e 10m de altura. Presente em área de floresta madura.; (N° T2, 135m, 108)","",NA,"",NA,"","","",NA,"",NA,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","Ituberá","Bahia","brazil",3376,"Ituberá",2917300,-39.147155,-13.750476,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-16.840278,-39.228889,"original coordinates","original coordinates outside municipality original in itubera falls in porto seguro"
"6","Hirtella hebeclada",1123830576,-26.250556,-49.378611,"gass84","9129ec89-afa7-45af-8b73-509f1f8942ab","667644b9-7b93-4892-80c7-c4271735c515","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-10-11T11:55:00.299+0000","2017-12-15T16:34:51.413+0000",129,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","none","Santa Catarina",2009,2,7,"2009-02-07T00:00:00","2017-09-14T14:44:05.000+0000","2018-12-08T12:05:04.399+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBML-Herbario - Herbário Mello Leitão","BRA:MBML:MBML-HERBARIO:0000047857","MBML-Herbario - Herbário Mello Leitão","São Bento do Sul","pt","MBML-HERBARIO",1123830576,"BRA:MBML:MBML-HERBARIO:0000047857","Collection","F.S. Meyer","47857","MBML","Museu de Biologia Professor Mello Leitão, MBML","Arvoreta ca 7m alt., coletada em matinha secundária, na região de floresta ombrófila densa montana. Flores perfumadas, com pétalas brancas e estames com filetes roxos","F.S. Meyer/Fev.-2009",893,"Arredores do Cepa Rugendas-Univille, Rio Natal",NA,"","","",NA,"",NA,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","São Bento do Sul","Santa Catarina","brazil",787,"São Bento do Sul",4215802,-49.34941,-26.295148,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.250556,-49.378611,"original coordinates","original coordinates OK"
"7","Hirtella hebeclada",1086679067,-26.250556,-49.378611,"gass84","a51fa32f-831d-49d6-8b8a-c7b52ae65b3b","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:48.929+0000","2017-12-29T14:11:28.866+0000",125,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","2010-05-01T00:00:00","Santa Catarina",2006,2,2,"2006-02-02T00:00:00","2017-11-30T17:12:11.000+0000","2018-12-06T13:38:54.218+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UPCB - Herbário do Departamento de Botânica","BRA:UFPR:UPCB:0000074575","UPCB - Herbário do Departamento de Botânica","São Bento do Sul","pt","UPCB",1086679067,"BRA:UFPR:UPCB:0000074575","Collection","Meyer, F.S.","74575","UFPR","Universidade Federal do Paraná, UFPR","Arvoreta 5m, coeltada na borda de mata secundária, FOD Montana..","Meyer, F.S.",162,"CEPA Rugendas, arredores, Rio Pilarzinho.",NA,"","","",NA,"",NA,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","São Bento do Sul","Santa Catarina","brazil",787,"São Bento do Sul",4215802,-49.34941,-26.295148,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.250556,-49.378611,"original coordinates","original coordinates OK"
"8","Hirtella hebeclada",1123808724,-20.058611,-40.470639,"gass84","9129ec89-afa7-45af-8b73-509f1f8942ab","667644b9-7b93-4892-80c7-c4271735c515","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-10-11T11:54:37.306+0000","2018-04-13T13:00:37.958+0000",129,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","none","Espírito Santo",2006,2,16,"2006-02-16T00:00:00","2018-03-14T17:29:35.000+0000","2018-12-08T12:04:54.475+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBML-Herbario - Herbário Mello Leitão","BRA:MBML:MBML-HERBARIO:0000026044","MBML-Herbario - Herbário Mello Leitão","Santa Leopoldina","pt","MBML-HERBARIO",1123808724,"BRA:MBML:MBML-HERBARIO:0000026044","Collection","V. Demuner; et al","26044","MBML","Museu de Biologia Professor Mello Leitão, MBML","Árvore 12m, fuste 7m, DAP 30cm, botões florais cálice verde, corola branca, estames vinho. Interior de mata em regeneração.","F.Z. Saiter/26-IV-2013",1866,"Serra do Ramalhete",NA,"","","",NA,"",NA,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","Santa Leopoldina","Espírito Santo","brazil",2380,"Santa Leopoldina",3204500,-40.540501,-20.123027,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-20.058611,-40.470639,"original coordinates","original coordinates OK"
"9","Hirtella hebeclada",1123810868,-19.951667,-40.5625,"gass84","9129ec89-afa7-45af-8b73-509f1f8942ab","667644b9-7b93-4892-80c7-c4271735c515","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-10-11T11:54:39.154+0000","2018-04-13T13:00:38.645+0000",129,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","none","Espírito Santo",2006,2,17,"2006-02-17T00:00:00","2018-03-14T17:29:35.000+0000","2018-12-08T12:04:55.457+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBML-Herbario - Herbário Mello Leitão","BRA:MBML:MBML-HERBARIO:0000028192","MBML-Herbario - Herbário Mello Leitão","Santa Teresa","pt","MBML-HERBARIO",1123810868,"BRA:MBML:MBML-HERBARIO:0000028192","Collection","R. C. Britto","28192","MBML","Museu de Biologia Professor Mello Leitão, MBML","Arvore com 13m de altura, botões verdes, flores com pétalas brancas, sépalas verdes e estames violáceos.","R.Asprino/10-06-2015",33,"Penha, propriedade do Tabajara",NA,"","","",NA,"",NA,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","Santa Teresa","Espírito Santo","brazil",2456,"Santa Teresa",3204609,-40.635175,-19.877577,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.951667,-40.5625,"original coordinates","original coordinates OK"
"10","Hirtella hebeclada",1123811524,-19.353611,-40.516944,"gass84","9129ec89-afa7-45af-8b73-509f1f8942ab","667644b9-7b93-4892-80c7-c4271735c515","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-10-11T11:54:40.063+0000","2017-12-15T16:34:42.036+0000",129,"none","PRESERVED_SPECIMEN",2985134,6,7707728,220,1414,9111,2944960,2985134,2985134,"Hirtella hebeclada Moric.","Hirtella hebeclada Moric.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Hirtella","Hirtella hebeclada","Hirtella","hebeclada","SPECIES","ACCEPTED","none","Espírito Santo",2006,4,19,"2006-04-19T00:00:00","2017-09-14T14:44:05.000+0000","2018-12-08T12:04:55.696+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBML-Herbario - Herbário Mello Leitão","BRA:MBML:MBML-HERBARIO:0000028818","MBML-Herbario - Herbário Mello Leitão","Marilândia","pt","MBML-HERBARIO",1123811524,"BRA:MBML:MBML-HERBARIO:0000028818","Collection","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","28818","MBML","Museu de Biologia Professor Mello Leitão, MBML","Arvoreta 7m de alt. Frutos pretos e flores brancas com estames vináceos. Mata","F.Z. Saiter/26-IV-2013",937,"Alto Liberdade, propr.: Deuclecio Lorenzini.",300,"","","",NA,"",0,"","",NA,"","",NA,"","","","","",NA,NA,NA,"","","","Marilândia","Espírito Santo","brazil",2552,"Marilândia",3203353,-40.516813,-19.436738,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.353611,-40.516944,"original coordinates","original coordinates OK"
