"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","otherCatalogNumbers","fieldNotes","continent","organismQuantity","county","preparations","organismQuantityType","identificationQualifier","individualCount","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","startDayOfYear","collectionID","verbatimElevation","rights","habitat","eventRemarks","verbatimLocality","vernacularName","reproductiveCondition","coordinateUncertaintyInMeters","occurrenceStatus","georeferencedDate","georeferencedBy","georeferenceProtocol","disposition","georeferenceSources","nomenclaturalStatus","taxonID","bibliographicCitation","verbatimCoordinateSystem","establishmentMeans","identificationRemarks","samplingProtocol","coordinatePrecision","eventID","dynamicProperties","higherGeographyID","higherGeography","locationID","accessRights","identificationID","informationWithheld","georeferenceRemarks","previousIdentifications","verbatimTaxonRank","fieldNumber","organismID","datasetID","higherClassification","http...unknown.org.recordId","georeferenceVerificationStatus","http...unknown.org.recordEnteredBy","typeStatus","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Licania tomentosa",1913603783,-3.0488,-60.0895,"gass84","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:24.946+0000","2018-09-25T15:38:01.018+0000",123,"none","PRESERVED_SPECIMEN",2985499,6,7707728,220,1414,9111,2985250,2985499,2985499,"Licania tomentosa Fritsch.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Licania","tomentosa","SPECIES","ACCEPTED","2018-07-16T00:00:00",70,0,"Amazonas",2018,7,16,"2018-07-16T00:00:00","2018-08-17T13:28:39.000+0000","2018-12-10T13:35:59.020+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EFC - Herbário Escola de Florestas Curitiba","BRA:UFPR:EFC:0000016965","496","EFC - Herbário Escola de Florestas Curitiba","Manaus","Ponta Negra","pt","EFC",1913603783,"BRA:UFPR:EFC:0000016965","Collection","Dall Agnol, R.T.","16965","Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR","Árvore, 12 m, flores alvas. Cultivada __COMMOM_NAME__: Oiti","Dall Agnol, R.T.","","","",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","Manaus","Amazonas","brazil",5411,"Manaus",1302603,-60.251153,-2.607107,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-3.0488,-60.0895,"original coordinates","original coordinates OK"
"2","Licania tomentosa",1944983047,-14.785,-39.222778,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:54.687+0000","2018-11-24T12:34:54.704+0000",122,"none","PRESERVED_SPECIMEN",2985499,6,7707728,220,1414,9111,2985250,2985499,2985499,"Licania tomentosa Fritsch.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Licania","tomentosa","SPECIES","ACCEPTED","none",100,0,"Bahia",2017,1,18,"2017-01-18T00:00:00","","2018-11-24T12:36:01.632+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000152844","715","CEPEC - Herbário do Centro de Pesquisas do Cacau","ILHÉUS","CEPLAC, em frente ao restaurante","pt","CEPEC",1944983047,"BRA:CEPLAC:CEPEC:0000152844","Collection","Barbosa-Silva, R.G.","152844","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","","16/6/2017","","",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","ILHÉUS","Bahia","brazil",3250,"Ilhéus",2913606,-39.190761,-14.766458,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.785,-39.222778,"original coordinates","original coordinates OK"
"3","Licania tomentosa",1840912876,-22.237222,-49.111111,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:23.215+0000","2018-09-24T19:59:04.229+0000",207,"none","PRESERVED_SPECIMEN",2985500,6,7707728,220,1414,9111,2985250,2985499,2985499,"Moquilea tomentosa Benth.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Moquilea","tomentosa","SPECIES","SYNONYM","none",NA,NA,"São Paulo",2017,10,4,"2017-10-04T00:00:00","2018-05-03T12:41:51.968+0000","2018-12-08T19:50:29.354+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1386506","991","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Bauru","Próximo ao contorno da Rodovia Marechal Rondon e adjunto ao Recanto Shinohara","","RB",1840912876,"urn:catalog:JBRJ:RB:1386506","PhysicalObject","A.Maruyama; L.G.Cheron e G.T.Valentim","RB01386506","JBRJ","","","A.Maruyama","RB 764087","Cerradão","",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","Bauru","São Paulo","brazil",1614,"Bauru",3506003,-49.126502,-22.254185,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-22.237222,-49.111111,"original coordinates","original coordinates OK"
"4","Licania tomentosa",1701216088,-23.326389,-51.198056,"gass84","78dcee36-b0a2-4679-802d-bc0b5016518b","eec37c7c-2dce-440e-8de1-966214931e74","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:56.365+0000","2018-09-14T17:57:12.356+0000",126,"none","PRESERVED_SPECIMEN",2985499,6,7707728,220,1414,9111,2985250,2985499,2985499,"Licania tomentosa Fritsch.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Licania","tomentosa","SPECIES","ACCEPTED","2017-10-01T00:00:00",9999,0,"Paraná",2017,10,4,"2017-10-04T00:00:00","2018-09-12T15:53:13.000+0000","2018-12-06T00:05:01.240+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FUEL - Herbário da Universidade Estadual de Londrina","BRA:UEL:FUEL:0000055382","4","FUEL - Herbário da Universidade Estadual de Londrina","Londrina","Campus Universitário Perobal","pt","FUEL",1701216088,"BRA:UEL:FUEL:0000055382","Collection","Andreas, IR; et al.","55382","Universidade Estadual de Londrina, UEL","Universidade Estadual de Londrina, UEL","Flores creme-esverdeado. Cultivada","Andreas, I R","","","",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","Londrina","Paraná","brazil",1175,"Londrina",4113700,-51.110175,-23.515282,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-23.326389,-51.198056,"original coordinates","original coordinates OK"
"5","Licania tomentosa",1840923980,-22.237222,-49.111111,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:57:00.745+0000","2018-11-24T08:57:00.750+0000",126,"none","PRESERVED_SPECIMEN",2985500,6,7707728,220,1414,9111,2985250,2985499,2985499,"Moquilea tomentosa Benth.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Moquilea","tomentosa","SPECIES","SYNONYM","2017-10-04T00:00:00",490,0,"São Paulo",2017,10,4,"2017-10-04T00:00:00","2018-11-05T15:53:03.000+0000","2018-12-08T19:50:36.215+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000052593","991","SPSF - Herbário Dom Bento José Pickel","Bauru","Próximo ao contorno da Rodovia Marechal Rondon","pt","SPSF",1840923980,"BRA:IF:SPSF:0000052593","Collection","A. Maruyama & L.G. Cheron & G.T. Valentim","52593","IF","Instituto Florestal, IF","COLETA: Árvore ca. 3,5m de altura. Frutos imaturos.; GEOGRAFIA: Cerradão. Adjunto ao Recanto Shinohara.;","A. Maruyama","","","SOUTH_AMERICA",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","Bauru","São Paulo","brazil",1614,"Bauru",3506003,-49.126502,-22.254185,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-22.237222,-49.111111,"original coordinates","original coordinates OK"
"6","Licania tomentosa",1252591286,-7.29,-38.621944,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:02.161+0000","2018-09-10T18:27:50.072+0000",124,"none","PRESERVED_SPECIMEN",2985499,6,7707728,220,1414,9111,2985250,2985499,2985499,"Licania tomentosa Fritsch.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Licania","tomentosa","SPECIES","ACCEPTED","none",430,0,"Ceará",2015,2,12,"2015-02-12T00:00:00","2018-09-06T20:00:34.000+0000","2018-12-08T15:43:24.070+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000230367","9004","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Mauriti","Sítio Santa Luzia, Jazida catingueira.","pt","HUEFS",1252591286,"BRA:UEFS:HUEFS:0000230367","Collection","Fontana, A.P.","230367","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Áreas de Tensão Ecológica, Neossolo Quartzarênico Órtico","","","","",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","Mauriti","Ceará","brazil",4439,"Mauriti",2308104,-38.713753,-7.398079,"CEARA","CE","Ceará",-39.61556123,-5.09311398,"Ceará","ce",-7.29,-38.621944,"original coordinates","original coordinates OK"
"7","Licania tomentosa",1099615141,-7.224139,-38.231011,"gass84","c9bc6b8d-a4ff-4a47-9cff-d0d1b9e548c7","f4cf14c8-58db-4947-a93c-e43f2b7fe171","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:33:31.738+0000","2018-11-24T12:33:31.743+0000",128,"none","PRESERVED_SPECIMEN",2985499,6,7707728,220,1414,9111,2985250,2985499,2985499,"Licania tomentosa Fritsch.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Licania","tomentosa","SPECIES","ACCEPTED","none",503,0,"Paraíba",2015,4,5,"2015-04-05T00:00:00","2018-11-05T21:13:06.000+0000","2018-12-08T10:13:53.720+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","JPB - Herbário Lauro Pires Xavier","BRA:UFPB:JPB:0000061159","15","JPB - Herbário Lauro Pires Xavier","Aguiar","Serra de Santa Catarina, Área de caatinga arbórea, na margem de um riacho.","pt","JPB",1099615141,"BRA:UFPB:JPB:0000061159","Collection","Bezerra, DMM","61159","UFPB","Universidade Federal da Paraíba, UFPB","Árvore com 10 m de altura, folhas com coloração verde-escuro.; Caatinga.; HABITAT: Caatinga.; DESC: Árvore com 10 m de altura, folhas com coloração verde-escuro.","","","","SOUTH_AMERICA",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","Aguiar","Paraíba","brazil",4546,"Aguiar",2500205,-38.21373,-7.072839,"PARAIBA","PB","Paraíba",-36.83226341,-7.12079672,"Paraíba","pb",-7.224139,-38.231011,"original coordinates","original coordinates outside municipality original in aguiar falls in itaporanga"
"8","Licania tomentosa",1275067727,-22.320556,-43.380278,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:58.864+0000","2018-09-10T18:27:45.596+0000",124,"none","PRESERVED_SPECIMEN",2985499,6,7707728,220,1414,9111,2985250,2985499,2985499,"Licania tomentosa Fritsch.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Licania","tomentosa","SPECIES","ACCEPTED","none",NA,NA,"Rio de Janeiro",2015,10,7,"2015-10-07T00:00:00","","2018-09-10T18:28:12.679+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000221371","654","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Paty do Alferes","Conglomerado 65-3-4-1.","pt","HUEFS",1275067727,"BRA:UEFS:HUEFS:0000221371","Collection","Rigon, L.G.C.","221371","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","","","",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","Paty do Alferes","Rio de Janeiro","brazil",1580,"Paty do Alferes",3303856,-43.405879,-22.36643,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.320556,-43.380278,"original coordinates","original coordinates OK"
"9","Licania tomentosa",1275054419,-10.4354,-37.0955,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:04.239+0000","2018-09-24T19:50:17.444+0000",132,"none","PRESERVED_SPECIMEN",2985499,6,7707728,220,1414,9111,2985250,2985499,2985499,"Licania tomentosa Fritsch.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Licania","tomentosa","SPECIES","ACCEPTED","2016-03-16T00:00:00",NA,NA,"Sergipe",2015,10,23,"2015-10-23T00:00:00","","2018-09-24T19:50:21.185+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000036494","99","ASE - Herbário da Universidade Federal de Sergipe","Maruim","Mata do Caititu","pt","ASE",1275054419,"BRA:UFS:ASE:0000036494","Collection","Andrade, RS; Santos, E; Farias, MCV; Figueiredo, MAM","36494","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore. Ca. de 10 m. Inflorescência com flores cremes. Estames numerosos. Flores passadas marrons.; Mata Atlântica.","Santana-Júnior, JA","","","SOUTH_AMERICA",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","Maruim","Sergipe","brazil",3787,"Maruim",2804003,-37.105475,-10.7304,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.4354,-37.0955,"original coordinates","original coordinates outside municipality original in maruim falls in capela"
"10","Licania tomentosa",1077246682,-12.966667,-38.5,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:50.418+0000","2018-12-03T16:16:10.613+0000",122,"none","PRESERVED_SPECIMEN",2985499,6,7707728,220,1414,9111,2985250,2985499,2985499,"Licania tomentosa Fritsch.","Licania tomentosa Fritsch.","Plantae","Tracheophyta","Malpighiales","Chrysobalanaceae","Licania","Licania tomentosa","Licania","tomentosa","SPECIES","ACCEPTED","2014-05-01T00:00:00",NA,NA,"Bahia",2014,4,8,"2014-04-08T00:00:00","2018-08-28T19:01:42.000+0000","2018-12-06T14:16:41.086+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000113784","s.n","ALCB - Herbário Alexandre Leal Costa","Salvador","Escola Politécnica da Bahia, Rua Professor Aristides Novis, 2 -Federação.","pt","ALCB",1077246682,"BRA:UFBA:ALCB:0000113784","Collection","Cavalcante, L; Jessé, Y","113784","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","de ca 10 m de altura. Folhas cartáceas, com indumento esbranquiçado. Fruto imaturo.","Guedes, ML","","","SOUTH_AMERICA",NA,"","",NA,NA,NA,"","","","",NA,NA,"","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,"","Salvador","Bahia","brazil",3474,"Salvador",2927408,-38.51033,-12.871185,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.966667,-38.5,"original coordinates","original coordinates OK"
