"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","fieldNotes","occurrenceRemarks","individualCount","elevation","continent","waterBody","institutionID","verbatimSRS","verbatimCoordinateSystem","county","materialSampleID","preparations","samplingProtocol","identifiedBy","nomenclaturalStatus","nomenclaturalCode","fieldNumber","taxonID","ownerInstitutionCode","bibliographicCitation","collectionID","elevationAccuracy","language","rights","references","verbatimEventDate","endDayOfYear","startDayOfYear","verbatimElevation","identificationQualifier","organismQuantity","habitat","organismQuantityType","georeferenceSources","higherGeography","organismID","datasetID","accessRights","higherClassification","locationRemarks","eventID","locationID","identificationRemarks","identificationID","verbatimTaxonRank","coordinateUncertaintyInMeters","georeferencedDate","georeferencedBy","georeferenceProtocol","verbatimLocality","occurrenceStatus","disposition","reproductiveCondition","vernacularName","coordinatePrecision","dynamicProperties","eventRemarks","higherGeographyID","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Leretia cordata",1902144330,-10.815,-65.077778,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:29.707+0000","2018-09-24T19:59:09.880+0000",207,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","2017-05-25T00:00:00","Rondônia",2017,5,17,"2017-05-17T00:00:00","2018-09-04T14:57:51.062+0000","2018-12-06T11:56:04.645+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1397412","3","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Guajará-Mirim","Comunidade Nova Esperança. Ramal dos Seringueiros.","RB",1902144330,"urn:catalog:JBRJ:RB:1397412","PhysicalObject","T.K.A. Medeiros","RB01397412","RB 774635","JBRJ","Capoeira, localizada no meio da roça","Planta de pequeno porte cerca de 3,10 metros de altura devido ao cipó que ela forma com folhas verdes e raiz uma batata. RBcarpo 8687",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"","","","",NA,"","","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Guajará-Mirim","Rondônia","brazil",3702,"Guajará-Mirim",1100106,-64.537066,-11.305824,"RONDONIA","RO","Rondônia",-62.84395074,-10.91095782,"Rondônia","ro",-10.815,-65.077778,"original coordinates","original coordinates OK"
"2","Leretia cordata",1424457414,1.803611,-61.000833,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:34.460+0000","2018-09-24T20:03:48.368+0000",207,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","2012-01-01T00:00:00","Roraima",2012,10,6,"2012-10-06T00:00:00","2014-11-24T14:13:45.372+0000","2018-12-06T17:00:35.165+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:796489","1647","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Caracaraí","PARNA do Viruá.. Grade do PPBio. Trilha N01, segmento 500-550 m.","RB",1424457414,"urn:catalog:JBRJ:RB:796489","PhysicalObject","Perdiz, R.O.; A.N. Souza, W.S. Batista & S.S. Souza","RB00796489","RB 581551","JBRJ","","Liana. Folhas verdes discolores. Frutos vermelhos brilhantes com 1 semente. Fotos.",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"Perdiz, R.O.","","","",NA,"","","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Caracaraí","Roraima","brazil",5550,"Caracaraí",1400209,-61.469154,0.989887,"RORAIMA","RR","Roraima",-61.38936422,2.08232311,"Roraima","rr",1.803611,-61.000833,"original coordinates","original coordinates OK"
"3","Leretia cordata",1424451436,-19.236944,-39.944722,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:31.248+0000","2018-09-24T20:03:45.217+0000",207,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","2012-12-12T00:00:00","Espírito Santo",2012,12,12,"2012-12-12T00:00:00","2014-07-08T01:20:45.531+0000","2018-12-06T17:00:32.166+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:785073","842","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Linhares","Reserva Natural Vale. Saindo da porteira da Boleira. Estrada Boleira.","RB",1424451436,"urn:catalog:JBRJ:RB:785073","PhysicalObject","G.S. Siqueira","RB00785073","RB 576916","JBRJ","Mussununga","Trepadeira; lenhoso; flor creme",NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"G.S. Siqueira","","","",NA,"","","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Linhares","Espírito Santo","brazil",2565,"Linhares",3203205,-40.028138,-19.38214,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.236944,-39.944722,"original coordinates","original coordinates OK"
"4","Leretia cordata",1096933699,-19.237167,-39.944889,"gass84","86894738-457d-4d25-89ca-d05231a02d46","c38fb00b-8564-406c-b05b-2720815a0bd0","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:17:36.085+0000","2018-02-15T04:28:53.549+0000",138,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","2012-12-12T00:00:00","Espírito Santo",2012,12,12,"2012-12-12T00:00:00","","2018-07-07T13:13:43.703+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CVRD - Herbário da Reserva Natural Vale","BRA:CVRD:CVRD:0000014309","842","CVRD - Herbário da Reserva Natural Vale","LINHARES","","CVRD",1096933699,"BRA:CVRD:CVRD:0000014309","Collection","Siqueira, G.S.","14309","","Reserva Natural Vale (CVRD)","","Saindo da porteira da Boleira <ll>dwc_commonname:</ll> Cipó batata cearense",NA,48,"SOUTH_AMERICA",NA,"",NA,NA,"",NA,"",NA,"Geovane S. Siqueira","","","",NA,"Reserva Natural Vale (CVRD)","","",0,"pt","","","",NA,NA,"",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","LINHARES","Espírito Santo","brazil",2565,"Linhares",3203205,-40.028138,-19.38214,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.237167,-39.944889,"original coordinates","original coordinates OK"
"5","Leretia cordata",1123824827,-20.311472,-40.493556,"gass84","9129ec89-afa7-45af-8b73-509f1f8942ab","667644b9-7b93-4892-80c7-c4271735c515","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-10-11T11:54:54.762+0000","2017-12-15T16:34:48.325+0000",129,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","none","Espírito Santo",2011,1,22,"2011-01-22T00:00:00","2017-09-14T14:46:07.000+0000","2018-12-08T12:05:01.442+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBML-Herbario - Herbário Mello Leitão","BRA:MBML:MBML-HERBARIO:0000042125","3546","MBML-Herbario - Herbário Mello Leitão","Cariacica","Reserva Biológica de Duas Bocas. Estrada para Alto Alegre e Pau Amarelo, em trecho da estrada com floresta com dois lados. Floresta Ombrófila Densa de encosta.","MBML-HERBARIO",1123824827,"BRA:MBML:MBML-HERBARIO:0000042125","Collection","P. Fiaschi; J.R. Pirani, J.H.L.E. Ottra & V. Augusto","42125","","MBML","","Liana sobre árvore grande, na beira da estrada. Inflorescência verde clara. Botões florais creme",NA,512,"",NA,"",NA,NA,"",NA,"",NA,"P. Fiaschi/Fev.2011","","","",NA,"Museu de Biologia Professor Mello Leitão, MBML","","",0,"pt","","","",NA,NA,"",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Cariacica","Espírito Santo","brazil",2328,"Cariacica",3201308,-40.442031,-20.289217,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-20.311472,-40.493556,"original coordinates","original coordinates OK"
"6","Leretia cordata",1928600986,-20.31147,-40.49356,"elmms,gass84","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","none","17017c2c-036b-45d9-b045-606d21b00771","US","DWC_ARCHIVE","2018-11-18T14:50:41.656+0000","2018-11-18T14:50:41.682+0000",96,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","2011-01-01T00:00:00","EspÃ­rito Santo",2011,1,22,"2011-01-22T00:00:00","","2018-12-08T19:27:22.211+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","The New York Botanical Garden","3ad31a37-b61b-4173-ad37-7e1608cd9c76","3546","Vascular plants","","Reserva BiolÃ³gica de Duas Bocas. Estrada para Alto Alegra e Pau Amarelo, em trecho da estrada com floresta dos dois lados.","NY",1928600986,"3ad31a37-b61b-4173-ad37-7e1608cd9c76","PhysicalObject","P. Fiaschi","1523003","","NY","","",NA,256,"SOUTH_AMERICA",NA,"http://biocol.org/urn:lsid:biocol.org:col:15556",NA,NA,"Cariacica",NA,"sheet",NA,"P. Fiaschi","","ICN","",NA,"","","http://biocol.org/urn:lsid:biocol.org:col:15556",256,"en","","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1788557","22 Jan 2011",22,22,"1680 ft",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","","EspÃ­rito Santo","brazil",NA,"",NA,NA,NA,"","","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-20.31147,-40.49356,"original coordinates","original coordinates outside municipality original in  falls in cariacica"
"7","Leretia cordata",1424308091,-7.745278,-72.556667,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:41:04.818+0000","2018-09-24T20:02:18.953+0000",207,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","none","Amazonas",2009,2,15,"2009-02-15T00:00:00","2017-10-18T10:59:11.778+0000","2018-12-06T16:59:05.005+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:597210","1603","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Ipixuna","Margem do Rio Cróa.","RB",1424308091,"urn:catalog:JBRJ:RB:597210","PhysicalObject","A. Quinet; C. Saraiva, B. Tim e Firmeza","RB00597210","RB 458653","JBRJ","","Trepadeira heliófila, folhas discolores verdes, cartáceas. Frutos imaturos verdes.  Ciófila em Floresta Ombrófila Aberta com palmeiras.",NA,190,"",NA,"",NA,NA,"",NA,"",NA,"Elsie Franklin Guimarães & Davi Machado","","","",NA,"","","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Ipixuna","Amazonas","brazil",4507,"Ipixuna",1301803,-71.41469,-7.18116,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-7.745278,-72.556667,"original coordinates","original coordinates outside municipality original in ipixuna falls in cruzeiro do sul"
"8","Leretia cordata",1424308047,-7.745278,-72.556667,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:41:04.808+0000","2018-09-24T20:02:18.939+0000",207,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","2015-03-18T00:00:00","Amazonas",2009,2,15,"2009-02-15T00:00:00","2017-10-18T10:37:24.677+0000","2018-12-06T16:59:04.905+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:597198","1591","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Ipixuna","Margem do Rio Cróa.","RB",1424308047,"urn:catalog:JBRJ:RB:597198","PhysicalObject","A. Quinet; C. Saraiva, B. Tim e Firmeza","RB00597198","RB 458655","JBRJ","","Trepadeira com folhas discolores verdes, cartáceas. Frutos imaturos verdes. Ciófila na margem do rio.",NA,190,"",NA,"",NA,NA,"",NA,"",NA,"D. Machado","","","",NA,"","","",NA,"","","","",NA,NA,"",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Ipixuna","Amazonas","brazil",4507,"Ipixuna",1301803,-71.41469,-7.18116,"AMAZONAS","AM","Amazonas",-64.65219948,-4.15548242,"Amazonas","am",-7.745278,-72.556667,"original coordinates","original coordinates outside municipality original in ipixuna falls in cruzeiro do sul"
"9","Leretia cordata",1123830386,-18.760722,-40.450222,"gass84","9129ec89-afa7-45af-8b73-509f1f8942ab","667644b9-7b93-4892-80c7-c4271735c515","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-10-11T11:55:00.107+0000","2017-12-15T16:34:51.196+0000",129,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","none","Espírito Santo",2009,11,28,"2009-11-28T00:00:00","2017-09-14T14:46:07.000+0000","2018-12-08T12:05:04.294+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBML-Herbario - Herbário Mello Leitão","BRA:MBML:MBML-HERBARIO:0000047666","2311","MBML-Herbario - Herbário Mello Leitão","Nova Venécia","APA Pedra do Elefante - Fazenda do Sr. Antonio Cesar Cunha - mata ciliar","MBML-HERBARIO",1123830386,"BRA:MBML:MBML-HERBARIO:0000047666","Collection","A. M. Assis; M.D.S. Demuner & R. S. Cribari","47666","","MBML","","Escandente. Frutos verdes",NA,100,"",NA,"",NA,NA,"",NA,"",NA,"A. Assis","","","",NA,"Museu de Biologia Professor Mello Leitão, MBML","","",0,"pt","","","",NA,NA,"",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Nova Venécia","Espírito Santo","brazil",2688,"Nova Venécia",3203908,-40.523444,-18.698823,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.760722,-40.450222,"original coordinates","original coordinates OK"
"10","Leretia cordata",1702650483,-15.202778,-39.408056,"gass84","1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:45.549+0000","2018-09-25T14:05:28.790+0000",126,"none","PRESERVED_SPECIMEN",3597442,6,7707728,220,7223732,2513,3596539,3597442,3597442,"Leretia cordata Vell.","Leretia cordata Vell.","Plantae","Tracheophyta","Icacinales","Icacinaceae","Leretia","Leretia cordata","Leretia","cordata","SPECIES","ACCEPTED","2011-01-01T00:00:00","Bahia",2007,1,21,"2007-01-21T00:00:00","2018-08-21T18:29:44.000+0000","2018-12-08T11:34:40.278+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPF - Herbário da Universidade de São Paulo","BRA:USP:SPF:0000186466","598","SPF - Herbário da Universidade de São Paulo","Arataca","Serra das Lontras","SPF",1702650483,"BRA:USP:SPF:0000186466","Collection","Borges, RAX","186466","","USP","","",NA,1000,"",NA,"",NA,NA,"",NA,"",NA,"Fiaschi, P","","","",NA,"Universidade de São Paulo, USP","","",0,"pt","","","",NA,NA,"",NA,NA,"",NA,"","",NA,"","","",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"","","Arataca","Bahia","brazil",3183,"Arataca",2902252,-39.412334,-15.243448,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.202778,-39.408056,"original coordinates","original coordinates OK"
