"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","elevation","elevationAccuracy","continent","locality","identifiedBy","individualCount","otherCatalogNumbers","fieldNotes","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","collectionID","higherGeography","higherClassification","habitat","identificationRemarks","georeferencedDate","georeferenceProtocol","georeferenceSources","verbatimElevation","coordinateUncertaintyInMeters","fieldNumber","organismID","identificationQualifier","datasetID","accessRights","typeStatus","typifiedName","dynamicProperties","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Coussarea ilheotica",1585194462,-15.25,-39.418056,"gass84","fffdea53-c113-4cdc-896e-a9c5fd726591","1c72778c-05de-4f31-b83a-ff541ce5dff7","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:29.942+0000","2018-09-25T15:15:19.579+0000",81,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","none","Bahia",2015,10,4,"2015-10-04T00:00:00","2018-08-22T12:17:56.000+0000","2018-12-07T01:13:49.644+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UESC - Herbário Universidade Estadual de Santa Cruz","BRA:UESC:UESC:0000023146",71,"UESC - Herbário Universidade Estadual de Santa Cruz","Arataca","pt","UESC",1585194462,"BRA:UESC:UESC:0000023146","Collection","Ronison R. dos Santos,","23146","UESC","Universidade Estadual de Santa Cruz (UESC)","Arbusto 2,0 mt.",NA,NA,"","","",NA,"","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","Arataca","Bahia","brazil",3183,"Arataca",2902252,-39.412334,-15.243448,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.25,-39.418056,"original coordinates","original coordinates OK"
"2","Coussarea ilheotica",1089196747,-8.714236,-35.838967,"gass84","c9bc6b8d-a4ff-4a47-9cff-d0d1b9e548c7","f4cf14c8-58db-4947-a93c-e43f2b7fe171","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:33:31.409+0000","2018-11-24T12:33:31.478+0000",128,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","2014-12-12T00:00:00","Pernambuco",2014,4,2,"2014-04-02T00:00:00","2018-11-05T21:20:06.000+0000","2018-12-08T04:38:56.896+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","JPB - Herbário Lauro Pires Xavier","BRA:UFPB:JPB:0000060646",295,"JPB - Herbário Lauro Pires Xavier","Jaqueira","pt","JPB",1089196747,"BRA:UFPB:JPB:0000060646","Collection","Costa, RMT; Coutinho, AG","60646","UFPB","Universidade Federal da Paraíba, UFPB","Árvore ca. 6m de altura. Diametro 5cm. [PLOT#7#13]; Mata Atlântica submontana.; HABITAT: Mata Atlântica submontana.; DESC: Árvore ca. 6m de altura. Diametro 5cm. [PLOT#7#13]",643,0,"SOUTH_AMERICA","RPPN Frei Caneca, Serra do Urubu","Costa, RMT; Nusbaumer, L",NA,"","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","Jaqueira","Pernambuco","brazil",4139,"Jaqueira",2607950,-35.806933,-8.74261,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-8.714236,-35.838967,"original coordinates","original coordinates OK"
"3","Coussarea ilheotica",1089196792,-8.714236,-35.838967,"gass84","c9bc6b8d-a4ff-4a47-9cff-d0d1b9e548c7","f4cf14c8-58db-4947-a93c-e43f2b7fe171","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:33:31.249+0000","2018-11-24T12:33:31.354+0000",128,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","2014-12-12T00:00:00","Pernambuco",2014,4,2,"2014-04-02T00:00:00","2018-11-05T21:20:05.000+0000","2018-12-08T04:38:56.894+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","JPB - Herbário Lauro Pires Xavier","BRA:UFPB:JPB:0000060633",282,"JPB - Herbário Lauro Pires Xavier","Jaqueira","pt","JPB",1089196792,"BRA:UFPB:JPB:0000060633","Collection","Costa, RMT; Coutinho, AG","60633","UFPB","Universidade Federal da Paraíba, UFPB","Árvore ca. 19m de altura. Diametro 39,1cm. [PLOT#7#11]; Mata Atlântica submontana.; HABITAT: Mata Atlântica submontana.; DESC: Árvore ca. 19m de altura. Diametro 39,1cm. [PLOT#7#11]",643,0,"SOUTH_AMERICA","RPPN Frei Caneca, Serra do Urubu","Costa, RMT; Nusbaumer, L",NA,"","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","Jaqueira","Pernambuco","brazil",4139,"Jaqueira",2607950,-35.806933,-8.74261,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-8.714236,-35.838967,"original coordinates","original coordinates OK"
"4","Coussarea ilheotica",1089196721,-8.714236,-35.838967,"gass84","c9bc6b8d-a4ff-4a47-9cff-d0d1b9e548c7","f4cf14c8-58db-4947-a93c-e43f2b7fe171","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:33:31.263+0000","2018-11-24T12:33:31.371+0000",128,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","2014-12-12T00:00:00","Pernambuco",2014,4,24,"2014-04-24T00:00:00","2018-11-05T21:20:05.000+0000","2018-12-08T04:38:56.852+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","JPB - Herbário Lauro Pires Xavier","BRA:UFPB:JPB:0000060628",277,"JPB - Herbário Lauro Pires Xavier","Jaqueira","pt","JPB",1089196721,"BRA:UFPB:JPB:0000060628","Collection","Costa, RMT; Coutinho, AG","60628","UFPB","Universidade Federal da Paraíba, UFPB","Mata Atlântica submontana.; HABITAT: Mata Atlântica submontana.",0,0,"SOUTH_AMERICA","RPPN Frei Caneca, Serra do Urubu","Costa, RMT; Nusbaumer, L",NA,"","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","Jaqueira","Pernambuco","brazil",4139,"Jaqueira",2607950,-35.806933,-8.74261,"PERNAMBUCO","PE","Pernambuco",-37.99303622,-8.3240949,"Pernambuco","pe",-8.714236,-35.838967,"original coordinates","original coordinates OK"
"5","Coussarea ilheotica",1270103609,-9.400292,-36.732067,"cdround,gass84","1e0f3d99-eb02-4806-b6a4-e903568129ec","b7ea834f-8d60-40ea-ab2c-5057000f0afd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:35.327+0000","2017-12-29T14:35:05.103+0000",123,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","none","Alagoas",2014,12,3,"2014-12-03T00:00:00","","2018-07-07T10:23:32.306+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UFP - Herbário UFP - Geraldo Mariz","BRA:UFPE:UFP:0000080054",4492,"UFP - Herbário UFP - Geraldo Mariz","Quebrangulo","pt","UFP",1270103609,"BRA:UFPE:UFP:0000080054","Collection","Nusbaumer, L.","80054","UFPE","Universidade Federal de Pernambuco, UFPE","Colheita fotografada in situ; amostra seca com ar quente.&nf;indivíduo num. H0881 do relevo hectare H;HABITAT:Mata Atlântica.; DESC:Árvore 13m 15 cm DBH; inflorescência terminal, branca creme, fl. em tubo à 4 divisões pensativa",830,0,"","Reserva Biológica Federal da Pedra Talhada.-Floresta tropical submontana de Planteau.","",0,"","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","Quebrangulo","Alagoas","brazil",4031,"Quebrangulo",2707602,-36.468669,-9.311118,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-9.400292,-36.732067,"original coordinates","original coordinates outside municipality original in quebrangulo falls in estrela de alagoas"
"6","Coussarea ilheotica",1499294803,-18.3825,-40.163056,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:36:58.365+0000","2018-09-24T19:58:40.757+0000",207,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","2017-01-31T00:00:00","Espírito Santo",2013,1,10,"2013-01-10T00:00:00","","2018-12-06T10:28:16.066+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1308716",7013,"RB - Rio de Janeiro Botanical Garden Herbarium Collection","Pinheiros","","RB",1499294803,"urn:catalog:JBRJ:RB:1308716","PhysicalObject","D.A. Folli","RB01308716","JBRJ","","",NA,NA,"","Reserva Biológica Córrego do Veado. Estrada Aceiro esquerda","M. Gomes",NA,"RB 728131","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","Pinheiros","Espírito Santo","brazil",2744,"Pinheiros",3204104,-40.200327,-18.369494,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.3825,-40.163056,"original coordinates","original coordinates OK"
"7","Coussarea ilheotica",1096933764,-18.3825,-40.16325,"gass84","86894738-457d-4d25-89ca-d05231a02d46","c38fb00b-8564-406c-b05b-2720815a0bd0","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:17:36.117+0000","2018-02-15T04:28:53.065+0000",138,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","2017-03-31T00:00:00","Espírito Santo",2013,1,10,"2013-01-10T00:00:00","","2018-07-07T13:10:01.341+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CVRD - Herbário da Reserva Natural Vale","BRA:CVRD:CVRD:0000014355",7013,"CVRD - Herbário da Reserva Natural Vale","PINHEIROS","pt","CVRD",1096933764,"BRA:CVRD:CVRD:0000014355","Collection","Folli, D.A.","14355","Reserva Natural Vale (CVRD)","Reserva Natural Vale (CVRD)","<ll>dwc_commonname:</ll> Cravinho bahiano",120,0,"SOUTH_AMERICA","","Mario Gomes",NA,"","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","PINHEIROS","Espírito Santo","brazil",2744,"Pinheiros",3204104,-40.200327,-18.369494,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.3825,-40.16325,"original coordinates","original coordinates OK"
"8","Coussarea ilheotica",1089193806,-9.236516,-36.435163,"gass84","c9bc6b8d-a4ff-4a47-9cff-d0d1b9e548c7","f4cf14c8-58db-4947-a93c-e43f2b7fe171","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:33:28.600+0000","2018-08-03T12:13:50.386+0000",128,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","2013-09-25T00:00:00","Alagoas",2013,3,19,"2013-03-19T00:00:00","2018-07-26T14:12:02.000+0000","2018-12-08T04:38:55.304+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","JPB - Herbário Lauro Pires Xavier","BRA:UFPB:JPB:0000057637",3787,"JPB - Herbário Lauro Pires Xavier","Quebrangulo","pt","JPB",1089193806,"BRA:UFPB:JPB:0000057637","Collection","Groupo Pedra Talhada","57637","UFPB","Universidade Federal da Paraíba, UFPB","tree, 8 m, 12 cm DBH; apical inflorescence with perpendicular lateral divisions, dark green fruit; on the 1-ha plot sample number H, tree number H367; specimen photgraphed in situ; duplicates dried with hot air; Submontane tropical mo",870,0,"SOUTH_AMERICA","Reserva Biológica da Pedra Talhada, Localité de Quebrangulo.","Nusbaumer, L",NA,"","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","Quebrangulo","Alagoas","brazil",4031,"Quebrangulo",2707602,-36.468669,-9.311118,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-9.236516,-36.435163,"original coordinates","original coordinates OK"
"9","Coussarea ilheotica",1089193780,-9.242127,-36.435533,"gass84","c9bc6b8d-a4ff-4a47-9cff-d0d1b9e548c7","f4cf14c8-58db-4947-a93c-e43f2b7fe171","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:33:28.628+0000","2018-08-03T12:13:50.254+0000",128,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","2013-09-25T00:00:00","Alagoas",2013,3,14,"2013-03-14T00:00:00","2018-07-26T14:12:02.000+0000","2018-12-08T04:38:55.304+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","JPB - Herbário Lauro Pires Xavier","BRA:UFPB:JPB:0000057628",3778,"JPB - Herbário Lauro Pires Xavier","Quebrangulo","pt","JPB",1089193780,"BRA:UFPB:JPB:0000057628","Collection","Groupo Pedra Talhada","57628","UFPB","Universidade Federal da Paraíba, UFPB","tree,16 m, 13 cm DBH; terminal inflorescence; young, light-green fruit, leaves eaten by insects; on the 1-ha plot sample number H, tree number H248; specimen photgraphed in situ; duplicates dried with hot air; Submontane tropical moi",830,0,"SOUTH_AMERICA","Reserva Biológica da Pedra Talhada, Localité de Quebrangulo.","Nusbaumer, L",NA,"","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","Quebrangulo","Alagoas","brazil",4031,"Quebrangulo",2707602,-36.468669,-9.311118,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-9.242127,-36.435533,"original coordinates","original coordinates OK"
"10","Coussarea ilheotica",1324591150,-15.281667,-39.181667,"gass84","fffdea53-c113-4cdc-896e-a9c5fd726591","1c72778c-05de-4f31-b83a-ff541ce5dff7","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:29.646+0000","2018-09-25T15:15:14.762+0000",81,"none","PRESERVED_SPECIMEN",2904812,6,7707728,220,412,8798,2904739,2904812,2904812,"Coussarea ilheotica Müll.Arg.","Coussarea ilheotica Müll.Arg.","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","Coussarea ilheotica","Coussarea","ilheotica","SPECIES","ACCEPTED","2012-01-01T00:00:00","Bahia",2012,4,5,"2012-04-05T00:00:00","2018-08-22T12:17:56.000+0000","2018-12-06T08:55:07.772+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UESC - Herbário Universidade Estadual de Santa Cruz","BRA:UESC:UESC:0000021715",78,"UESC - Herbário Universidade Estadual de Santa Cruz","Una","pt","UESC",1324591150,"BRA:UESC:UESC:0000021715","Collection","E.R. Andrade","21715","UESC","Universidade Estadual de Santa Cruz (UESC)","Arbusto.; (230)",NA,NA,"","","J.G. Jardim",NA,"","","","","","",NA,"","",NA,"","","","",NA,"","","","",NA,NA,NA,"","","","","","","Una","Bahia","brazil",3186,"Una",2932507,-39.154571,-15.224128,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.281667,-39.181667,"original coordinates","original coordinates OK"
