"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","identifiedBy","continent","locality","occurrenceRemarks","elevation","elevationAccuracy","otherCatalogNumbers","individualCount","preparations","fieldNotes","coordinateUncertaintyInMeters","references","nomenclaturalCode","institutionID","verbatimEventDate","georeferenceProtocol","endDayOfYear","county","startDayOfYear","collectionID","georeferenceSources","habitat","georeferencedDate","verbatimElevation","nomenclaturalStatus","taxonID","bibliographicCitation","higherGeography","fieldNumber","organismID","datasetID","accessRights","higherClassification","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Metrodorea stipularis",1914110294,-22.816078,-47.115656,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:52:02.883+0000","2018-12-03T16:41:39.590+0000",122,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","2018-07-04T00:00:00","São Paulo",2018,7,4,"2018-07-04T00:00:00","2018-11-21T16:38:45.000+0000","2018-12-10T13:40:53.786+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000201434","143","UEC - Herbário da Universidade Estadual de Campinas","Campinas","pt","UEC",1914110294,"BRA:UNICAMP:UEC:0000201434","Collection","Pires, T.P.; Duarte, L.S.C.; Lima, G.M.","201434","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Pires, T. .P.","","","",NA,NA,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","Campinas","São Paulo","brazil",1373,"Campinas",3509502,-47.043665,-22.883678,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-22.816078,-47.115656,"original coordinates","original coordinates OK"
"2","Metrodorea stipularis",1098942838,-14.408333,-42.476389,"gass84","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:07.304+0000","2018-09-10T18:28:51.295+0000",135,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","2015-01-21T00:00:00","Bahia",2014,12,13,"2014-12-13T00:00:00","","2018-09-10T18:28:51.426+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000030828","14","HEPH - Herbário Ezechias Paulo Heringer","Caetité","pt","HEPH",1098942838,"BRA:JBB:HEPH:0000030828","Collection","Lagatta, AM; Amorim, RP","30828","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Oliveira, MS","SOUTH_AMERICA","Fazenda Engenho, Indústrias nucleares do Brasil","Árvore; Caatinga sentido restrito, latossolo vermelho",NA,NA,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","Caetité","Bahia","brazil",3351,"Caetité",2905206,-42.492478,-13.971521,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.408333,-42.476389,"original coordinates","original coordinates outside municipality original in caetite falls in licinio de almeida"
"3","Metrodorea stipularis",1913577784,-23.444722,-40.684722,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:57:00.828+0000","2018-11-24T08:57:00.866+0000",126,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","2013-12-13T00:00:00","São Paulo",2013,1,8,"2013-01-08T00:00:00","2018-11-05T15:59:55.000+0000","2018-12-10T13:35:45.490+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000053018","271","SPSF - Herbário Dom Bento José Pickel","São Paulo","pt","SPSF",1913577784,"BRA:IF:SPSF:0000053018","Collection","C. Kameyama et al.","53018","IF","Instituto Florestal, IF","R.J.Almeida-Scabbia","SOUTH_AMERICA","Bairro Vista Alegre","COLETA: Árvore com aprox. 7m de altura. Flores na cor branca, perfumadas. Frutos verdes.; GEOGRAFIA: Floresta perturbada, com Eucalyptus e Jerivás, Piper e Pau-Jacaré. Borda da Mata. Floresta Clube e Eventos.;",748,0,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","São Paulo","São Paulo","brazil",1130,"São Paulo",3550308,-46.647014,-23.64989,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.444722,-40.684722,"original coordinates","original coordinates outside Brazil"
"4","Metrodorea stipularis",1829095135,-23.444444,-46.679722,"gass84","17efa320-7312-4b55-bf0a-a4cfc4613169","2437c128-bf8c-4f53-b668-da95fb2e40b7","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:44.876+0000","2018-09-25T13:57:32.736+0000",120,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","2013-12-13T00:00:00","São Paulo",2013,1,8,"2013-01-08T00:00:00","","2018-09-25T13:57:32.744+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","BRA:IBt:SP:0000488351","271","SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","São Paulo","pt","SP",1829095135,"BRA:IBt:SP:0000488351","Collection","Kameyama, C; Sugiyama, M; Takeuchi, C; Fortes, EP","488351","Instituto de Botânica, IBT","Instituto de Botânica, IBT","Almeida Scabbia, RJ","","Bairro Vista Alegre, Floresta Clube e Eventos.","",748,0,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","São Paulo","São Paulo","brazil",1130,"São Paulo",3550308,-46.647014,-23.64989,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.444444,-46.679722,"original coordinates","original coordinates OK"
"5","Metrodorea stipularis",1944965387,-22.705281,-46.672506,"gass84","1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:56.615+0000","2018-11-24T12:30:56.651+0000",126,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","none","São Paulo",2012,5,25,"2012-05-25T00:00:00","","2018-11-24T12:30:56.783+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPF - Herbário da Universidade de São Paulo","BRA:USP:SPF:0000225977","137","SPF - Herbário da Universidade de São Paulo","Monte Alegre do Sul","pt","SPF",1944965387,"BRA:USP:SPF:0000225977","Collection","Pscheidt, AC","225977","USP","Universidade de São Paulo, USP","Anônimo","","Morro da Antena.","",961,0,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","Monte Alegre do Sul","São Paulo","brazil",1452,"Monte Alegre do Sul",3531209,-46.667604,-22.704203,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-22.705281,-46.672506,"original coordinates","original coordinates OK"
"6","Metrodorea stipularis",1090145022,-21.107253,-44.176417,"gass84","3f6a3304-f66f-4ba8-be57-92a70f3aac3f","3f41d988-faf2-4a9f-811e-8dac728c05d4","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:59.117+0000","2017-12-29T14:12:33.481+0000",140,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","2013-10-01T00:00:00","Minas Gerais",2012,12,11,"2012-12-11T00:00:00","2016-09-19T22:18:58.000+0000","2018-12-08T04:39:53.627+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUFSJ - Herbário da Universidade Federal de São João Del Rei","BRA:UFSJ:HUFSJ:0000004414","15256","HUFSJ - Herbário da Universidade Federal de São João Del Rei","Tiradentes","pt","HUFSJ",1090145022,"BRA:UFSJ:HUFSJ:0000004414","Collection","Sobral, M; et al.","4414","UFSJ","Universidade Federal de São João Del Rei (UFSJ)","Pirani, JR","","Trilha da Mãe d'água.","Árvore 3-4 m; flores creme.",894,0,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","Tiradentes","Minas Gerais","brazil",2024,"Tiradentes",3168804,-44.155269,-21.116918,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.107253,-44.176417,"original coordinates","original coordinates OK"
"7","Metrodorea stipularis",1077302772,-6.118889,-48.417222,"gass84","c3cf0200-8818-40cc-bec3-039aad7625c6","ea79c3f0-78b4-4614-9c17-b991662bd18d","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:22:45.933+0000","2018-11-24T12:22:45.944+0000",125,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","none","Mato Grosso",2011,3,7,"2011-03-07T00:00:00","2018-11-09T19:45:33.000+0000","2018-12-06T14:17:06.263+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CNMT - Herbário Centro Norte Mato Grossense","BRA:UFMT:CNMT:0000000501","4958","CNMT - Herbário Centro Norte Mato Grossense","Cotriguaçu","pt","CNMT",1077302772,"BRA:UFMT:CNMT:0000000501","Collection","Barbosa, L.F.","501","Universidade Federal de Mato Grosso (UFMT)","Universidade Federal de Mato Grosso (UFMT)","","","FazendaSão Nicolau","",NA,NA,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","Cotriguaçu","Mato Grosso","brazil",3992,"Cotriguaçu",5103379,-58.678555,-9.536859,"MATO GROSSO","MT","Mato Grosso",-55.91290105,-12.94917881,"Mato Grosso","mt",-6.118889,-48.417222,"original coordinates","original coordinates outside municipality original in cotriguacu falls in palestina do para"
"8","Metrodorea stipularis",1087183043,-19.348889,-44.123611,"gass84","fd99455d-f6e9-4421-930a-5d8e23ac8895","9ac2b49d-da08-49a7-a7ae-c2a0460fcf96","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:19:48.587+0000","2018-01-05T18:24:12.418+0000",137,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","none","Minas Gerais",2011,4,14,"2011-04-14T00:00:00","2016-05-17T18:58:34.000+0000","2018-12-08T13:03:11.678+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte","BRA:FZB-BH:BHZB:0000008165","267","BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte","Sete Lagoas","pt","BHZB",1087183043,"BRA:FZB-BH:BHZB:0000008165","Collection","Fernandes, F.M. et al","8165","FZB-BH","Fundação Zoo-Botânica de Belo Horizonte (FZB-BH)","","","Próximo a Fazenda Goiabeira","; Habitat: Remanescente de Mata Estacional Semidecídua; Fruto: Fruto na carpoteca nº1256; Bioma: Mata Atlântica",890,0,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","Sete Lagoas","Minas Gerais","brazil",2551,"Sete Lagoas",3167202,-44.253234,-19.437288,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.348889,-44.123611,"original coordinates","original coordinates outside municipality original in sete lagoas falls in funilandia"
"9","Metrodorea stipularis",1087648928,-19.826667,-44.046667,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:38.567+0000","2017-12-29T14:10:11.914+0000",121,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","none","Minas Gerais",2010,2,16,"2010-02-16T00:00:00","2017-03-31T18:05:11.000+0000","2018-12-08T13:05:42.398+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000139020","142","BHCB - Herbário da Universidade Federal de Minas Gerais","Ribeirão das Neves","pt","BHCB",1087648928,"BRA:UFMG:BHCB:0000139020","Collection","Moreira, NC; Moreira, BC","139020","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","SOUTH_AMERICA","Propriedade Irani Barbosa","Arbórea, ca 4m; interior de mata; fruto preto, seco, deiscente",857,0,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","Ribeirão das Neves","Minas Gerais","brazil",2479,"Ribeirão das Neves",3154606,-44.072151,-19.779759,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.826667,-44.046667,"original coordinates","original coordinates OK"
"10","Metrodorea stipularis",1090626595,-20.948889,-45.070833,"gass84","1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:49.117+0000","2018-09-25T14:05:39.813+0000",126,"none","PRESERVED_SPECIMEN",3838004,6,7707728,220,933,2396,7269598,3838004,3838004,"Metrodorea stipularis Mart.","Metrodorea stipularis Mart.","Plantae","Tracheophyta","Sapindales","Rutaceae","Metrodorea","Metrodorea stipularis","Metrodorea","stipularis","SPECIES","ACCEPTED","2014-01-01T00:00:00","Minas Gerais",2010,12,20,"2010-12-20T00:00:00","2018-08-21T18:46:07.000+0000","2018-12-08T04:43:53.695+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPF - Herbário da Universidade de São Paulo","BRA:USP:SPF:0000206569","13712","SPF - Herbário da Universidade de São Paulo","Lagoa Dourada","pt","SPF",1090626595,"BRA:USP:SPF:0000206569","Collection","Sobral, M","206569","USP","Universidade de São Paulo, USP","Pirani, JR","","","",NA,NA,"",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","","","","Lagoa Dourada","Minas Gerais","brazil",2114,"Lagoa Dourada",3137403,-44.07495,-20.892075,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.948889,-45.070833,"original coordinates","original coordinates outside municipality original in lagoa dourada falls in perdoes"
