"","Familia","Nome_cientifico","Categoria","source"
"1","Apocynaceae","Hemipogon abietoides","CR","espi"
"2","Apocynaceae","Hemipogon hatschbachii","CR","espi"
"3","Apocynaceae","Hemipogon piranii","CR","espi"
"4","Apocynaceae","Minaria bifurcata","CR","espi"
"5","Apocynaceae","Minaria diamantinensis","CR","espi"
"6","Apocynaceae","Minaria hemipogonoides","CR","espi"
"7","Aquifoliaceae","Ilex prostrata","CR","espi"
"8","Arecaceae","Syagrus mendanhensis","CR","espi"
"9","Asteraceae","Aspilia eglerii","CR","espi"
"10","Asteraceae","Aspilia jugata","CR","espi"
"11","Asteraceae","Lychnophora humillima","CR","espi"
"12","Asteraceae","Lychnophora souzae","CR","espi"
"13","Asteraceae","Piptolepis leptospermoides","CR","espi"
"14","Asteraceae","Richterago caulescens","CR","espi"
"15","Bromeliaceae","Dyckia ursina","CR","espi"
"16","Bromeliaceae","Encholirium biflorum","CR","espi"
"17","Bromeliaceae","Encholirium pedicellatum","CR","espi"
"18","Bromeliaceae","Encholirium vogelii","CR","espi"
"19","Eriocaulaceae","Actinocephalus cipoensis","CR","espi"
"20","Eriocaulaceae","Eriocaulon cipoense","CR","espi"
"21","Eriocaulaceae","Leiothrix rupestris","CR","espi"
"22","Eriocaulaceae","Paepalanthus ater","CR","espi"
"23","Fabaceae","Chamaecrista lagotois","CR","espi"
"24","Iridaceae","Pseudotrimezia brevistamina","CR","espi"
"25","Iridaceae","Pseudotrimezia gracilis","CR","espi"
"26","Iridaceae","Trimezia fistulosa var. longifolia","CR","espi"
"27","Lamiaceae","Eriope angustifolia","CR","espi"
"28","Loganiaceae","Spigelia cipoensis","CR","espi"
"29","Lythraceae","Diplusodon glaziovii","CR","espi"
"30","Malpighiaceae","Byrsonima fonsecae","CR","espi"
"31","Malpighiaceae","Peixotoa andersonii","CR","espi"
"32","Melastomataceae","Lavoisiera angustifolia","CR","espi"
"33","Melastomataceae","Lavoisiera tetragona","CR","espi"
"34","Orchidaceae","Constantia cipoensis","CR","espi"
"35","Orchidaceae","Grobya cipoensis","CR","espi"
"36","Orchidaceae","Pseudolaelia cipoensis","CR","espi"
"37","Orobanchaceae","Agalinis schwackeana","CR","espi"
"38","Oxalidaceae","Oxalis diamantinae","CR","espi"
"39","Velloziaceae","Barbacenia glutinosa","CR","espi"
"40","Velloziaceae","Barbacenia longiscapa","CR","espi"
"41","Velloziaceae","Barbacenia pungens","CR","espi"
"42","Xyridaceae","Xyris dardanoi","CR","espi"
"43","Xyridaceae","Xyris hystrix","CR","espi"
"44","Xyridaceae","Xyris nigricans","CR","espi"
"45","Xyridaceae","Xyris platystachya","CR","espi"
"46","Xyridaceae","Xyris tortilis","CR","espi"
"47","Apiaceae","Klotzschia rhizophylla","EN","espi-grao"
"48","Apocynaceae","Ditassa cipoensis","EN","espi"
"49","Apocynaceae","Minaria grazielae","EN","espi"
"50","Apocynaceae","Minaria inconspicua","EN","espi"
"51","Apocynaceae","Minaria magisteriana","EN","espi"
"52","Apocynaceae","Minaria polygaloides","EN","espi"
