"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","occurrenceRemarks","identifiedBy","language","ownerInstitutionCode","elevationAccuracy","continent","fieldNotes","individualCount","preparations","identificationQualifier","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","startDayOfYear","collectionID","infraspecificEpithet","coordinateUncertaintyInMeters","habitat","georeferenceProtocol","georeferenceSources","verbatimElevation","higherGeography","higherClassification","organismID","datasetID","accessRights","georeferencedDate","typeStatus","fieldNumber","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Ilex integerrima",1423929643,-22.447778,-42.499444,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:33.541+0000","2018-09-24T19:58:03.296+0000",207,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","2016-01-01T00:00:00",958,"Rio de Janeiro",2016,8,9,"2016-08-09T00:00:00","2017-10-15T11:57:31.635+0000","2018-12-06T16:55:36.495+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1181470","724","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Silva Jardim","Serra dos Pireneus, próximo ao pico do paiá. Trilha que sai da casa do Bengt. APA Macaé de Cima","RB",1423929643,"urn:catalog:JBRJ:RB:1181470","PhysicalObject","C. Baez; Lucas Moraes, Marta Moraes, Raquel Negrão, Thalis Lima, Girso","RB01181470","RB 660855","JBRJ","Terrícola, heliófila. Folhas discolores. Sépalas verdes, pétalas alvo-amareladas.","E. F. Guimarães & Rubens C.","","",NA,"","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Silva Jardim","Rio de Janeiro","brazil",1506,"Silva Jardim",3305604,-42.414048,-22.567613,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.447778,-42.499444,"original coordinates","original coordinates OK"
"2","Ilex integerrima",1455391227,-25.515,-48.983889,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:15.786+0000","2018-11-24T12:32:15.816+0000",118,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","none",NA,"Paraná",2016,11,4,"2016-11-04T00:00:00","2018-10-30T17:58:28.000+0000","2018-12-09T07:19:24.100+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000022539","28","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Piraquara","Morro do Canal","HCF",1455391227,"BRA:UTFPR:HCF:0000022539","Collection","P.A.P. Franzoi","22539","","Universidade Tecnológica Federal do Paraná (UTFPR)","árvore 5 m.","","pt","Universidade Tecnológica Federal do Paraná (UTFPR)",NA,"","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Piraquara","Paraná","brazil",877,"Piraquara",4119509,-49.052069,-25.472754,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.515,-48.983889,"original coordinates","original coordinates OK"
"3","Ilex integerrima",1837394395,-21.9,-41.9117,"gass84","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:24.488+0000","2018-11-24T12:35:24.503+0000",123,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","2015-04-13T00:00:00",1760,"Rio de Janeiro",2015,4,1,"2015-04-01T00:00:00","2018-11-19T18:52:17.000+0000","2018-12-08T03:39:49.679+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EFC - Herbário Escola de Florestas Curitiba","BRA:UFPR:EFC:0000016286","1916","EFC - Herbário Escola de Florestas Curitiba","Santa Maria Madalena","Pico do Desengano","EFC",1837394395,"BRA:UFPR:EFC:0000016286","Collection","Brotto, M.L.","16286","","Universidade Federal do Paraná, UFPR","Arbusto 1,5m, frutos imaturos. Campo de Altitude","Brotto, M.L.","pt","Universidade Federal do Paraná, UFPR",0,"","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Santa Maria Madalena","Rio de Janeiro","brazil",1716,"Santa Maria Madalena",3304607,-41.912957,-21.969462,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-21.9,-41.9117,"original coordinates","original coordinates OK"
"4","Ilex integerrima",1848244085,-24.863797,-48.716642,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:38.784+0000","2018-06-04T19:36:10.685+0000",118,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","2015-12-03T00:00:00",1010,"Paraná",2015,10,26,"2015-10-26T00:00:00","2018-05-10T18:39:33.000+0000","2018-12-08T15:08:31.833+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000401037","2094","MBM - Herbário do Museu Botânico Municipal","Adrianópolis","Parque Estadual das Lauráceas","MBM",1848244085,"BRA:MBM:MBM:0000401037","Collection","Brotto, ML; Barboza, E","401037","","MBM","Árvore com 5m de altura; flores brancas.; Floresta Ombrófila Densa Altomontana.","Brotto, ML","pt","Museu Botânico Municipal de Curitiba, MBM",0,"SOUTH_AMERICA","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Adrianópolis","Paraná","brazil",949,"Adrianópolis",4100202,-48.821252,-24.783093,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-24.863797,-48.716642,"original coordinates","original coordinates OK"
"5","Ilex integerrima",1420315420,-24.863889,-48.716667,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:57:00.247+0000","2018-11-24T08:57:00.359+0000",126,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","2015-12-03T00:00:00",1010,"Paraná",2015,10,26,"2015-10-26T00:00:00","","2018-11-24T08:57:24.271+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000051303","2094","SPSF - Herbário Dom Bento José Pickel","Adrianópolis","Parque estadual das lauráceas","SPSF",1420315420,"BRA:IF:SPSF:0000051303","Collection","M.L. Brotto & E. Barboza","51303","","IF","COLETA: Árvore com 5m de altura; flores brancas.; GEOGRAFIA: Floresta Ombrófila Densa Altomontana;","M.L.Brotto","pt","Instituto Florestal, IF",0,"SOUTH_AMERICA","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Adrianópolis","Paraná","brazil",949,"Adrianópolis",4100202,-48.821252,-24.783093,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-24.863889,-48.716667,"original coordinates","original coordinates OK"
"6","Ilex integerrima",1213678103,-25.573056,-48.726667,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:38.391+0000","2018-06-04T19:36:10.551+0000",118,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","2015-08-24T00:00:00",52,"Paraná",2014,7,23,"2014-07-23T00:00:00","","2018-07-08T01:34:04.765+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000400271","4388","MBM - Herbário do Museu Botânico Municipal","Morretes","Estrada do Cubatão, Morro Alto","MBM",1213678103,"BRA:MBM:MBM:0000400271","Collection","Motta, JT; Barboza, E; Cordeiro, J; Silva, JM","400271","","MBM","Árvore, 10,0m; frutos maduros vinosos e imaturos verdes.; Floresta Ombrófila Densa das Terras Baixas.","Brotto, ML","pt","Museu Botânico Municipal de Curitiba, MBM",0,"SOUTH_AMERICA","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Morretes","Paraná","brazil",872,"Morretes",4116208,-48.855729,-25.518545,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.573056,-48.726667,"original coordinates","original coordinates OK"
"7","Ilex integerrima",1213529077,-25.573056,-48.726667,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:11.449+0000","2018-11-24T12:32:11.508+0000",118,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","2015-08-24T00:00:00",52,"Paraná",2014,7,23,"2014-07-23T00:00:00","","2018-11-24T12:32:22.312+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000018218","4388","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Morretes","Estrada do Cubatão, Morro Alto","HCF",1213529077,"BRA:UTFPR:HCF:0000018218","Collection","J.T. Motta","18218","","Universidade Tecnológica Federal do Paraná (UTFPR)","árvore 10 m; frutos maduros vinosos e imaturos verdes.","M.L. Brotto","pt","Universidade Tecnológica Federal do Paraná (UTFPR)",0,"","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Morretes","Paraná","brazil",872,"Morretes",4116208,-48.855729,-25.518545,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.573056,-48.726667,"original coordinates","original coordinates OK"
"8","Ilex integerrima",1252590149,-25.898333,-48.720556,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:11.928+0000","2018-11-24T12:32:11.953+0000",118,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","2014-08-25T00:00:00",10,"Paraná",2014,8,12,"2014-08-12T00:00:00","2018-10-30T17:58:28.000+0000","2018-12-08T15:43:23.428+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000018895","8605","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Guaratuba","Descoberto, próximo à Baia de Guaratuba","HCF",1252590149,"BRA:UTFPR:HCF:0000018895","Collection","J.M. Silva","18895","","Universidade Tecnológica Federal do Paraná (UTFPR)","árvore de 6 m; frutos maduros pretos. Vegetação secundária.","M.L. Brotto","pt","Universidade Tecnológica Federal do Paraná (UTFPR)",0,"","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Guaratuba","Paraná","brazil",838,"Guaratuba",4109609,-48.768272,-25.817781,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.898333,-48.720556,"original coordinates","original coordinates OK"
"9","Ilex integerrima",1095636216,-25.898333,-48.720556,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:33.535+0000","2018-06-04T19:36:08.258+0000",118,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","2014-08-25T00:00:00",10,"Paraná",2014,8,12,"2014-08-12T00:00:00","","2018-07-07T12:42:22.700+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000391639","8605","MBM - Herbário do Museu Botânico Municipal","Guaratuba","Descoberto, próximo à Baia de Guaratuba","MBM",1095636216,"BRA:MBM:MBM:0000391639","Collection","Silva, JM","391639","","MBM","Árvore de 6m; frutos maduros pretos.; Floresta Ombrófila Densa das Terras Baixas, vegetação secundária.","Brotto, ML","pt","Museu Botânico Municipal de Curitiba, MBM",0,"SOUTH_AMERICA","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Guaratuba","Paraná","brazil",838,"Guaratuba",4109609,-48.768272,-25.817781,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.898333,-48.720556,"original coordinates","original coordinates OK"
"10","Ilex integerrima",1095637561,-25.596111,-48.390833,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:34.410+0000","2018-06-04T19:36:08.852+0000",118,"none","PRESERVED_SPECIMEN",7315839,6,7707728,220,7226638,6716,3169013,7315839,7315839,"Ilex integerrima Reissek","Ilex integerrima Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex integerrima","Ilex","integerrima","SPECIES","ACCEPTED","2014-11-19T00:00:00",6,"Paraná",2014,10,28,"2014-10-28T00:00:00","","2018-07-07T12:42:22.751+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000393245","8658","MBM - Herbário do Museu Botânico Municipal","Pontal do Paraná","Balneário Atami","MBM",1095637561,"BRA:MBM:MBM:0000393245","Collection","Silva, JM; Saridakis, DP","393245","","MBM","Árvore de 4m de altura; flores alvas.; Restinga arbórea.","Brotto, ML","pt","Museu Botânico Municipal de Curitiba, MBM",0,"SOUTH_AMERICA","",NA,"","","","","","",NA,"",NA,"","",NA,"","","",NA,"","",NA,"","","","",NA,"","Pontal do Paraná","Paraná","brazil",861,"Pontal do Paraná",4119954,-48.468702,-25.631955,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.596111,-48.390833,"original coordinates","original coordinates OK"
