"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","continent","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","modified","individualCount","preparations","otherCatalogNumbers","fieldNotes","references","institutionID","county","collectionID","rights","identificationQualifier","nomenclaturalCode","verbatimEventDate","endDayOfYear","startDayOfYear","verbatimElevation","habitat","coordinateUncertaintyInMeters","georeferenceSources","higherGeography","georeferenceProtocol","eventRemarks","higherClassification","nomenclaturalStatus","taxonID","bibliographicCitation","organismQuantity","organismQuantityType","locationRemarks","verbatimTaxonRank","vernacularName","georeferencedDate","acceptedNameUsage","georeferencedBy","georeferenceRemarks","verbatimLocality","previousIdentifications","identificationID","fieldNumber","organismID","datasetID","accessRights","eventID","dynamicProperties","higherGeographyID","locationID","identificationRemarks","infraspecificEpithet","coordinatePrecision","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Emmotum nitens",1835181592,-15.712778,-48.953056,"gass84,iddatunl","fce21d43-c0c7-4d1f-b6d2-fc048f053456","22524448-c309-474f-8f07-d576a021868c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-14T17:00:06.926+0000","2018-09-10T18:28:52.706+0000",140,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","2018-01-01T00:00:00",1076,0,"SOUTH_AMERICA","Goiás",2018,1,15,"2018-01-15T00:00:00","2018-09-10T18:28:52.784+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HEPH - Herbário Ezechias Paulo Heringer","BRA:JBB:HEPH:0000033418","1705","HEPH - Herbário Ezechias Paulo Heringer","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji, Abaixo da pedreira desativada, na nascente do Córrego Chapadão","pt","HEPH",1835181592,"BRA:JBB:HEPH:0000033418","Collection","Chacon, RG; Rivaroli, GV; Tinti, BV","33418","Jardim Botânico de Brasília (JBB)","Jardim Botânico de Brasília (JBB)","Árvore 3m, frutos verdes; Mata de galeria","Chacon, RG","",NA,"","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","Pirenópolis","Goiás","brazil",3099,"Pirenópolis",5217302,-49.011284,-15.808451,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.712778,-48.953056,"original coordinates","original coordinates OK"
"2","Emmotum nitens",1913596387,-12.988422,-55.920275,"gass84","c3cf0200-8818-40cc-bec3-039aad7625c6","ea79c3f0-78b4-4614-9c17-b991662bd18d","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-24T12:23:05.602+0000","2018-12-24T12:23:06.236+0000",129,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","2018-08-20T00:00:00",NA,NA,"","Mato Grosso",2018,8,18,"2018-08-18T00:00:00","2018-12-24T12:23:06.249+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CNMT - Herbário Centro Norte Mato Grossense","BRA:UFMT:CNMT:0000007324","387","CNMT - Herbário Centro Norte Mato Grossense","Lucas do Rio Verde","Distrito IndustrialSenador Atílio Fontana, mata ciliar do Rio Verde.","pt","CNMT",1913596387,"BRA:UFMT:CNMT:0000007324","Collection","Giacoppini, D.R.","7324","Universidade Federal de Mato Grosso (UFMT)","Universidade Federal de Mato Grosso (UFMT)","Folha glaba na fase adaxial, e discolor com pilosidade na fase abaxial, fruto verde imaturo.","Giacoppini, D.R.","2018-11-26T15:47:34.000+0000",NA,"","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","Lucas do Rio Verde","Mato Grosso","brazil",3455,"Lucas do Rio Verde",5105259,-56.166509,-13.038085,"MATO GROSSO","MT","Mato Grosso",-55.91290105,-12.94917881,"Mato Grosso","mt",-12.988422,-55.920275,"original coordinates","original coordinates outside municipality original in lucas do rio verde falls in sorriso"
"3","Emmotum nitens",1500373957,-13.659722,-41.1525,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:54.820+0000","2018-12-03T16:16:22.377+0000",122,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","2017-01-01T00:00:00",NA,NA,"SOUTH_AMERICA","Bahia",2017,1,25,"2017-01-25T00:00:00","2018-12-08T21:27:06.383+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000127116","25312","ALCB - Herbário Alexandre Leal Costa","Mucugê","Tilha da Cachoeira do Tiburtino.","pt","ALCB",1500373957,"BRA:UFBA:ALCB:0000127116","Collection","Guedes, ML; Medeiros, A; et al.","127116","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas coriáceas, discolores, quando jovem com a face abaxial com indumento esbranquiçado e adaxial brilhante. Flores axilares cremes.","Guedes, ML","2018-08-28T19:08:53.000+0000",NA,"","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","Mucugê","Bahia","brazil",3451,"Mucugê",2921906,-41.469352,-13.061639,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.659722,-41.1525,"original coordinates","original coordinates outside municipality original in mucuge falls in barra da estiva"
"4","Emmotum nitens",1699425986,-12,-44,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:55.141+0000","2018-12-03T16:16:31.424+0000",122,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","2017-05-01T00:00:00",NA,NA,"SOUTH_AMERICA","Bahia",2017,2,17,"2017-02-17T00:00:00","2018-12-05T23:49:33.913+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000127839","25520","ALCB - Herbário Alexandre Leal Costa","São Desidério","Roda Velha em Direção a Luis Eduardo Magalhães.","pt","ALCB",1699425986,"BRA:UFBA:ALCB:0000127839","Collection","Guedes, ML; Alunos de Botânica Econômica","127839","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas cartáceas, discolores, face abaxial esbranquiçada. Inflorescência axilar, flores cremes","Guedes, ML","2018-08-28T19:08:53.000+0000",NA,"","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","São Desidério","Bahia","brazil",3489,"São Desidério",2928901,-45.482902,-12.798637,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12,-44,"original coordinates","original coordinates outside municipality original in sao desiderio falls in wanderley"
"5","Emmotum nitens",1585967490,-14.35,-42.716667,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:54.806+0000","2018-12-03T16:16:32.505+0000",122,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","2017-04-01T00:00:00",NA,NA,"SOUTH_AMERICA","Bahia",2017,2,3,"2017-02-03T00:00:00","2018-12-07T01:21:40.926+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000127190","25385","ALCB - Herbário Alexandre Leal Costa","Rio de Contas","Chapada Diamantina, Margem do Rio Água Suja.","pt","ALCB",1585967490,"BRA:UFBA:ALCB:0000127190","Collection","Guedes, ML; Alunos de Botânica BIO C05","127190","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas discolores. Inflorescência axilar, creme. frutos imaturos verdes.","Guedes, ML","2018-08-28T19:08:53.000+0000",NA,"","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","Rio de Contas","Bahia","brazil",3389,"Rio de Contas",2926707,-41.741571,-13.586451,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.35,-42.716667,"original coordinates","original coordinates outside municipality original in rio de contas falls in guanambi"
"6","Emmotum nitens",1500373949,-13.983333,-42.35,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:54.852+0000","2018-12-03T16:16:22.385+0000",122,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","2017-03-01T00:00:00",990,0,"SOUTH_AMERICA","Bahia",2017,2,4,"2017-02-04T00:00:00","2018-12-08T21:27:06.384+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000126913","25448","ALCB - Herbário Alexandre Leal Costa","Rio de Contas","Chapada Diamantina, Cachoeira do Fraga.","pt","ALCB",1500373949,"BRA:UFBA:ALCB:0000126913","Collection","Guedes, ML; Alunos de Sistemática Evolução de Espermatófitas","126913","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas discolores, face abaxial com indumento aureum quando jovem. Inflorescência axilar, flores em botões.","Guedes, ML","2018-08-28T19:08:53.000+0000",NA,"","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","Rio de Contas","Bahia","brazil",3389,"Rio de Contas",2926707,-41.741571,-13.586451,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.983333,-42.35,"original coordinates","original coordinates outside municipality original in rio de contas falls in lagoa real"
"7","Emmotum nitens",1913583419,-15.317777,-42.313611,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-23T18:21:10.331+0000","2018-11-23T18:21:44.005+0000",127,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","none",887,0,"","Minas Gerais",2017,3,15,"2017-03-15T00:00:00","2018-12-10T13:35:48.441+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000103344","6417","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","SANTO ANTÔNIO DO RETIRO","Sítio 10. Ponto 5.","pt","CEN",1913583419,"BRA:Cenargen:CEN:0000103344","Collection","Anderson Cássio Sevilha","103344","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Botão floral. Projeto Bem Diverso.","A. C. Servilha","2018-10-26T13:53:37.000+0000",4,"Exsicatas","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","SANTO ANTÔNIO DO RETIRO","Minas Gerais","brazil",3175,"Santo Antônio do Retiro",3160454,-42.661615,-15.288357,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-15.317777,-42.313611,"original coordinates","original coordinates outside municipality original in santo antonio do retiro falls in vargem grande do rio pardo"
"8","Emmotum nitens",1587329858,-13.65968,-47.47538,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-23T18:21:09.441+0000","2018-11-23T18:21:41.344+0000",127,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","none",1104,0,"","Goiás",2017,3,7,"2017-03-07T00:00:00","2018-11-23T18:22:58.866+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000098349","1153","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","CAVALCANTE","Serra Santana. Estrada GO 241, Minaçu-Cavalcante; 74 km após a sede da reserva (ou cerca de 18 km antes da zona urbana de Cavalcante).","pt","CEN",1587329858,"BRA:Cenargen:CEN:0000098349","Collection","Leonardo Maurici Borges","98349","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Ramos ferrugíneos. Folhas discolores, levemente cartáceas. Flores creme-esverdeadas, ferrugíneas na face abaxial. Anteras creme. Amostra em sílica-gel (CEN e/ou RB). Doação Universidade Federal de São Carlos - Herbário SPSC.","B. M. T. Walter","",1,"Exsicatas","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","CAVALCANTE","Goiás","brazil",3384,"Cavalcante",5205307,-47.696037,-13.635097,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-13.65968,-47.47538,"original coordinates","original coordinates OK"
"9","Emmotum nitens",1702658201,-7.266083,-47.266083,"gass84","d71abe29-0cc7-451c-9eaf-42514a361885","1d7b2ad8-96e2-48e6-b6b1-b589b1025261","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-24T12:23:17.411+0000","2018-12-24T12:23:18.225+0000",132,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","none",NA,NA,"","Maranhão",2017,4,7,"2017-04-07T00:00:00","2018-12-24T12:23:18.526+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SLUI - Herbário Rosa Mochel","BRA:UEMA:SLUI:0000004963","","SLUI - Herbário Rosa Mochel","Município de Carolina","Parque Nacional da Chapada das Mesas","pt","SLUI",1702658201,"BRA:UEMA:SLUI:0000004963","Collection","Raysa V.C. Saraiva","4963","UEMA","Universidade Estadual do Maranhão (UEMA)","","","2018-12-11T18:28:51.000+0000",NA,"","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","Município de Carolina","Maranhão","brazil",NA,"",NA,NA,NA,"","","Maranhão",-45.28117854,-5.05609075,"Maranhão","ma",-7.266083,-47.266083,"original coordinates","original coordinates outside municipality original in municipio de carolina falls in carolina"
"10","Emmotum nitens",1883786052,-8.13643,-49.512,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-23T18:47:18.063+0000","2018-09-24T19:50:19.143+0000",137,"none","PRESERVED_SPECIMEN",7314425,6,7707728,220,7223732,2513,7314422,7314425,7314425,"Emmotum nitens Miers","Emmotum nitens Miers","Plantae","Tracheophyta","Icacinales","Icacinaceae","Emmotum","Emmotum nitens","Emmotum","nitens","SPECIES","ACCEPTED","2017-05-21T00:00:00",NA,NA,"SOUTH_AMERICA","Pará",2017,5,21,"2017-05-21T00:00:00","2018-12-07T12:54:34.384+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000039769","2626","ASE - Herbário da Universidade Federal de Sergipe","Conceição do Araguaia","","pt","ASE",1883786052,"BRA:UFS:ASE:0000039769","Collection","Cardoso, A; Silva, SS; Cordeiro, MN","39769","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore com cerca 6m, crescendo no Cerrado. Frutos verdes; Vereda","Cardoso, A","2018-08-31T18:26:51.000+0000",NA,"","","","","","","","","","","",NA,NA,"","",NA,"","","","","","",NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,"","",NA,"","","","",NA,"","","",NA,"","","Conceição do Araguaia","Pará","brazil",4234,"Conceição do Araguaia",1502707,-49.51322,-8.181173,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-8.13643,-49.512,"original coordinates","original coordinates OK"
