"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nombre"
"1","Capparaceae","Capparidastrum brasilianum (DC.) Hutchinson",NA,NA,"Capparaceae","Capparidastrum brasilianum (DC.) Hutchinson",NA,NA,"not found",NA,"","Capparidastrum brasilianum"
"2","Polygonaceae","Coccoloba ramosissima Wedd.","Coccoloba ramosissima Wedd.",13711,"Polygonaceae","Coccoloba ramosissima Wedd.",13711,NA,"LFB","name ok","","Coccoloba ramosissima"
"3","Fabaceae","Dicorynia ingens Ducke","Dicorynia ingens Ducke",78668,"Fabaceae","Dicorynia paraensis var. ingens (Ducke) Koeppen",83071,NA,"LFB","synonym","","Dicorynia paraensis var. ingens"
"4","Myrtaceae","Marlierea excoriata Mart.","Marlierea excoriata Mart.",10590,"Myrtaceae","Marlierea excoriata Mart.",10590,NA,"LFB","name ok","","Marlierea excoriata"
"5","Myrtaceae","Marlierea neuwiedeana (O.Berg) Nied.",NA,NA,"Myrtaceae","Marlierea neuwiedeana (O.Berg) Nied.",NA,NA,"not found",NA,"","Marlierea neuwiedeana"
"6","Myrtaceae","Marlierea obscura Berg","Marlierea obscura O.Berg",10605,"Myrtaceae","Marlierea obscura O.Berg",10605,NA,"LFB","name ok","","Marlierea obscura"
"7","Myrtaceae","Marlierea obversa C.D.Legrand","Marlierea obversa D.Legrand",10606,"Myrtaceae","Myrcia obversa (D. Legrand) E. Lucas & C. E. Wilson",603019,NA,"LFB","synonym","","Myrcia obversa"
"8","Fabaceae","Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson","Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson",116640,"Fabaceae","Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson",116640,NA,"LFB","name ok","","Pityrocarpa moniliformis"
"9","Fabaceae","Poincianella bracteosa (Tul.) L.P.Queiroz","Poincianella bracteosa (Tul.) L.P.Queiroz",109774,"Fabaceae","Poincianella bracteosa (Tul.) L.P.Queiroz",109774,NA,"LFB","name ok","","Poincianella bracteosa"
"10","Fabaceae","Poincianella gardneriana (Benth.) L.P.Queiroz","Poincianella gardneriana (Benth.) L.P.Queiroz",109775,"Fabaceae","Poincianella gardneriana (Benth.) L.P.Queiroz",109775,NA,"LFB","name ok","","Poincianella gardneriana"
"11","Fabaceae","Poincianella microphylla (Mart. ex G.Don) L.P.Queiroz","Poincianella microphylla (Mart. ex G.Don) L.P.Queiroz",109777,"Fabaceae","Poincianella microphylla (Mart. ex G.Don) L.P.Queiroz",109777,NA,"LFB","name ok","","Poincianella microphylla"
"12","Fabaceae","Poincianella pyramidalis (Tul.) L.P.Queiroz","Poincianella pyramidalis (Tul.) L.P.Queiroz",109818,"Fabaceae","Poincianella pyramidalis (Tul.) L.P.Queiroz",109818,NA,"LFB","name ok","","Poincianella pyramidalis"
"13","Melastomataceae","Tibouchina fissinervia (Schrank & Mart. ex DC.) Cogn.","Tibouchina fissinervia (Schrank & Mart. ex DC.) Cogn.",9909,"Melastomataceae","Pleroma fissinervium Schrank et Mart. ex DC.",603029,NA,"LFB","synonym","","Pleroma fissinervium"
