"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nombre","establishmentMeans","occurrenceRemarks","location","lifeForm","vegetationType","habitat"
"325","Calophyllaceae","Kielmeyera petiolaris Mart. & Zucc.","Kielmeyera petiolaris Mart. & Zucc.",16877,"Calophyllaceae","Kielmeyera petiolaris Mart. & Zucc.",16877,"Pau-santo-PORTUGUES-NA/Pau-de-são-josé-PORTUGUES-NA/Pau-louro-PORTUGUES-NA/Pau-louro-d'anta-PORTUGUES-NA","LFB","name ok","","Kielmeyera petiolaris","NATIVA","Endemica/Cerrado","BR-MG-BR-BA-BR-GO","Árvore","Cerrado (lato sensu)","Terrícola"
"326","Calophyllaceae","Kielmeyera speciosa A.St.-Hil.","Kielmeyera speciosa A.St.-Hil.",28326,"Calophyllaceae","Kielmeyera speciosa A.St.-Hil.",28326,"Folha-santa-PORTUGUES-NA/Malva-do-campo-PORTUGUES-NA","LFB","name ok","","Kielmeyera speciosa","NATIVA","Endemica/Cerrado","BR-MG-BR-GO-BR-DF","Arbusto-Árvore","Cerrado (lato sensu)","Terrícola"
"327","Lacistemataceae","Lacistema pubescens Mart.","Lacistema pubescens Mart.",17846,"Lacistemataceae","Lacistema pubescens Mart.",17846,NA,"LFB","name ok","","Lacistema pubescens","NATIVA","Endemica/Amazônia-Endemica/Cerrado-Endemica/Mata Atlântica","BR-RJ-BR-MG-BR-MA-BR-BA-BR-PA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola"
"328","Salicaceae","Laetia corymbulosa Spruce ex Benth.","Laetia corymbulosa Spruce ex Benth.",87658,"Salicaceae","Laetia corymbulosa Spruce ex Benth.",87658,NA,"LFB","name ok","","Laetia corymbulosa","NATIVA","Não endemica/Amazônia","BR-PA-BR-AP-BR-AM-BR-AC","Árvore","Campinarana-Campo de Várzea-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"329","Cunoniaceae","Lamanonia ternata Vell.","Lamanonia ternata Vell.",7124,"Cunoniaceae","Lamanonia ternata Vell.",7124,NA,"LFB","name ok","","Lamanonia ternata","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-ES-BR-SP-BR-RJ-BR-MG-BR-SC-BR-RS-BR-PR-BR-PE-BR-BA-BR-MT-BR-MS-BR-GO-BR-DF","Arbusto-Árvore","Cerrado (lato sensu)-Floresta Ciliar ou Galeria-Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"330","Melastomataceae","Leandra acutiflora Cogn.","Leandra acutiflora (Naudin) Cogn.",9498,"Melastomataceae","Leandra acutiflora (Naudin) Cogn.",9498,NA,"LFB","name ok","","Leandra acutiflora","NATIVA","Endemica/Cerrado-Endemica/Mata Atlântica","BR-RS-BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-PR","Arbusto-Árvore","Floresta Estacional Semidecidual-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"331","Melastomataceae","Leandra amplexicaulis DC.","Leandra amplexicaulis DC.",9500,"Melastomataceae","Leandra amplexicaulis DC.",9500,"pixirica-PORTUGUES-Sudeste, Sul","LFB","name ok","","Leandra amplexicaulis","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-PR","Arbusto-Árvore","Área Antrópica-Floresta Ciliar ou Galeria-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"332","Melastomataceae","Leandra barbinervis Cogn.","Leandra barbinervis (Cham. ex Triana) Cogn.",9509,"Melastomataceae","Leandra barbinervis (Cham. ex Triana) Cogn.",9509,NA,"LFB","name ok","","Leandra barbinervis","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-SC-BR-PR","Arbusto-Árvore","Campo de Altitude-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"333","Melastomataceae","Leandra clidemioides (Naudin) Wurdack","Leandra clidemioides (Naudin) Wurdack",9519,"Melastomataceae","Leandra clidemioides (Naudin) Wurdack",9519,NA,"LFB","name ok","","Leandra clidemioides","NATIVA","Endemica/Mata Atlântica","BR-SP-BR-RJ-BR-ES-BR-BA","Arbusto-Árvore","Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"334","Melastomataceae","Leandra fragilis Cogn.","Leandra fragilis Cogn.",9542,"Melastomataceae","Leandra melastomoides Raddi",9572,"cambará-do-mato-PORTUGUES-Sudeste/pixirica-PORTUGUES-Sudeste","LFB","synonym","","Leandra melastomoides","NATIVA","Não endemica/Cerrado-Não endemica/Mata Atlântica","BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-PR-BR-PB-BR-BA-BR-GO-BR-DF","Arbusto-Árvore","Área Antrópica-Cerrado (lato sensu)-Floresta Ciliar ou Galeria-Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola"
