"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","continent","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","modified","otherCatalogNumbers","identificationQualifier","fieldNotes","references","created","associatedSequences","taxonID","higherClassification","individualCount","preparations","county","fieldNumber","verbatimLocality","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","startDayOfYear","collectionID","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","habitat","verbatimElevation","datasetID","nomenclaturalStatus","bibliographicCitation","rights","georeferencedDate","higherGeography","organismID","accessRights","infraspecificEpithet","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Mollinedia schottiana",1658213858,-24.015,-46.504167,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:57:00.441+0000","2018-11-24T08:57:00.478+0000",126,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-06-16T00:00:00",10,0,"SOUTH_AMERICA","São Paulo",2017,1,27,"2017-01-27T00:00:00","2018-11-24T08:57:24.668+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000051948","790","SPSF - Herbário Dom Bento José Pickel","Praia Grande","Km 99 da Rodovia 101","pt","SPSF",1658213858,"BRA:IF:SPSF:0000051948","Collection","A. Maruyama & L.Cicco","51948","IF","Instituto Florestal, IF","COLETA: Arbusto. Ca 1,6m alt. Frutos imaturos de coloração verde.; GEOGRAFIA: Floresta da Planície Costeira, Restinga Arbórea próximo ao CDP da Praia Grande, sentido Serra da Leoa, interior.;","A. Maruyama","","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Praia Grande","São Paulo","brazil",1048,"Praia Grande",3541000,-46.521885,-24.014547,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-24.015,-46.504167,"original coordinates","original coordinates OK"
"2","Mollinedia schottiana",1840912790,-24.015,-46.504167,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:23.099+0000","2018-09-24T19:59:04.136+0000",207,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-06-16T00:00:00",NA,NA,"","São Paulo",2017,1,27,"2017-01-27T00:00:00","2018-12-08T19:50:29.253+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1386336","790","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Praia Grande","Próximo ao CDP da Praia Grande sentido Serra da Leoa, km 99 da Rodovia 101. Interior","","RB",1840912790,"urn:catalog:JBRJ:RB:1386336","PhysicalObject","A.Maruyama; L.Cicco","RB01386336","JBRJ","","","A.Maruyama","2018-04-30T16:10:40.897+0000","RB 763924","cf.","Floresta da Planície Costeira. Restinga arbórea","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Praia Grande","São Paulo","brazil",1048,"Praia Grande",3541000,-46.521885,-24.014547,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-24.015,-46.504167,"original coordinates","original coordinates OK"
"3","Mollinedia schottiana",1570750662,-26.920833,-49.091667,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:26.321+0000","2018-10-24T15:38:18.697+0000",121,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-04-14T00:00:00",NA,NA,"","Santa Catarina",2017,2,20,"2017-02-20T00:00:00","2018-12-08T17:16:16.720+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000054181","40","FURB - Herbário Dr. Roberto Miguel Klein","Blumenau","","pt","FURB",1570750662,"BRA:FURB:FURB:0000054181","Collection","Lichtenfelz, F.A.","54181","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Árvore. Fruto verde.","Lichtenfelz, F.A.","2018-10-11T17:23:05.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Blumenau","Santa Catarina","brazil",690,"Blumenau",4202404,-49.097426,-26.884746,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.920833,-49.091667,"original coordinates","original coordinates OK"
"4","Mollinedia schottiana",1829084138,-23.833889,-49.144167,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:57:00.567+0000","2018-11-24T08:57:00.613+0000",126,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-03-30T00:00:00",700,0,"SOUTH_AMERICA","São Paulo",2017,3,30,"2017-03-30T00:00:00","2018-11-24T08:57:25.020+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000052111","24","SPSF - Herbário Dom Bento José Pickel","Itaberá","Estação Ecológica","pt","SPSF",1829084138,"BRA:IF:SPSF:0000052111","Collection","I. Toffoli & N.M.Ivanauskas & R.Esteves & M.C.Assis","52111","IF","Instituto Florestal, IF","COLETA: Arvoreta 2m de altura. Flores em botão.; GEOGRAFIA: Floresta Ombrófila Mista.;","G.A.D.C.Franco","","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Itaberá","São Paulo","brazil",1074,"Itaberá",3521705,-49.143617,-23.874002,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.833889,-49.144167,"original coordinates","original coordinates OK"
"5","Mollinedia schottiana",1848251276,-24.8475,-48.668333,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:42.912+0000","2018-06-04T19:36:12.701+0000",118,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-05-25T00:00:00",830,0,"SOUTH_AMERICA","Paraná",2017,4,19,"2017-04-19T00:00:00","2018-12-08T15:08:35.753+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000409078","4574","MBM - Herbário do Museu Botânico Municipal","Adrianópolis","Parque Estadual das Lauráceas, trilha das cachoeiras","pt","MBM",1848251276,"BRA:MBM:MBM:0000409078","Collection","Barboza, E; Silva, JM; Brotto, ML","409078","MBM","Museu Botânico Municipal de Curitiba, MBM","Arvoreta com 4 m de altura; frutos verdes.; Floresta Ombrófila Densa Montana.","Rau, TG","2018-05-10T19:04:33.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Adrianópolis","Paraná","brazil",949,"Adrianópolis",4100202,-48.821252,-24.783093,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-24.8475,-48.668333,"original coordinates","original coordinates OK"
"6","Mollinedia schottiana",1563171898,-26.373056,-50.765833,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:25.704+0000","2018-10-24T15:38:18.337+0000",121,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-04-03T00:00:00",820,0,"","Santa Catarina",2017,4,3,"2017-04-03T00:00:00","2018-12-07T14:50:40.372+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000053297","212","FURB - Herbário Dr. Roberto Miguel Klein","Irineópolis","Rio Vermelho.","pt","FURB",1563171898,"BRA:FURB:FURB:0000053297","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","53297","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","frutos imaturos","Kassner-Filho, A.","2018-10-11T17:23:05.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Irineópolis","Santa Catarina","brazil",783,"Irineópolis",4207908,-50.760887,-26.357421,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.373056,-50.765833,"original coordinates","original coordinates OK"
"7","Mollinedia schottiana",1676469011,-27.450556,-49.05,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:26.961+0000","2018-10-24T15:38:18.733+0000",121,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-10-11T00:00:00",841,0,"","Santa Catarina",2017,9,7,"2017-09-07T00:00:00","2018-12-10T07:36:48.037+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000054963","945","FURB - Herbário Dr. Roberto Miguel Klein","Angelina","","pt","FURB",1676469011,"BRA:FURB:FURB:0000054963","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","54963","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Farias, D.M.","2018-10-11T17:23:05.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Angelina","Santa Catarina","brazil",533,"Angelina",4200903,-49.067556,-27.543148,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.450556,-49.05,"original coordinates","original coordinates OK"
"8","Mollinedia schottiana",1931783827,-28.381111,-49.519167,"cdround,gass84","bb080d40-c63b-4529-bf21-d1782a81e024","2ccb1a0b-1194-4acf-9921-b5daad99cbb8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:46.938+0000","2018-10-25T12:34:38.060+0000",128,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-11-05T00:00:00",750,0,"","Santa Catarina",2017,11,13,"2017-11-13T00:00:00","2018-12-07T06:15:07.323+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CRI - Herbário Pe. Dr. Raulino Reitz","BRA:UNESC:CRI:0000012762","","CRI - Herbário Pe. Dr. Raulino Reitz","Lauro Muller","Trilha Estância Pé da Serra.","pt","CRI",1931783827,"BRA:UNESC:CRI:0000012762","Collection","Aline Votri Guislon","12762","UNESC","Universidade do Extremo Sul Catarinense (UNESC)","Borda de trilha.","Aline Votri Guislon","2018-10-01T12:58:51.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Lauro Muller","Santa Catarina","brazil",355,"Lauro Muller",4209607,-49.452036,-28.385081,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-28.381111,-49.519167,"original coordinates","original coordinates OK"
"9","Mollinedia schottiana",1848251891,-25.449444,-49.013333,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:43.351+0000","2018-06-04T19:36:12.871+0000",118,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-11-19T00:00:00",1000,0,"SOUTH_AMERICA","Paraná",2017,11,19,"2017-11-19T00:00:00","2018-12-08T15:08:36.134+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000409888","2526","MBM - Herbário do Museu Botânico Municipal","Piraquara","Recreio da Serra","pt","MBM",1848251891,"BRA:MBM:MBM:0000409888","Collection","Brotto, ML","409888","MBM","Museu Botânico Municipal de Curitiba, MBM","Árvore com 4 metros de altura; flores de cor bege.; Transição entre Floresta Ombrófila Densa e Floresta Ombrófila Mista.","Brotto, ML","2018-05-10T19:04:33.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Piraquara","Paraná","brazil",877,"Piraquara",4119509,-49.052069,-25.472754,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.449444,-49.013333,"original coordinates","original coordinates OK"
"10","Mollinedia schottiana",1848109498,-29.535,-50.205,"gass84","121275a3-dcce-44f4-9868-37326e9f64ef","d254f613-d4dd-4553-9fe3-b9485ca28371","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:35.559+0000","2018-10-24T15:38:57.234+0000",122,"none","PRESERVED_SPECIMEN",7264509,6,7707728,220,407,2494,3034105,7264509,7264509,"Mollinedia schottiana Perkins","Mollinedia schottiana Perkins","Plantae","Tracheophyta","Laurales","Monimiaceae","Mollinedia","Mollinedia schottiana","Mollinedia","schottiana","SPECIES","ACCEPTED","2017-12-01T00:00:00",230,0,"","Rio Grande do Sul",2017,12,11,"2017-12-11T00:00:00","2018-12-08T15:07:34.942+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","BRA:UFSC:FLOR:0000063447","4939","FLOR - Herbário do Departamento de Botânica da Universidade Federal de Santa Catarina","Maquiné","Trilha de acesso à Cascata Forqueta.","pt","FLOR",1848109498,"BRA:UFSC:FLOR:0000063447","Collection","Fiaschi, P.","63447","Universidade Federal de Santa Catarina (UFSC)","Universidade Federal de Santa Catarina (UFSC)","Arbusto, ca. 3 m alt. Flore pistilada solitária, creme-esverdeada","P. Fiaschi","2018-10-01T14:26:17.000+0000","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"",NA,"","","","","","","",NA,"","",NA,"","","","","Maquiné","Rio Grande do Sul","brazil",113,"Maquiné",4311775,-50.209226,-29.633646,"RIO GRANDE DO SUL","RS","Rio Grande do Sul",-53.24495754,-29.78635099,"Rio Grande do Sul","rs",-29.535,-50.205,"original coordinates","original coordinates OK"
